Episode no = 100; won: False; iter_time_steps = 18; Q(s,a) = nan; score = -517.0; mean_score/100_episodes = -509.78; reward = -517.0; mean_reward/100_episodes = -509.87; and epsilon = 0.9866666666666667, win percentage = 0.0, 2024-11-20 07:43:45
Episode no = 200; won: False; iter_time_steps = 20; Q(s,a) = nan; score = -519.0; mean_score/100_episodes = -510.0; reward = -519.0; mean_reward/100_episodes = -509.84; and epsilon = 0.9733333333333334, win percentage = 0.0, 2024-11-20 07:44:06
Episode no = 300; won: False; iter_time_steps = 7; Q(s,a) = -0.5974346858197876; score = -506.0; mean_score/100_episodes = -510.17; reward = -506.0; mean_reward/100_episodes = -510.14; and epsilon = 0.96, win percentage = 0.0, 2024-11-20 07:44:26
Episode no = 400; won: False; iter_time_steps = 14; Q(s,a) = nan; score = -503.0; mean_score/100_episodes = -509.77; reward = -502.0; mean_reward/100_episodes = -509.74; and epsilon = 0.9466666666666667, win percentage = 0.0, 2024-11-20 07:44:43
Episode no = 500; won: False; iter_time_steps = 6; Q(s,a) = -1.0527916274744804; score = -505.0; mean_score/100_episodes = -509.09; reward = -505.0; mean_reward/100_episodes = -508.96; and epsilon = 0.9333333333333333, win percentage = 0.0, 2024-11-20 07:45:02
Episode no = 600; won: False; iter_time_steps = 16; Q(s,a) = nan; score = -515.0; mean_score/100_episodes = -509.5; reward = -515.0; mean_reward/100_episodes = -509.44; and epsilon = 0.92, win percentage = 0.0, 2024-11-20 07:45:22
Episode no = 700; won: False; iter_time_steps = 12; Q(s,a) = -3.312490801333185; score = -511.0; mean_score/100_episodes = -509.18; reward = -511.0; mean_reward/100_episodes = -509.23; and epsilon = 0.9066666666666666, win percentage = 0.0, 2024-11-20 07:45:42
Episode no = 800; won: False; iter_time_steps = 8; Q(s,a) = -4.030833953912534; score = -507.0; mean_score/100_episodes = -510.14; reward = -507.0; mean_reward/100_episodes = -509.98; and epsilon = 0.8933333333333333, win percentage = 0.0, 2024-11-20 07:46:03
Episode no = 900; won: False; iter_time_steps = 13; Q(s,a) = -4.909434207222322; score = -512.0; mean_score/100_episodes = -510.13; reward = -512.0; mean_reward/100_episodes = -510.2; and epsilon = 0.88, win percentage = 0.0, 2024-11-20 07:46:24
Episode no = 1000; won: False; iter_time_steps = 8; Q(s,a) = -5.628698190035272; score = -507.0; mean_score/100_episodes = -510.02; reward = -507.0; mean_reward/100_episodes = -509.81; and epsilon = 0.8666666666666667, win percentage = 0.0, 2024-11-20 07:46:46
Episode no = 1100; won: False; iter_time_steps = 11; Q(s,a) = -7.179110578690249; score = -510.0; mean_score/100_episodes = -509.88; reward = -510.0; mean_reward/100_episodes = -509.72; and epsilon = 0.8533333333333333, win percentage = 0.0, 2024-11-20 07:47:06
Episode no = 1200; won: False; iter_time_steps = 6; Q(s,a) = nan; score = -505.0; mean_score/100_episodes = -499.09; reward = -505.0; mean_reward/100_episodes = -502.89; and epsilon = 0.84, win percentage = 0.01, 2024-11-20 07:47:27
Episode no = 1300; won: False; iter_time_steps = 7; Q(s,a) = nan; score = -506.0; mean_score/100_episodes = -509.97; reward = -506.0; mean_reward/100_episodes = -509.92; and epsilon = 0.8266666666666667, win percentage = 0.0, 2024-11-20 07:47:47
Episode no = 1400; won: False; iter_time_steps = 8; Q(s,a) = nan; score = -507.0; mean_score/100_episodes = -510.65; reward = -507.0; mean_reward/100_episodes = -510.62; and epsilon = 0.8133333333333334, win percentage = 0.0, 2024-11-20 07:48:09
Episode no = 1500; won: False; iter_time_steps = 9; Q(s,a) = -9.840409546818975; score = -508.0; mean_score/100_episodes = -509.72; reward = -508.0; mean_reward/100_episodes = -509.7; and epsilon = 0.8, win percentage = 0.0, 2024-11-20 07:48:28
Episode no = 1600; won: False; iter_time_steps = 17; Q(s,a) = -8.50136884609644; score = -516.0; mean_score/100_episodes = -509.03; reward = -516.0; mean_reward/100_episodes = -508.88; and epsilon = 0.7866666666666666, win percentage = 0.0, 2024-11-20 07:48:47
Episode no = 1700; won: False; iter_time_steps = 6; Q(s,a) = -8.50937277052097; score = -505.0; mean_score/100_episodes = -510.23; reward = -505.0; mean_reward/100_episodes = -510.33; and epsilon = 0.7733333333333333, win percentage = 0.0, 2024-11-20 07:49:08
Episode no = 1800; won: False; iter_time_steps = 10; Q(s,a) = nan; score = -509.0; mean_score/100_episodes = -509.96; reward = -509.0; mean_reward/100_episodes = -509.81; and epsilon = 0.76, win percentage = 0.0, 2024-11-20 07:49:28
Episode no = 1900; won: False; iter_time_steps = 6; Q(s,a) = -11.499766507611973; score = -505.0; mean_score/100_episodes = -510.3; reward = -505.0; mean_reward/100_episodes = -510.25; and epsilon = 0.7466666666666666, win percentage = 0.0, 2024-11-20 07:49:49
Episode no = 2000; won: False; iter_time_steps = 8; Q(s,a) = -13.006946265870656; score = -507.0; mean_score/100_episodes = -510.46; reward = -507.0; mean_reward/100_episodes = -510.42; and epsilon = 0.7333333333333334, win percentage = 0.0, 2024-11-20 07:50:10
Episode no = 2100; won: False; iter_time_steps = 6; Q(s,a) = -9.011649556955515; score = -505.0; mean_score/100_episodes = -510.23; reward = -505.0; mean_reward/100_episodes = -510.2; and epsilon = 0.72, win percentage = 0.0, 2024-11-20 07:50:31
Episode no = 2200; won: False; iter_time_steps = 18; Q(s,a) = -8.705380680621904; score = -517.0; mean_score/100_episodes = -510.11; reward = -517.0; mean_reward/100_episodes = -509.95; and epsilon = 0.7066666666666667, win percentage = 0.0, 2024-11-20 07:50:51
Episode no = 2300; won: False; iter_time_steps = 8; Q(s,a) = -13.506449118469595; score = -507.0; mean_score/100_episodes = -510.61; reward = -507.0; mean_reward/100_episodes = -510.55; and epsilon = 0.6933333333333334, win percentage = 0.0, 2024-11-20 07:51:09
Episode no = 2400; won: False; iter_time_steps = 12; Q(s,a) = -8.998564792114008; score = -511.0; mean_score/100_episodes = -508.79; reward = -511.0; mean_reward/100_episodes = -508.74; and epsilon = 0.6799999999999999, win percentage = 0.0, 2024-11-20 07:51:28
Episode no = 2500; won: False; iter_time_steps = 9; Q(s,a) = -9.748494499878994; score = -508.0; mean_score/100_episodes = -509.86; reward = -508.0; mean_reward/100_episodes = -509.85; and epsilon = 0.6666666666666667, win percentage = 0.0, 2024-11-20 07:51:46
Episode no = 2600; won: False; iter_time_steps = 8; Q(s,a) = -10.252060592554244; score = -507.0; mean_score/100_episodes = -510.03; reward = -507.0; mean_reward/100_episodes = -510.0; and epsilon = 0.6533333333333333, win percentage = 0.0, 2024-11-20 07:52:07
Episode no = 2700; won: False; iter_time_steps = 8; Q(s,a) = -17.110317565005868; score = -507.0; mean_score/100_episodes = -509.94; reward = -507.0; mean_reward/100_episodes = -509.81; and epsilon = 0.64, win percentage = 0.0, 2024-11-20 07:52:28
Episode no = 2800; won: False; iter_time_steps = 9; Q(s,a) = -9.898057869570161; score = -508.0; mean_score/100_episodes = -509.8; reward = -508.0; mean_reward/100_episodes = -509.53; and epsilon = 0.6266666666666667, win percentage = 0.0, 2024-11-20 07:52:48
