Episode no = 100; won: False; iter_time_steps = 7; Q(s,a) = nan; score = -506.0; mean_score/100_episodes = -509.87; reward = -506.0; mean_reward/100_episodes = -509.67; and epsilon = 0.9866666666666667, win percentage = 0.0, 2024-11-20 08:41:15
Episode no = 200; won: False; iter_time_steps = 24; Q(s,a) = -0.41047629757343723; score = -523.0; mean_score/100_episodes = -509.26; reward = -523.0; mean_reward/100_episodes = -509.22; and epsilon = 0.9733333333333334, win percentage = 0.0, 2024-11-20 08:41:25
Episode no = 300; won: False; iter_time_steps = 21; Q(s,a) = -0.6270982243781719; score = -520.0; mean_score/100_episodes = -509.24; reward = -520.0; mean_reward/100_episodes = -509.1; and epsilon = 0.96, win percentage = 0.0, 2024-11-20 08:41:34
Episode no = 400; won: False; iter_time_steps = 7; Q(s,a) = -0.8528531785482676; score = -506.0; mean_score/100_episodes = -509.54; reward = -506.0; mean_reward/100_episodes = -509.52; and epsilon = 0.9466666666666667, win percentage = 0.0, 2024-11-20 08:41:43
Episode no = 500; won: False; iter_time_steps = 6; Q(s,a) = nan; score = -505.0; mean_score/100_episodes = -509.47; reward = -505.0; mean_reward/100_episodes = -509.44; and epsilon = 0.9333333333333333, win percentage = 0.0, 2024-11-20 08:41:52
Episode no = 600; won: False; iter_time_steps = 7; Q(s,a) = nan; score = -506.0; mean_score/100_episodes = -509.82; reward = -506.0; mean_reward/100_episodes = -509.8; and epsilon = 0.92, win percentage = 0.0, 2024-11-20 08:42:06
Episode no = 700; won: False; iter_time_steps = 8; Q(s,a) = nan; score = -507.0; mean_score/100_episodes = -509.67; reward = -507.0; mean_reward/100_episodes = -509.42; and epsilon = 0.9066666666666666, win percentage = 0.0, 2024-11-20 08:42:26
Episode no = 800; won: False; iter_time_steps = 14; Q(s,a) = -1.7592355205715318; score = -503.0; mean_score/100_episodes = -509.32; reward = -502.0; mean_reward/100_episodes = -509.4; and epsilon = 0.8933333333333333, win percentage = 0.0, 2024-11-20 08:42:45
Episode no = 900; won: False; iter_time_steps = 21; Q(s,a) = -1.9901623233967891; score = -520.0; mean_score/100_episodes = -509.89; reward = -520.0; mean_reward/100_episodes = -509.85; and epsilon = 0.88, win percentage = 0.0, 2024-11-20 08:43:05
Episode no = 1000; won: False; iter_time_steps = 8; Q(s,a) = -2.3603719908819496; score = -507.0; mean_score/100_episodes = -509.91; reward = -507.0; mean_reward/100_episodes = -509.76; and epsilon = 0.8666666666666667, win percentage = 0.0, 2024-11-20 08:43:26
Episode no = 1100; won: False; iter_time_steps = 12; Q(s,a) = -2.9480222783636427; score = -511.0; mean_score/100_episodes = -510.28; reward = -511.0; mean_reward/100_episodes = -510.25; and epsilon = 0.8533333333333333, win percentage = 0.0, 2024-11-20 08:43:47
