Episode no = 100; won: False; iter_time_steps = 56; Q(s,a) = nan; score = -495.0; mean_score/100_episodes = -425.25; reward = -489.0; mean_reward/100_episodes = -420.74; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9866666666666667, win percentage = 0.0, 2024-12-10 07:50:24
Episode no = 200; won: False; iter_time_steps = 73; Q(s,a) = nan; score = -492.0; mean_score/100_episodes = -403.8; reward = -494.0; mean_reward/100_episodes = -402.66; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9733333333333334, win percentage = 0.0, 2024-12-10 07:50:56
Episode no = 300; won: False; iter_time_steps = 108; Q(s,a) = 20.646615094621215; score = -427.0; mean_score/100_episodes = -427.48; reward = -409.0; mean_reward/100_episodes = -421.49; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.96, win percentage = 0.0, 2024-12-10 07:51:23
Episode no = 400; won: False; iter_time_steps = 104; Q(s,a) = nan; score = -473.0; mean_score/100_episodes = -419.14; reward = -460.0; mean_reward/100_episodes = -413.14; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9466666666666667, win percentage = 0.0, 2024-12-10 07:51:52
Episode no = 500; won: False; iter_time_steps = 30; Q(s,a) = nan; score = -409.0; mean_score/100_episodes = -397.46; reward = -397.0; mean_reward/100_episodes = -386.61; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9333333333333333, win percentage = 0.0, 2024-12-10 07:52:21
Episode no = 600; won: False; iter_time_steps = 67; Q(s,a) = nan; score = -416.0; mean_score/100_episodes = -404.13; reward = -401.0; mean_reward/100_episodes = -389.93; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.92, win percentage = 0.0, 2024-12-10 07:52:52
Episode no = 700; won: False; iter_time_steps = 41; Q(s,a) = 58.61866664989896; score = -430.0; mean_score/100_episodes = -397.58; reward = -419.0; mean_reward/100_episodes = -384.79; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9066666666666666, win percentage = 0.0, 2024-12-10 07:53:21
Episode no = 800; won: False; iter_time_steps = 49; Q(s,a) = 60.965278313745216; score = -428.0; mean_score/100_episodes = -407.2; reward = -416.0; mean_reward/100_episodes = -391.69; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8933333333333333, win percentage = 0.0, 2024-12-10 07:53:47
Episode no = 900; won: False; iter_time_steps = 227; Q(s,a) = 73.58248804022534; score = -286.0; mean_score/100_episodes = -369.74; reward = -242.0; mean_reward/100_episodes = -359.6; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.88, win percentage = 0.0, 2024-12-10 07:54:19
Episode no = 1000; won: False; iter_time_steps = 13; Q(s,a) = 55.506846634347234; score = -432.0; mean_score/100_episodes = -382.36; reward = -424.0; mean_reward/100_episodes = -364.07; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8666666666666667, win percentage = 0.0, 2024-12-10 07:54:51
Episode no = 1100; won: False; iter_time_steps = 44; Q(s,a) = 77.88426929356024; score = -433.0; mean_score/100_episodes = -368.62; reward = -421.0; mean_reward/100_episodes = -352.9; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8533333333333333, win percentage = 0.0, 2024-12-10 07:55:26
