Episode no = 100; won: False; iter_time_steps = 33; Q(s,a) = nan; score = -492.0; mean_score/100_episodes = -421.08; reward = -488.0; mean_reward/100_episodes = -411.67; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9866666666666667, win percentage = 0.0, 2024-12-11 03:26:57
Episode no = 200; won: False; iter_time_steps = 57; Q(s,a) = nan; score = -416.0; mean_score/100_episodes = -416.51; reward = -401.0; mean_reward/100_episodes = -404.11; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9733333333333334, win percentage = 0.0, 2024-12-11 03:27:26
Episode no = 300; won: False; iter_time_steps = 133; Q(s,a) = 24.690950351952782; score = -322.0; mean_score/100_episodes = -423.43; reward = -291.0; mean_reward/100_episodes = -411.56; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.96, win percentage = 0.0, 2024-12-11 03:27:59
Episode no = 400; won: False; iter_time_steps = 124; Q(s,a) = 16.705024637042182; score = -273.0; mean_score/100_episodes = -400.51; reward = -238.0; mean_reward/100_episodes = -396.57; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9466666666666667, win percentage = 0.0, 2024-12-11 03:28:31
Episode no = 500; won: False; iter_time_steps = 110; Q(s,a) = 44.30954409751916; score = -399.0; mean_score/100_episodes = -413.31; reward = -366.0; mean_reward/100_episodes = -398.75; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9333333333333333, win percentage = 0.0, 2024-12-11 03:29:00
Episode no = 600; won: False; iter_time_steps = 91; Q(s,a) = 48.496936708133745; score = -340.0; mean_score/100_episodes = -403.27; reward = -325.0; mean_reward/100_episodes = -388.68; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.92, win percentage = 0.0, 2024-12-11 03:29:33
Episode no = 700; won: False; iter_time_steps = 24; Q(s,a) = 54.936957670287136; score = -473.0; mean_score/100_episodes = -389.8; reward = -468.0; mean_reward/100_episodes = -379.43; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9066666666666666, win percentage = 0.0, 2024-12-11 03:30:02
Episode no = 800; won: False; iter_time_steps = 25; Q(s,a) = 66.42817019604564; score = -444.0; mean_score/100_episodes = -370.97; reward = -436.0; mean_reward/100_episodes = -370.69; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8933333333333333, win percentage = 0.0, 2024-12-11 03:30:34
Episode no = 900; won: False; iter_time_steps = 153; Q(s,a) = 73.89163698226588; score = -422.0; mean_score/100_episodes = -376.69; reward = -398.0; mean_reward/100_episodes = -366.83; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.88, win percentage = 0.0, 2024-12-11 03:31:07
Episode no = 1000; won: False; iter_time_steps = 92; Q(s,a) = 79.17689701230181; score = -381.0; mean_score/100_episodes = -384.14; reward = -349.0; mean_reward/100_episodes = -369.65; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8666666666666667, win percentage = 0.0, 2024-12-11 03:31:37
Episode no = 1100; won: False; iter_time_steps = 31; Q(s,a) = 85.45037878726842; score = -420.0; mean_score/100_episodes = -369.45; reward = -409.0; mean_reward/100_episodes = -357.07; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8533333333333333, win percentage = 0.0, 2024-12-11 03:32:09
