Episode no = 100; won: False; iter_time_steps = 31; Q(s,a) = nan; score = -490.0; mean_score/100_episodes = -467.6; reward = -486.0; mean_reward/100_episodes = -458.77; and epsilon = 0.9866666666666667, win percentage = 0.0, 2024-11-28 13:27:28
Episode no = 200; won: False; iter_time_steps = 32; Q(s,a) = -1.3099583985190397; score = -491.0; mean_score/100_episodes = -467.97; reward = -476.0; mean_reward/100_episodes = -458.54; and epsilon = 0.9733333333333334, win percentage = 0.0, 2024-11-28 13:28:34
Episode no = 300; won: False; iter_time_steps = 100; Q(s,a) = -1.9379587257599067; score = -459.0; mean_score/100_episodes = -451.14; reward = -445.0; mean_reward/100_episodes = -446.75; and epsilon = 0.96, win percentage = 0.0, 2024-11-28 13:29:40
Episode no = 400; won: False; iter_time_steps = 79; Q(s,a) = -2.5217664762998275; score = -478.0; mean_score/100_episodes = -453.45; reward = -479.0; mean_reward/100_episodes = -445.72; and epsilon = 0.9466666666666667, win percentage = 0.0, 2024-11-28 13:30:54
Episode no = 500; won: False; iter_time_steps = 33; Q(s,a) = -3.1516496067151323; score = -432.0; mean_score/100_episodes = -464.28; reward = -422.0; mean_reward/100_episodes = -455.02; and epsilon = 0.9333333333333333, win percentage = 0.0, 2024-11-28 13:31:53
Episode no = 600; won: False; iter_time_steps = 24; Q(s,a) = nan; score = -433.0; mean_score/100_episodes = -454.24; reward = -413.0; mean_reward/100_episodes = -451.64; and epsilon = 0.92, win percentage = 0.0, 2024-11-28 13:32:52
Episode no = 700; won: False; iter_time_steps = 63; Q(s,a) = -4.202351260483624; score = -452.0; mean_score/100_episodes = -456.66; reward = -430.0; mean_reward/100_episodes = -447.31; and epsilon = 0.9066666666666666, win percentage = 0.0, 2024-11-28 13:33:56
Episode no = 800; won: False; iter_time_steps = 13; Q(s,a) = -3.5781572085774407; score = -452.0; mean_score/100_episodes = -454.81; reward = -446.0; mean_reward/100_episodes = -444.02; and epsilon = 0.8933333333333333, win percentage = 0.0, 2024-11-28 13:34:56
Episode no = 900; won: False; iter_time_steps = 34; Q(s,a) = -1.1278046970294198; score = -443.0; mean_score/100_episodes = -441.87; reward = -434.0; mean_reward/100_episodes = -429.52; and epsilon = 0.88, win percentage = 0.0, 2024-11-28 13:36:01
Episode no = 1000; won: False; iter_time_steps = 26; Q(s,a) = 4.331507069782674; score = -465.0; mean_score/100_episodes = -448.35; reward = -459.0; mean_reward/100_episodes = -437.16; and epsilon = 0.8666666666666667, win percentage = 0.0, 2024-11-28 13:37:02
Episode no = 1100; won: False; iter_time_steps = 19; Q(s,a) = 14.158001102876852; score = -448.0; mean_score/100_episodes = -445.44; reward = -452.0; mean_reward/100_episodes = -433.54; and epsilon = 0.8533333333333333, win percentage = 0.0, 2024-11-28 13:38:16
Episode no = 1200; won: False; iter_time_steps = 47; Q(s,a) = 8.039572698140825; score = -426.0; mean_score/100_episodes = -431.22; reward = -425.0; mean_reward/100_episodes = -419.48; and epsilon = 0.84, win percentage = 0.0, 2024-11-28 13:39:31
Episode no = 1300; won: False; iter_time_steps = 93; Q(s,a) = 26.65774267994279; score = -372.0; mean_score/100_episodes = -439.96; reward = -350.0; mean_reward/100_episodes = -429.68; and epsilon = 0.8266666666666667, win percentage = 0.0, 2024-11-28 13:40:41
Episode no = 1400; won: False; iter_time_steps = 62; Q(s,a) = 26.52462498365787; score = -491.0; mean_score/100_episodes = -421.98; reward = -484.0; mean_reward/100_episodes = -412.82; and epsilon = 0.8133333333333334, win percentage = 0.0, 2024-11-28 13:41:55
Episode no = 1500; won: False; iter_time_steps = 63; Q(s,a) = 31.51525636807545; score = -382.0; mean_score/100_episodes = -422.01; reward = -364.0; mean_reward/100_episodes = -410.33; and epsilon = 0.8, win percentage = 0.0, 2024-11-28 13:42:56
Episode no = 1600; won: False; iter_time_steps = 22; Q(s,a) = 34.48372415324359; score = -441.0; mean_score/100_episodes = -415.2; reward = -422.0; mean_reward/100_episodes = -400.78; and epsilon = 0.7866666666666666, win percentage = 0.0, 2024-11-28 13:44:07
Episode no = 1700; won: False; iter_time_steps = 24; Q(s,a) = 34.1239401033336; score = -393.0; mean_score/100_episodes = -400.49; reward = -380.0; mean_reward/100_episodes = -386.61; and epsilon = 0.7733333333333333, win percentage = 0.0, 2024-11-28 13:45:16
Episode no = 1800; won: False; iter_time_steps = 69; Q(s,a) = 32.95231829813497; score = -318.0; mean_score/100_episodes = -394.25; reward = -293.0; mean_reward/100_episodes = -378.52; and epsilon = 0.76, win percentage = 0.0, 2024-11-28 13:46:22
Episode no = 1900; won: False; iter_time_steps = 55; Q(s,a) = 41.68936849209556; score = -324.0; mean_score/100_episodes = -385.92; reward = -301.0; mean_reward/100_episodes = -368.6; and epsilon = 0.7466666666666666, win percentage = 0.0, 2024-11-28 13:47:32
Episode no = 2000; won: False; iter_time_steps = 24; Q(s,a) = 49.26968277552728; score = -423.0; mean_score/100_episodes = -381.89; reward = -413.0; mean_reward/100_episodes = -367.48; and epsilon = 0.7333333333333334, win percentage = 0.0, 2024-11-28 13:48:43
Episode no = 2100; won: False; iter_time_steps = 63; Q(s,a) = 55.26880645829603; score = -422.0; mean_score/100_episodes = -372.4; reward = -408.0; mean_reward/100_episodes = -360.72; and epsilon = 0.72, win percentage = 0.0, 2024-11-28 13:49:50
Episode no = 2200; won: False; iter_time_steps = 93; Q(s,a) = 63.79229117464633; score = -252.0; mean_score/100_episodes = -392.35; reward = -207.0; mean_reward/100_episodes = -377.59; and epsilon = 0.7066666666666667, win percentage = 0.0, 2024-11-28 13:50:47
Episode no = 2300; won: False; iter_time_steps = 83; Q(s,a) = 68.16376581751764; score = -302.0; mean_score/100_episodes = -358.87; reward = -274.0; mean_reward/100_episodes = -345.04; and epsilon = 0.6933333333333334, win percentage = 0.0, 2024-11-28 13:51:50
Episode no = 2400; won: False; iter_time_steps = 25; Q(s,a) = 75.84324278938611; score = -464.0; mean_score/100_episodes = -363.49; reward = -458.0; mean_reward/100_episodes = -347.55; and epsilon = 0.6799999999999999, win percentage = 0.0, 2024-11-28 13:52:50
Episode no = 2500; won: False; iter_time_steps = 63; Q(s,a) = 79.45279749016262; score = -342.0; mean_score/100_episodes = -361.59; reward = -320.0; mean_reward/100_episodes = -346.76; and epsilon = 0.6666666666666667, win percentage = 0.0, 2024-11-28 13:53:49
Episode no = 2600; won: False; iter_time_steps = 29; Q(s,a) = 86.37879606771084; score = -378.0; mean_score/100_episodes = -329.16; reward = -363.0; mean_reward/100_episodes = -315.27; and epsilon = 0.6533333333333333, win percentage = 0.0, 2024-11-28 13:55:05
Episode no = 2700; won: False; iter_time_steps = 48; Q(s,a) = 90.86835137264825; score = -307.0; mean_score/100_episodes = -330.93; reward = -283.0; mean_reward/100_episodes = -312.56; and epsilon = 0.64, win percentage = 0.0, 2024-11-28 13:56:13
Episode no = 2800; won: False; iter_time_steps = 77; Q(s,a) = 93.94723612597647; score = -286.0; mean_score/100_episodes = -329.62; reward = -257.0; mean_reward/100_episodes = -311.45; and epsilon = 0.6266666666666667, win percentage = 0.0, 2024-11-28 13:57:22
Episode no = 2900; won: False; iter_time_steps = 148; Q(s,a) = 98.43163950356043; score = -287.0; mean_score/100_episodes = -313.03; reward = -251.0; mean_reward/100_episodes = -289.91; and epsilon = 0.6133333333333333, win percentage = 0.0, 2024-11-28 13:58:33
Episode no = 3000; won: False; iter_time_steps = 58; Q(s,a) = 100.52766461322878; score = -267.0; mean_score/100_episodes = -308.27; reward = -227.0; mean_reward/100_episodes = -287.95; and epsilon = 0.6, win percentage = 0.0, 2024-11-28 13:59:38
