Episode no = 100; won: False; iter_time_steps = 23; Q(s,a) = -0.7100523206702681; score = -472.0; mean_score/100_episodes = -471.04; reward = -467.0; mean_reward/100_episodes = -464.4; and epsilon = 0.9866666666666667, win percentage = 0.0, 2024-11-29 05:41:00
Episode no = 200; won: False; iter_time_steps = 61; Q(s,a) = -1.406102808179762; score = -500.0; mean_score/100_episodes = -472.61; reward = -494.0; mean_reward/100_episodes = -462.44; and epsilon = 0.9733333333333334, win percentage = 0.0, 2024-11-29 05:42:14
Episode no = 300; won: False; iter_time_steps = 65; Q(s,a) = -2.0483795762127253; score = -424.0; mean_score/100_episodes = -469.09; reward = -421.0; mean_reward/100_episodes = -460.98; and epsilon = 0.96, win percentage = 0.0, 2024-11-29 05:43:27
Episode no = 400; won: False; iter_time_steps = 39; Q(s,a) = -2.5859164340180083; score = -448.0; mean_score/100_episodes = -463.89; reward = -439.0; mean_reward/100_episodes = -452.6; and epsilon = 0.9466666666666667, win percentage = 0.0, 2024-11-29 05:44:39
Episode no = 500; won: False; iter_time_steps = 16; Q(s,a) = -3.199234166710456; score = -475.0; mean_score/100_episodes = -447.72; reward = -471.0; mean_reward/100_episodes = -438.45; and epsilon = 0.9333333333333333, win percentage = 0.0, 2024-11-29 05:45:58
Episode no = 600; won: False; iter_time_steps = 55; Q(s,a) = 2.5925288231989922; score = -384.0; mean_score/100_episodes = -451.6; reward = -367.0; mean_reward/100_episodes = -443.72; and epsilon = 0.92, win percentage = 0.0, 2024-11-29 05:47:11
Episode no = 700; won: False; iter_time_steps = 103; Q(s,a) = -4.257733439917953; score = -452.0; mean_score/100_episodes = -458.66; reward = -437.0; mean_reward/100_episodes = -449.93; and epsilon = 0.9066666666666666, win percentage = 0.0, 2024-11-29 05:48:21
Episode no = 800; won: False; iter_time_steps = 38; Q(s,a) = -4.721421762569584; score = -467.0; mean_score/100_episodes = -451.42; reward = -460.0; mean_reward/100_episodes = -440.87; and epsilon = 0.8933333333333333, win percentage = 0.0, 2024-11-29 05:49:29
Episode no = 900; won: False; iter_time_steps = 93; Q(s,a) = 0.021196034463130786; score = -522.0; mean_score/100_episodes = -447.08; reward = -515.0; mean_reward/100_episodes = -437.11; and epsilon = 0.88, win percentage = 0.0, 2024-11-29 05:50:46
Episode no = 1000; won: False; iter_time_steps = 33; Q(s,a) = 11.192505282020495; score = -472.0; mean_score/100_episodes = -429.27; reward = -466.0; mean_reward/100_episodes = -421.52; and epsilon = 0.8666666666666667, win percentage = 0.0, 2024-11-29 05:51:57
Episode no = 1100; won: False; iter_time_steps = 123; Q(s,a) = 26.255568780985023; score = -22.0; mean_score/100_episodes = -437.61; reward = -300.0; mean_reward/100_episodes = -431.55; and epsilon = 0.8533333333333333, win percentage = 0.0, 2024-11-29 05:53:07
Episode no = 1200; won: False; iter_time_steps = 53; Q(s,a) = 6.378783539566982; score = -492.0; mean_score/100_episodes = -432.74; reward = -475.0; mean_reward/100_episodes = -418.98; and epsilon = 0.84, win percentage = 0.0, 2024-11-29 05:54:19
Episode no = 1300; won: False; iter_time_steps = 28; Q(s,a) = 23.62453687021509; score = -467.0; mean_score/100_episodes = -419.87; reward = -461.0; mean_reward/100_episodes = -406.74; and epsilon = 0.8266666666666667, win percentage = 0.0, 2024-11-29 05:55:30
Episode no = 1400; won: False; iter_time_steps = 50; Q(s,a) = 18.764223723655203; score = -379.0; mean_score/100_episodes = -405.35; reward = -373.0; mean_reward/100_episodes = -396.59; and epsilon = 0.8133333333333334, win percentage = 0.0, 2024-11-29 05:56:53
Episode no = 1500; won: False; iter_time_steps = 41; Q(s,a) = 28.207761924789686; score = -460.0; mean_score/100_episodes = -396.54; reward = -452.0; mean_reward/100_episodes = -381.0; and epsilon = 0.8, win percentage = 0.0, 2024-11-29 05:58:06
Episode no = 1600; won: False; iter_time_steps = 36; Q(s,a) = 39.76690768953133; score = -425.0; mean_score/100_episodes = -397.29; reward = -414.0; mean_reward/100_episodes = -379.55; and epsilon = 0.7866666666666666, win percentage = 0.0, 2024-11-29 05:59:21
