Episode no = 100; won: False; iter_time_steps = 10; Q(s,a) = nan; score = -509.0; mean_score/100_episodes = -509.56; reward = -509.0; mean_reward/100_episodes = -509.53; and epsilon = 0.9866666666666667, win percentage = 0.0, 2024-11-29 09:13:59
Episode no = 200; won: False; iter_time_steps = 16; Q(s,a) = -0.396494880490579; score = -515.0; mean_score/100_episodes = -510.18; reward = -515.0; mean_reward/100_episodes = -510.15; and epsilon = 0.9733333333333334, win percentage = 0.0, 2024-11-29 09:14:06
Episode no = 300; won: False; iter_time_steps = 6; Q(s,a) = nan; score = -505.0; mean_score/100_episodes = -509.33; reward = -505.0; mean_reward/100_episodes = -509.16; and epsilon = 0.96, win percentage = 0.0, 2024-11-29 09:14:13
Episode no = 400; won: False; iter_time_steps = 19; Q(s,a) = -0.8470043091494994; score = -518.0; mean_score/100_episodes = -509.38; reward = -518.0; mean_reward/100_episodes = -509.33; and epsilon = 0.9466666666666667, win percentage = 0.0, 2024-11-29 09:14:19
Episode no = 500; won: False; iter_time_steps = 5; Q(s,a) = nan; score = -504.0; mean_score/100_episodes = -509.62; reward = -504.0; mean_reward/100_episodes = -509.69; and epsilon = 0.9333333333333333, win percentage = 0.0, 2024-11-29 09:14:26
Episode no = 600; won: False; iter_time_steps = 13; Q(s,a) = -1.6677873433672286; score = -512.0; mean_score/100_episodes = -509.77; reward = -512.0; mean_reward/100_episodes = -509.63; and epsilon = 0.92, win percentage = 0.0, 2024-11-29 09:14:32
Episode no = 700; won: False; iter_time_steps = 9; Q(s,a) = nan; score = -508.0; mean_score/100_episodes = -509.18; reward = -508.0; mean_reward/100_episodes = -509.27; and epsilon = 0.9066666666666666, win percentage = 0.0, 2024-11-29 09:14:38
Episode no = 800; won: False; iter_time_steps = 13; Q(s,a) = nan; score = -512.0; mean_score/100_episodes = -510.04; reward = -512.0; mean_reward/100_episodes = -509.86; and epsilon = 0.8933333333333333, win percentage = 0.0, 2024-11-29 09:14:45
Episode no = 900; won: False; iter_time_steps = 13; Q(s,a) = nan; score = -512.0; mean_score/100_episodes = -510.76; reward = -512.0; mean_reward/100_episodes = -510.73; and epsilon = 0.88, win percentage = 0.0, 2024-11-29 09:14:52
Episode no = 1000; won: False; iter_time_steps = 8; Q(s,a) = nan; score = -507.0; mean_score/100_episodes = -509.39; reward = -507.0; mean_reward/100_episodes = -509.43; and epsilon = 0.8666666666666667, win percentage = 0.0, 2024-11-29 09:14:59
Episode no = 1100; won: False; iter_time_steps = 8; Q(s,a) = -6.128405362976852; score = -507.0; mean_score/100_episodes = -509.3; reward = -507.0; mean_reward/100_episodes = -509.03; and epsilon = 0.8533333333333333, win percentage = 0.0, 2024-11-29 09:15:06
