mean_score,total_steps,std_score,max_score,min_score
-509.86,0,0.0,-509.86,-509.86
-509.17,1,0.0,-509.17,-509.17
-509.71,2,0.0,-509.71,-509.71
-510.22,3,0.0,-510.22,-510.22
-509.77,4,0.0,-509.77,-509.77
-509.8,5,0.0,-509.8,-509.8
-509.98,6,0.0,-509.98,-509.98
-509.98,7,0.0,-509.98,-509.98
-509.09,8,0.0,-509.09,-509.09
-509.86,9,0.0,-509.86,-509.86
-509.95,10,0.0,-509.95,-509.95
-509.33,11,0.0,-509.33,-509.33
-510.07,12,0.0,-510.07,-510.07
-509.89,13,0.0,-509.89,-509.89
-509.29,14,0.0,-509.29,-509.29
-510.38,15,0.0,-510.38,-510.38
-509.4,16,0.0,-509.4,-509.4
-509.72,17,0.0,-509.72,-509.72
-509.34,18,0.0,-509.34,-509.34
-509.48,19,0.0,-509.48,-509.48
-510.47,20,0.0,-510.47,-510.47
-509.97,21,0.0,-509.97,-509.97
-508.9,22,0.0,-508.9,-508.9
-509.53,23,0.0,-509.53,-509.53
-509.44,24,0.0,-509.44,-509.44
-508.74,25,0.0,-508.74,-508.74
-509.12,26,0.0,-509.12,-509.12
-509.48,27,0.0,-509.48,-509.48
-509.7,28,0.0,-509.7,-509.7
-509.08,29,0.0,-509.08,-509.08
-509.25,30,0.0,-509.25,-509.25
-510.56,31,0.0,-510.56,-510.56
-509.02,32,0.0,-509.02,-509.02
-510.55,33,0.0,-510.55,-510.55
-509.9,34,0.0,-509.9,-509.9
-510.23,35,0.0,-510.23,-510.23
-510.02,36,0.0,-510.02,-510.02
-510.02,37,0.0,-510.02,-510.02
-509.76,38,0.0,-509.76,-509.76
-510.53,39,0.0,-510.53,-510.53
-510.19,40,0.0,-510.19,-510.19
-510.17,41,0.0,-510.17,-510.17
-509.74,42,0.0,-509.74,-509.74
-510.16,43,0.0,-510.16,-510.16
-510.12,44,0.0,-510.12,-510.12
-509.99,45,0.0,-509.99,-509.99
