Episode no = 100; won: False; iter_time_steps = 60; Q(s,a) = 2.0657280950940424; score = -479.0; mean_score/100_episodes = -473.58; reward = -471.0; mean_reward/100_episodes = -465.2; and epsilon = 0.9866666666666667, win percentage = 0.0, 2024-11-27 14:09:39
Episode no = 200; won: False; iter_time_steps = 77; Q(s,a) = 10.691633526199332; score = -486.0; mean_score/100_episodes = -460.39; reward = -466.0; mean_reward/100_episodes = -453.26; and epsilon = 0.9733333333333334, win percentage = 0.0, 2024-11-27 14:12:02
Episode no = 300; won: False; iter_time_steps = 20; Q(s,a) = nan; score = -479.0; mean_score/100_episodes = -453.07; reward = -475.0; mean_reward/100_episodes = -443.06; and epsilon = 0.96, win percentage = 0.0, 2024-11-27 14:14:23
Episode no = 400; won: False; iter_time_steps = 41; Q(s,a) = 26.25746870875069; score = -390.0; mean_score/100_episodes = -448.25; reward = -375.0; mean_reward/100_episodes = -439.77; and epsilon = 0.9466666666666667, win percentage = 0.0, 2024-11-27 14:16:28
Episode no = 500; won: False; iter_time_steps = 45; Q(s,a) = 37.51698651402726; score = -484.0; mean_score/100_episodes = -443.85; reward = -489.0; mean_reward/100_episodes = -434.97; and epsilon = 0.9333333333333333, win percentage = 0.0, 2024-11-27 14:18:47
Episode no = 600; won: False; iter_time_steps = 85; Q(s,a) = 44.53997726410493; score = -464.0; mean_score/100_episodes = -443.0; reward = -452.0; mean_reward/100_episodes = -432.4; and epsilon = 0.92, win percentage = 0.0, 2024-11-27 14:20:49
Episode no = 700; won: False; iter_time_steps = 39; Q(s,a) = 41.67085255621349; score = -488.0; mean_score/100_episodes = -437.94; reward = -472.0; mean_reward/100_episodes = -426.92; and epsilon = 0.9066666666666666, win percentage = 0.0, 2024-11-27 14:22:57
Episode no = 800; won: False; iter_time_steps = 52; Q(s,a) = 59.830015505560446; score = -391.0; mean_score/100_episodes = -430.67; reward = -375.0; mean_reward/100_episodes = -420.33; and epsilon = 0.8933333333333333, win percentage = 0.0, 2024-11-27 14:25:04
Episode no = 900; won: False; iter_time_steps = 42; Q(s,a) = 69.290039656509; score = -411.0; mean_score/100_episodes = -428.34; reward = -398.0; mean_reward/100_episodes = -416.46; and epsilon = 0.88, win percentage = 0.0, 2024-11-27 14:27:22
Episode no = 1000; won: False; iter_time_steps = 37; Q(s,a) = 72.42320390786706; score = -436.0; mean_score/100_episodes = -416.79; reward = -426.0; mean_reward/100_episodes = -403.34; and epsilon = 0.8666666666666667, win percentage = 0.0, 2024-11-27 14:29:40
Episode no = 1100; won: False; iter_time_steps = 25; Q(s,a) = 77.82556674920818; score = -484.0; mean_score/100_episodes = -420.27; reward = -469.0; mean_reward/100_episodes = -408.03; and epsilon = 0.8533333333333333, win percentage = 0.0, 2024-11-27 14:31:57
Episode no = 1200; won: False; iter_time_steps = 36; Q(s,a) = 82.67987755876338; score = -325.0; mean_score/100_episodes = -415.84; reward = -304.0; mean_reward/100_episodes = -404.39; and epsilon = 0.84, win percentage = 0.0, 2024-11-27 14:34:09
Episode no = 1300; won: False; iter_time_steps = 85; Q(s,a) = 85.91823937696002; score = -344.0; mean_score/100_episodes = -416.82; reward = -309.0; mean_reward/100_episodes = -402.97; and epsilon = 0.8266666666666667, win percentage = 0.0, 2024-11-27 14:36:29
Episode no = 1400; won: False; iter_time_steps = 51; Q(s,a) = 97.28535832969456; score = -380.0; mean_score/100_episodes = -408.78; reward = -363.0; mean_reward/100_episodes = -393.85; and epsilon = 0.8133333333333334, win percentage = 0.0, 2024-11-27 14:38:43
Episode no = 1500; won: False; iter_time_steps = 26; Q(s,a) = 98.76207638576128; score = -455.0; mean_score/100_episodes = -392.91; reward = -437.0; mean_reward/100_episodes = -375.17; and epsilon = 0.8, win percentage = 0.0, 2024-11-27 14:41:14
Episode no = 1600; won: False; iter_time_steps = 21; Q(s,a) = 106.373533778458; score = -410.0; mean_score/100_episodes = -389.05; reward = -399.0; mean_reward/100_episodes = -374.64; and epsilon = 0.7866666666666666, win percentage = 0.0, 2024-11-27 14:43:44
Episode no = 1700; won: False; iter_time_steps = 84; Q(s,a) = 114.4521464688237; score = -423.0; mean_score/100_episodes = -384.15; reward = -407.0; mean_reward/100_episodes = -366.4; and epsilon = 0.7733333333333333, win percentage = 0.0, 2024-11-27 14:46:14
Episode no = 1800; won: False; iter_time_steps = 53; Q(s,a) = 114.35343256767625; score = -432.0; mean_score/100_episodes = -375.68; reward = -420.0; mean_reward/100_episodes = -358.8; and epsilon = 0.76, win percentage = 0.0, 2024-11-27 14:48:47
