Episode no = 100; won: False; iter_time_steps = 101; Q(s,a) = -0.5486608208247143; score = -390.0; mean_score/100_episodes = -468.51; reward = -369.0; mean_reward/100_episodes = -459.47; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9866666666666667, win percentage = 0.0, 2024-12-02 02:00:36
Episode no = 200; won: False; iter_time_steps = 23; Q(s,a) = 2.2114772462801606; score = -432.0; mean_score/100_episodes = -463.11; reward = -434.0; mean_reward/100_episodes = -453.88; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9733333333333334, win percentage = 0.0, 2024-12-02 02:01:03
Episode no = 300; won: False; iter_time_steps = 70; Q(s,a) = 19.572897321822; score = -429.0; mean_score/100_episodes = -458.1; reward = -415.0; mean_reward/100_episodes = -450.0; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.96, win percentage = 0.0, 2024-12-02 02:01:31
Episode no = 400; won: False; iter_time_steps = 71; Q(s,a) = 22.370384315779862; score = -400.0; mean_score/100_episodes = -440.14; reward = -383.0; mean_reward/100_episodes = -430.23; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9466666666666667, win percentage = 0.0, 2024-12-02 02:02:01
Episode no = 500; won: False; iter_time_steps = 50; Q(s,a) = 31.57519827350221; score = -469.0; mean_score/100_episodes = -439.9; reward = -450.0; mean_reward/100_episodes = -430.83; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9333333333333333, win percentage = 0.0, 2024-12-02 02:02:31
Episode no = 600; won: False; iter_time_steps = 35; Q(s,a) = 40.730018099858746; score = -404.0; mean_score/100_episodes = -442.41; reward = -391.0; mean_reward/100_episodes = -432.24; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.92, win percentage = 0.0, 2024-12-02 02:02:59
Episode no = 700; won: False; iter_time_steps = 29; Q(s,a) = 49.08136972071945; score = -478.0; mean_score/100_episodes = -424.58; reward = -473.0; mean_reward/100_episodes = -412.25; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9066666666666666, win percentage = 0.0, 2024-12-02 02:03:28
Episode no = 800; won: False; iter_time_steps = 50; Q(s,a) = 52.1970903484169; score = -399.0; mean_score/100_episodes = -435.77; reward = -384.0; mean_reward/100_episodes = -423.89; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8933333333333333, win percentage = 0.0, 2024-12-02 02:03:52
Episode no = 900; won: False; iter_time_steps = 37; Q(s,a) = 55.812471683211164; score = -496.0; mean_score/100_episodes = -425.22; reward = -492.0; mean_reward/100_episodes = -416.14; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.88, win percentage = 0.0, 2024-12-02 02:04:17
Episode no = 1000; won: False; iter_time_steps = 76; Q(s,a) = 68.22473376694958; score = -365.0; mean_score/100_episodes = -424.31; reward = -333.0; mean_reward/100_episodes = -415.03; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8666666666666667, win percentage = 0.0, 2024-12-02 02:04:40
Episode no = 1100; won: False; iter_time_steps = 34; Q(s,a) = 75.07991766198208; score = -373.0; mean_score/100_episodes = -411.33; reward = -368.0; mean_reward/100_episodes = -395.59; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8533333333333333, win percentage = 0.0, 2024-12-02 02:05:08
