Episode no = 100; won: False; iter_time_steps = 65; Q(s,a) = -0.40512867140186415; score = -504.0; mean_score/100_episodes = -460.56; reward = -509.0; mean_reward/100_episodes = -451.29; and epsilon = 0.9866666666666667, win percentage = 0.0, 2024-11-29 05:37:09
Episode no = 200; won: False; iter_time_steps = 92; Q(s,a) = 10.780414394513432; score = -361.0; mean_score/100_episodes = -456.15; reward = -338.0; mean_reward/100_episodes = -445.85; and epsilon = 0.9733333333333334, win percentage = 0.0, 2024-11-29 05:38:00
Episode no = 300; won: False; iter_time_steps = 67; Q(s,a) = 19.790626366672203; score = -326.0; mean_score/100_episodes = -454.56; reward = -302.0; mean_reward/100_episodes = -446.03; and epsilon = 0.96, win percentage = 0.0, 2024-11-29 05:38:41
Episode no = 400; won: False; iter_time_steps = 18; Q(s,a) = 26.901877631912157; score = -497.0; mean_score/100_episodes = -440.73; reward = -495.0; mean_reward/100_episodes = -429.19; and epsilon = 0.9466666666666667, win percentage = 0.0, 2024-11-29 05:39:27
Episode no = 500; won: False; iter_time_steps = 63; Q(s,a) = 37.61339867977553; score = -412.0; mean_score/100_episodes = -436.31; reward = -397.0; mean_reward/100_episodes = -423.97; and epsilon = 0.9333333333333333, win percentage = 0.0, 2024-11-29 05:40:20
Episode no = 600; won: False; iter_time_steps = 20; Q(s,a) = 45.81455792152869; score = -399.0; mean_score/100_episodes = -419.93; reward = -387.0; mean_reward/100_episodes = -417.87; and epsilon = 0.92, win percentage = 0.0, 2024-11-29 05:41:15
Episode no = 700; won: False; iter_time_steps = 27; Q(s,a) = 51.533809625586464; score = -486.0; mean_score/100_episodes = -428.75; reward = -482.0; mean_reward/100_episodes = -416.41; and epsilon = 0.9066666666666666, win percentage = 0.0, 2024-11-29 05:42:08
Episode no = 800; won: False; iter_time_steps = 32; Q(s,a) = nan; score = -501.0; mean_score/100_episodes = -427.04; reward = -498.0; mean_reward/100_episodes = -417.86; and epsilon = 0.8933333333333333, win percentage = 0.0, 2024-11-29 05:43:02
Episode no = 900; won: False; iter_time_steps = 39; Q(s,a) = 67.30286369308335; score = -448.0; mean_score/100_episodes = -416.6; reward = -439.0; mean_reward/100_episodes = -409.11; and epsilon = 0.88, win percentage = 0.0, 2024-11-29 05:43:56
Episode no = 1000; won: False; iter_time_steps = 56; Q(s,a) = 72.68891340668578; score = -405.0; mean_score/100_episodes = -411.28; reward = -401.0; mean_reward/100_episodes = -398.66; and epsilon = 0.8666666666666667, win percentage = 0.0, 2024-11-29 05:44:54
Episode no = 1100; won: False; iter_time_steps = 31; Q(s,a) = 82.47933996027068; score = -470.0; mean_score/100_episodes = -400.69; reward = -464.0; mean_reward/100_episodes = -390.23; and epsilon = 0.8533333333333333, win percentage = 0.0, 2024-11-29 05:45:56
Episode no = 1200; won: False; iter_time_steps = 55; Q(s,a) = 82.48266737880242; score = -324.0; mean_score/100_episodes = -401.34; reward = -301.0; mean_reward/100_episodes = -387.37; and epsilon = 0.84, win percentage = 0.0, 2024-11-29 05:46:48
Episode no = 1300; won: False; iter_time_steps = 44; Q(s,a) = 96.75778821731717; score = -443.0; mean_score/100_episodes = -399.4; reward = -433.0; mean_reward/100_episodes = -388.29; and epsilon = 0.8266666666666667, win percentage = 0.0, 2024-11-29 05:47:41
Episode no = 1400; won: False; iter_time_steps = 55; Q(s,a) = 97.64994337952845; score = -384.0; mean_score/100_episodes = -388.43; reward = -367.0; mean_reward/100_episodes = -373.91; and epsilon = 0.8133333333333334, win percentage = 0.0, 2024-11-29 05:48:39
Episode no = 1500; won: False; iter_time_steps = 113; Q(s,a) = 109.63667171357771; score = -302.0; mean_score/100_episodes = -395.37; reward = -271.0; mean_reward/100_episodes = -380.33; and epsilon = 0.8, win percentage = 0.0, 2024-11-29 05:49:34
Episode no = 1600; won: False; iter_time_steps = 23; Q(s,a) = 107.26030153964801; score = -442.0; mean_score/100_episodes = -385.44; reward = -434.0; mean_reward/100_episodes = -371.26; and epsilon = 0.7866666666666666, win percentage = 0.0, 2024-11-29 05:50:31
Episode no = 1700; won: False; iter_time_steps = 149; Q(s,a) = 113.1379427603407; score = -268.0; mean_score/100_episodes = -372.66; reward = -230.0; mean_reward/100_episodes = -355.88; and epsilon = 0.7733333333333333, win percentage = 0.0, 2024-11-29 05:51:33
Episode no = 1800; won: False; iter_time_steps = 91; Q(s,a) = 131.2205700900806; score = -290.0; mean_score/100_episodes = -363.68; reward = -260.0; mean_reward/100_episodes = -349.11; and epsilon = 0.76, win percentage = 0.0, 2024-11-29 05:52:45
Episode no = 1900; won: False; iter_time_steps = 33; Q(s,a) = 124.23908325909842; score = -402.0; mean_score/100_episodes = -342.82; reward = -389.0; mean_reward/100_episodes = -333.99; and epsilon = 0.7466666666666666, win percentage = 0.0, 2024-11-29 05:53:59
Episode no = 2000; won: False; iter_time_steps = 33; Q(s,a) = 126.66045770416295; score = -382.0; mean_score/100_episodes = -352.86; reward = -367.0; mean_reward/100_episodes = -338.89; and epsilon = 0.7333333333333334, win percentage = 0.0, 2024-11-29 05:54:58
Episode no = 2100; won: False; iter_time_steps = 145; Q(s,a) = 130.73608029785578; score = -294.0; mean_score/100_episodes = -336.61; reward = -259.0; mean_reward/100_episodes = -319.53; and epsilon = 0.72, win percentage = 0.0, 2024-11-29 05:56:02
Episode no = 2200; won: False; iter_time_steps = 127; Q(s,a) = 136.79183593249846; score = -256.0; mean_score/100_episodes = -343.73; reward = -208.0; mean_reward/100_episodes = -328.21; and epsilon = 0.7066666666666667, win percentage = 0.0, 2024-11-29 05:57:02
Episode no = 2300; won: False; iter_time_steps = 32; Q(s,a) = 154.75807158823363; score = -401.0; mean_score/100_episodes = -318.64; reward = -388.0; mean_reward/100_episodes = -307.09; and epsilon = 0.6933333333333334, win percentage = 0.0, 2024-11-29 05:58:04
Episode no = 2400; won: False; iter_time_steps = 89; Q(s,a) = 140.4010826226981; score = -268.0; mean_score/100_episodes = -314.67; reward = -236.0; mean_reward/100_episodes = -303.34; and epsilon = 0.6799999999999999, win percentage = 0.0, 2024-11-29 05:59:11
Episode no = 2500; won: False; iter_time_steps = 36; Q(s,a) = 147.59905178861075; score = -445.0; mean_score/100_episodes = -321.66; reward = -436.0; mean_reward/100_episodes = -307.8; and epsilon = 0.6666666666666667, win percentage = 0.0, 2024-11-29 06:00:12
