Episode no = 100; won: False; iter_time_steps = 70; Q(s,a) = -0.46274398530066707; score = -509.0; mean_score/100_episodes = -470.05; reward = -503.0; mean_reward/100_episodes = -460.24; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0.9153378816000005; and epsilon = 0.9866666666666667, win percentage = 0.0, 2024-12-02 03:51:52
Episode no = 200; won: False; iter_time_steps = 52; Q(s,a) = 11.606881395120132; score = -501.0; mean_score/100_episodes = -459.55; reward = -507.0; mean_reward/100_episodes = -452.44; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 4.307472384000008; and epsilon = 0.9733333333333334, win percentage = 0.0, 2024-12-02 03:52:31
Episode no = 300; won: False; iter_time_steps = 46; Q(s,a) = 18.76135947465284; score = -495.0; mean_score/100_episodes = -445.61; reward = -490.0; mean_reward/100_episodes = -433.89; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 11.145584793599939; and epsilon = 0.96, win percentage = 0.0, 2024-12-02 03:53:23
Episode no = 400; won: False; iter_time_steps = 121; Q(s,a) = 27.22845742396979; score = -440.0; mean_score/100_episodes = -452.17; reward = -422.0; mean_reward/100_episodes = -442.56; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 18.68366146559973; and epsilon = 0.9466666666666667, win percentage = 0.0, 2024-12-02 03:54:05
Episode no = 500; won: False; iter_time_steps = 86; Q(s,a) = 20.52046037526722; score = -495.0; mean_score/100_episodes = -446.56; reward = -486.0; mean_reward/100_episodes = -435.84; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 29.667716044799423; and epsilon = 0.9333333333333333, win percentage = 0.0, 2024-12-02 03:54:58
Episode no = 600; won: False; iter_time_steps = 93; Q(s,a) = 36.94820140918967; score = -442.0; mean_score/100_episodes = -452.17; reward = -427.0; mean_reward/100_episodes = -442.77; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 40.1402582784002; and epsilon = 0.92, win percentage = 0.0, 2024-12-02 03:55:41
Episode no = 700; won: False; iter_time_steps = 226; Q(s,a) = 50.93230017920976; score = -155.0; mean_score/100_episodes = -425.01; reward = -98.0; mean_reward/100_episodes = -410.09; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 56.75094865920193; and epsilon = 0.9066666666666666, win percentage = 0.0, 2024-12-02 03:56:36
Episode no = 800; won: False; iter_time_steps = 17; Q(s,a) = 56.30409616911436; score = -466.0; mean_score/100_episodes = -421.38; reward = -461.0; mean_reward/100_episodes = -407.99; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 74.41158543360376; and epsilon = 0.8933333333333333, win percentage = 0.0, 2024-12-02 03:57:31
Episode no = 900; won: False; iter_time_steps = 141; Q(s,a) = 62.69375130147961; score = -410.0; mean_score/100_episodes = -422.27; reward = -376.0; mean_reward/100_episodes = -407.35; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 94.71054904320587; and epsilon = 0.88, win percentage = 0.0, 2024-12-02 03:58:26
Episode no = 1000; won: False; iter_time_steps = 58; Q(s,a) = 68.3817256185418; score = -457.0; mean_score/100_episodes = -429.64; reward = -447.0; mean_reward/100_episodes = -417.33; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 113.44805391360782; and epsilon = 0.8666666666666667, win percentage = 0.0, 2024-12-02 03:59:15
Episode no = 1100; won: False; iter_time_steps = 33; Q(s,a) = 74.72613860209606; score = -472.0; mean_score/100_episodes = -386.42; reward = -466.0; mean_reward/100_episodes = -377.22; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 142.36196229120324; and epsilon = 0.8533333333333333, win percentage = 0.0, 2024-12-02 04:00:14
