Episode no = 100; won: False; iter_time_steps = 79; Q(s,a) = 0.5616853632998573; score = -408.0; mean_score/100_episodes = -466.89; reward = -380.0; mean_reward/100_episodes = -459.75; and epsilon = 0.9866666666666667, win percentage = 0.0, 2024-11-24 16:21:14
Episode no = 200; won: False; iter_time_steps = 64; Q(s,a) = 12.25933246972074; score = -493.0; mean_score/100_episodes = -457.87; reward = -497.0; mean_reward/100_episodes = -449.92; and epsilon = 0.9733333333333334, win percentage = 0.0, 2024-11-24 16:21:41
Episode no = 300; won: False; iter_time_steps = 65; Q(s,a) = 16.425949465955288; score = -484.0; mean_score/100_episodes = -450.69; reward = -476.0; mean_reward/100_episodes = -442.66; and epsilon = 0.96, win percentage = 0.0, 2024-11-24 16:22:09
Episode no = 400; won: False; iter_time_steps = 78; Q(s,a) = 27.50649062050824; score = -397.0; mean_score/100_episodes = -455.49; reward = -379.0; mean_reward/100_episodes = -448.12; and epsilon = 0.9466666666666667, win percentage = 0.0, 2024-11-24 16:22:40
Episode no = 500; won: False; iter_time_steps = 32; Q(s,a) = 36.423460829790166; score = -481.0; mean_score/100_episodes = -449.14; reward = -476.0; mean_reward/100_episodes = -440.45; and epsilon = 0.9333333333333333, win percentage = 0.0, 2024-11-24 16:23:12
Episode no = 600; won: False; iter_time_steps = 22; Q(s,a) = 43.294248669354005; score = -401.0; mean_score/100_episodes = -444.53; reward = -400.0; mean_reward/100_episodes = -434.36; and epsilon = 0.92, win percentage = 0.0, 2024-11-24 16:23:41
Episode no = 700; won: False; iter_time_steps = 42; Q(s,a) = 48.716748715154935; score = -501.0; mean_score/100_episodes = -434.35; reward = -497.0; mean_reward/100_episodes = -421.12; and epsilon = 0.9066666666666666, win percentage = 0.0, 2024-11-24 16:24:13
Episode no = 800; won: False; iter_time_steps = 18; Q(s,a) = 54.9838435544311; score = -457.0; mean_score/100_episodes = -427.58; reward = -451.0; mean_reward/100_episodes = -416.99; and epsilon = 0.8933333333333333, win percentage = 0.0, 2024-11-24 16:24:44
Episode no = 900; won: False; iter_time_steps = 30; Q(s,a) = 63.60359611350591; score = -409.0; mean_score/100_episodes = -416.83; reward = -397.0; mean_reward/100_episodes = -403.93; and epsilon = 0.88, win percentage = 0.0, 2024-11-24 16:25:18
Episode no = 1000; won: False; iter_time_steps = 32; Q(s,a) = 69.57430851170852; score = -481.0; mean_score/100_episodes = -429.72; reward = -476.0; mean_reward/100_episodes = -419.75; and epsilon = 0.8666666666666667, win percentage = 0.0, 2024-11-24 16:25:45
Episode no = 1100; won: False; iter_time_steps = 122; Q(s,a) = 73.39479621344434; score = -321.0; mean_score/100_episodes = -415.09; reward = -291.0; mean_reward/100_episodes = -400.7; and epsilon = 0.8533333333333333, win percentage = 0.0, 2024-11-24 16:26:23
Episode no = 1200; won: False; iter_time_steps = 67; Q(s,a) = 87.35551417953643; score = -446.0; mean_score/100_episodes = -409.76; reward = -434.0; mean_reward/100_episodes = -394.46; and epsilon = 0.84, win percentage = 0.0, 2024-11-24 16:26:57
Episode no = 1300; won: False; iter_time_steps = 99; Q(s,a) = 96.76715013926011; score = -398.0; mean_score/100_episodes = -403.04; reward = -378.0; mean_reward/100_episodes = -389.4; and epsilon = 0.8266666666666667, win percentage = 0.0, 2024-11-24 16:27:30
Episode no = 1400; won: False; iter_time_steps = 32; Q(s,a) = 95.3516526975021; score = -411.0; mean_score/100_episodes = -396.28; reward = -388.0; mean_reward/100_episodes = -384.34; and epsilon = 0.8133333333333334, win percentage = 0.0, 2024-11-24 16:28:03
Episode no = 1500; won: False; iter_time_steps = 27; Q(s,a) = 98.43046312817643; score = -506.0; mean_score/100_episodes = -409.9; reward = -504.0; mean_reward/100_episodes = -394.34; and epsilon = 0.8, win percentage = 0.0, 2024-11-24 16:28:35
