Episode no = 100; won: False; iter_time_steps = 62; Q(s,a) = -0.26499930738765365; score = -471.0; mean_score/100_episodes = -466.29; reward = -473.0; mean_reward/100_episodes = -457.42; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9866666666666667, win percentage = 0.0, 2024-12-19 05:09:52
Episode no = 200; won: False; iter_time_steps = 58; Q(s,a) = -0.5745871606686378; score = -497.0; mean_score/100_episodes = -460.81; reward = -491.0; mean_reward/100_episodes = -450.67; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9733333333333334, win percentage = 0.0, 2024-12-19 05:10:32
Episode no = 300; won: False; iter_time_steps = 49; Q(s,a) = 19.35903783223683; score = -428.0; mean_score/100_episodes = -451.48; reward = -427.0; mean_reward/100_episodes = -445.23; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.96, win percentage = 0.0, 2024-12-19 05:11:11
Episode no = 400; won: False; iter_time_steps = 79; Q(s,a) = 22.779622729738126; score = -348.0; mean_score/100_episodes = -450.96; reward = -314.0; mean_reward/100_episodes = -440.56; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9466666666666667, win percentage = 0.0, 2024-12-19 05:11:56
Episode no = 500; won: False; iter_time_steps = 49; Q(s,a) = 36.39930038163931; score = -408.0; mean_score/100_episodes = -438.58; reward = -394.0; mean_reward/100_episodes = -426.12; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9333333333333333, win percentage = 0.0, 2024-12-19 05:12:39
Episode no = 600; won: False; iter_time_steps = 59; Q(s,a) = 41.803108059738896; score = -398.0; mean_score/100_episodes = -425.94; reward = -371.0; mean_reward/100_episodes = -417.76; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.92, win percentage = 0.0, 2024-12-19 05:13:25
Episode no = 700; won: False; iter_time_steps = 88; Q(s,a) = 40.699328953503695; score = -507.0; mean_score/100_episodes = -434.07; reward = -499.0; mean_reward/100_episodes = -423.11; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9066666666666666, win percentage = 0.0, 2024-12-19 05:14:10
Episode no = 800; won: False; iter_time_steps = 45; Q(s,a) = 58.03809844670222; score = -424.0; mean_score/100_episodes = -430.35; reward = -412.0; mean_reward/100_episodes = -418.7; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8933333333333333, win percentage = 0.0, 2024-12-19 05:14:55
Episode no = 900; won: False; iter_time_steps = 228; Q(s,a) = 60.49808742187658; score = -257.0; mean_score/100_episodes = -399.6; reward = -210.0; mean_reward/100_episodes = -381.81; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.88, win percentage = 0.0, 2024-12-19 05:15:45
Episode no = 1000; won: False; iter_time_steps = 78; Q(s,a) = 71.22509943013482; score = -447.0; mean_score/100_episodes = -407.84; reward = -434.0; mean_reward/100_episodes = -393.27; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8666666666666667, win percentage = 0.0, 2024-12-19 05:16:32
Episode no = 1100; won: False; iter_time_steps = 125; Q(s,a) = 74.89036709277835; score = -334.0; mean_score/100_episodes = -410.2; reward = -305.0; mean_reward/100_episodes = -399.62; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8533333333333333, win percentage = 0.0, 2024-12-19 05:17:19
Episode no = 1200; won: False; iter_time_steps = 197; Q(s,a) = 80.4517211167551; score = -156.0; mean_score/100_episodes = -408.79; reward = -271.0; mean_reward/100_episodes = -397.43; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.84, win percentage = 0.0, 2024-12-19 05:17:58
Episode no = 1300; won: False; iter_time_steps = 117; Q(s,a) = 87.48865221307273; score = -386.0; mean_score/100_episodes = -398.16; reward = -363.0; mean_reward/100_episodes = -382.73; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8266666666666667, win percentage = 0.0, 2024-12-19 05:18:42
Episode no = 1400; won: False; iter_time_steps = 49; Q(s,a) = 92.7873386258181; score = -388.0; mean_score/100_episodes = -380.27; reward = -372.0; mean_reward/100_episodes = -374.39; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8133333333333334, win percentage = 0.0, 2024-12-19 05:19:23
Episode no = 1500; won: False; iter_time_steps = 30; Q(s,a) = 97.43183751588023; score = -449.0; mean_score/100_episodes = -378.15; reward = -441.0; mean_reward/100_episodes = -365.01; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8, win percentage = 0.0, 2024-12-19 05:20:12
Episode no = 1600; won: False; iter_time_steps = 196; Q(s,a) = 108.34351527095443; score = -125.0; mean_score/100_episodes = -361.72; reward = -68.0; mean_reward/100_episodes = -355.55; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7866666666666666, win percentage = 0.0, 2024-12-19 05:20:57
Episode no = 1700; won: False; iter_time_steps = 53; Q(s,a) = 109.41552021729724; score = -342.0; mean_score/100_episodes = -373.29; reward = -321.0; mean_reward/100_episodes = -362.94; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7733333333333333, win percentage = 0.0, 2024-12-19 05:21:32
Episode no = 1800; won: False; iter_time_steps = 70; Q(s,a) = 114.1136895231821; score = -339.0; mean_score/100_episodes = -364.71; reward = -316.0; mean_reward/100_episodes = -348.38; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.76, win percentage = 0.0, 2024-12-19 05:22:02
Episode no = 1900; won: False; iter_time_steps = 34; Q(s,a) = 118.98417135986176; score = -453.0; mean_score/100_episodes = -349.79; reward = -456.0; mean_reward/100_episodes = -337.6; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7466666666666666, win percentage = 0.0, 2024-12-19 05:22:35
Episode no = 2000; won: False; iter_time_steps = 27; Q(s,a) = 122.83560174689943; score = -466.0; mean_score/100_episodes = -351.42; reward = -471.0; mean_reward/100_episodes = -339.12; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7333333333333334, win percentage = 0.0, 2024-12-19 05:23:08
Episode no = 2100; won: False; iter_time_steps = 30; Q(s,a) = 118.6384044876723; score = -359.0; mean_score/100_episodes = -340.69; reward = -342.0; mean_reward/100_episodes = -324.11; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.72, win percentage = 0.0, 2024-12-19 05:23:49
Episode no = 2200; won: False; iter_time_steps = 25; Q(s,a) = 128.12238017385795; score = -414.0; mean_score/100_episodes = -354.75; reward = -403.0; mean_reward/100_episodes = -338.46; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7066666666666667, win percentage = 0.0, 2024-12-19 05:24:27
Episode no = 2300; won: False; iter_time_steps = 16; Q(s,a) = 130.11267068727332; score = -425.0; mean_score/100_episodes = -346.16; reward = -416.0; mean_reward/100_episodes = -329.08; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6933333333333334, win percentage = 0.0, 2024-12-19 05:25:07
Episode no = 2400; won: False; iter_time_steps = 78; Q(s,a) = 137.30887467728164; score = -337.0; mean_score/100_episodes = -335.83; reward = -313.0; mean_reward/100_episodes = -317.82; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6799999999999999, win percentage = 0.0, 2024-12-19 05:25:51
