Episode no = 100; won: False; iter_time_steps = 105; Q(s,a) = -0.9399629896207634; score = -404.0; mean_score/100_episodes = -461.58; reward = -384.0; mean_reward/100_episodes = -454.75; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9866666666666667, win percentage = 0.0, 2024-12-20 14:28:15
Episode no = 200; won: False; iter_time_steps = 42; Q(s,a) = -1.536269757900902; score = -501.0; mean_score/100_episodes = -454.04; reward = -497.0; mean_reward/100_episodes = -445.97; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9733333333333334, win percentage = 0.0, 2024-12-20 14:28:46
Episode no = 300; won: False; iter_time_steps = 38; Q(s,a) = -1.1216460025513941; score = -477.0; mean_score/100_episodes = -452.54; reward = -482.0; mean_reward/100_episodes = -441.44; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.96, win percentage = 0.0, 2024-12-20 14:29:14
Episode no = 400; won: False; iter_time_steps = 46; Q(s,a) = 37.229744303126964; score = -505.0; mean_score/100_episodes = -446.34; reward = -501.0; mean_reward/100_episodes = -435.52; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9466666666666667, win percentage = 0.0, 2024-12-20 14:29:46
Episode no = 500; won: False; iter_time_steps = 138; Q(s,a) = 45.50091584077533; score = -467.0; mean_score/100_episodes = -435.12; reward = -450.0; mean_reward/100_episodes = -425.09; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9333333333333333, win percentage = 0.0, 2024-12-20 14:30:14
Episode no = 600; won: False; iter_time_steps = 58; Q(s,a) = 53.88835574064787; score = -427.0; mean_score/100_episodes = -430.24; reward = -414.0; mean_reward/100_episodes = -421.72; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.92, win percentage = 0.0, 2024-12-20 14:30:46
Episode no = 700; won: False; iter_time_steps = 31; Q(s,a) = 61.076918724380995; score = -460.0; mean_score/100_episodes = -424.14; reward = -453.0; mean_reward/100_episodes = -418.09; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9066666666666666, win percentage = 0.0, 2024-12-20 14:31:17
Episode no = 800; won: False; iter_time_steps = 41; Q(s,a) = 68.40940619150997; score = -420.0; mean_score/100_episodes = -418.67; reward = -408.0; mean_reward/100_episodes = -406.82; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8933333333333333, win percentage = 0.0, 2024-12-20 14:31:52
Episode no = 900; won: False; iter_time_steps = 43; Q(s,a) = 75.76330185525903; score = -442.0; mean_score/100_episodes = -423.86; reward = -432.0; mean_reward/100_episodes = -411.1; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.88, win percentage = 0.0, 2024-12-20 14:32:21
Episode no = 1000; won: False; iter_time_steps = 27; Q(s,a) = 82.76932568158452; score = -426.0; mean_score/100_episodes = -423.04; reward = -416.0; mean_reward/100_episodes = -409.33; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8666666666666667, win percentage = 0.0, 2024-12-20 14:32:49
Episode no = 1100; won: False; iter_time_steps = 35; Q(s,a) = 88.23067613471675; score = -434.0; mean_score/100_episodes = -407.77; reward = -413.0; mean_reward/100_episodes = -396.63; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8533333333333333, win percentage = 0.0, 2024-12-20 14:33:19
