Episode no = 100; won: False; iter_time_steps = 19; Q(s,a) = nan; score = -438.0; mean_score/100_episodes = -461.4; reward = -430.0; mean_reward/100_episodes = -454.98; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9866666666666667, win percentage = 0.0, 2024-12-22 14:24:45
Episode no = 200; won: False; iter_time_steps = 25; Q(s,a) = nan; score = -504.0; mean_score/100_episodes = -455.13; reward = -502.0; mean_reward/100_episodes = -450.93; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9733333333333334, win percentage = 0.0, 2024-12-22 14:25:17
Episode no = 300; won: False; iter_time_steps = 47; Q(s,a) = 28.654678459817617; score = -486.0; mean_score/100_episodes = -449.99; reward = -480.0; mean_reward/100_episodes = -441.03; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.96, win percentage = 0.0, 2024-12-22 14:25:45
Episode no = 400; won: False; iter_time_steps = 107; Q(s,a) = 26.71520402021537; score = -486.0; mean_score/100_episodes = -451.79; reward = -474.0; mean_reward/100_episodes = -442.94; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9466666666666667, win percentage = 0.0, 2024-12-22 14:26:15
Episode no = 500; won: False; iter_time_steps = 118; Q(s,a) = 46.10815972284732; score = -427.0; mean_score/100_episodes = -427.24; reward = -408.0; mean_reward/100_episodes = -419.7; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9333333333333333, win percentage = 0.0, 2024-12-22 14:26:48
Episode no = 600; won: False; iter_time_steps = 20; Q(s,a) = 52.97859265549748; score = -479.0; mean_score/100_episodes = -430.81; reward = -486.0; mean_reward/100_episodes = -419.55; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.92, win percentage = 0.0, 2024-12-22 14:27:20
Episode no = 700; won: False; iter_time_steps = 54; Q(s,a) = 61.48982937194984; score = -443.0; mean_score/100_episodes = -433.92; reward = -432.0; mean_reward/100_episodes = -422.46; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9066666666666666, win percentage = 0.0, 2024-12-22 14:27:51
Episode no = 800; won: False; iter_time_steps = 36; Q(s,a) = 68.87938766935456; score = -445.0; mean_score/100_episodes = -432.49; reward = -436.0; mean_reward/100_episodes = -419.57; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8933333333333333, win percentage = 0.0, 2024-12-22 14:28:20
Episode no = 900; won: False; iter_time_steps = 237; Q(s,a) = 77.1548317607343; score = -416.0; mean_score/100_episodes = -419.33; reward = -384.0; mean_reward/100_episodes = -408.68; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.88, win percentage = 0.0, 2024-12-22 14:28:49
Episode no = 1000; won: False; iter_time_steps = 60; Q(s,a) = 82.19097871958421; score = -449.0; mean_score/100_episodes = -413.86; reward = -438.0; mean_reward/100_episodes = -401.11; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8666666666666667, win percentage = 0.0, 2024-12-22 14:29:18
Episode no = 1100; won: False; iter_time_steps = 25; Q(s,a) = 86.52236325522503; score = -444.0; mean_score/100_episodes = -404.25; reward = -436.0; mean_reward/100_episodes = -390.88; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8533333333333333, win percentage = 0.0, 2024-12-22 14:29:50
