Episode no = 100; won: False; iter_time_steps = 24; Q(s,a) = nan; score = -473.0; mean_score/100_episodes = -457.39; reward = -468.0; mean_reward/100_episodes = -457.39; and epsilon = 0.9866666666666667, win percentage = 0.0, 2024-11-19 06:20:19
Episode no = 200; won: False; iter_time_steps = 70; Q(s,a) = -1.4049346532932252; score = -439.0; mean_score/100_episodes = -467.24; reward = -426.0; mean_reward/100_episodes = -467.24; and epsilon = 0.9733333333333334, win percentage = 0.0, 2024-11-19 06:22:37
Episode no = 300; won: False; iter_time_steps = 49; Q(s,a) = -2.0811476861808647; score = -508.0; mean_score/100_episodes = -461.68; reward = -504.0; mean_reward/100_episodes = -461.68; and epsilon = 0.96, win percentage = 0.0, 2024-11-19 06:25:01
Episode no = 400; won: False; iter_time_steps = 26; Q(s,a) = -2.7141986336329165; score = -485.0; mean_score/100_episodes = -446.31; reward = -481.0; mean_reward/100_episodes = -446.31; and epsilon = 0.9466666666666667, win percentage = 0.0, 2024-11-19 06:27:22
Episode no = 500; won: False; iter_time_steps = 161; Q(s,a) = -3.175514321115145; score = -450.0; mean_score/100_episodes = -455.36; reward = -418.0; mean_reward/100_episodes = -455.36; and epsilon = 0.9333333333333333, win percentage = 0.0, 2024-11-19 06:29:49
Episode no = 600; won: False; iter_time_steps = 116; Q(s,a) = -3.302868745292356; score = -445.0; mean_score/100_episodes = -453.46; reward = -428.0; mean_reward/100_episodes = -453.46; and epsilon = 0.92, win percentage = 0.0, 2024-11-19 06:32:26
Episode no = 700; won: False; iter_time_steps = 72; Q(s,a) = -3.212283679860925; score = -501.0; mean_score/100_episodes = -447.18; reward = -494.0; mean_reward/100_episodes = -447.18; and epsilon = 0.9066666666666666, win percentage = 0.0, 2024-11-19 06:34:28
Episode no = 800; won: False; iter_time_steps = 62; Q(s,a) = 2.210060458210893; score = -511.0; mean_score/100_episodes = -438.91; reward = -506.0; mean_reward/100_episodes = -438.91; and epsilon = 0.8933333333333333, win percentage = 0.0, 2024-11-19 06:36:43
Episode no = 900; won: False; iter_time_steps = 123; Q(s,a) = -3.447530838049389; score = -492.0; mean_score/100_episodes = -439.52; reward = -479.0; mean_reward/100_episodes = -439.52; and epsilon = 0.88, win percentage = 0.0, 2024-11-19 06:38:59
Episode no = 1000; won: False; iter_time_steps = 130; Q(s,a) = 5.228593455196092; score = -309.0; mean_score/100_episodes = -434.9; reward = -277.0; mean_reward/100_episodes = -434.9; and epsilon = 0.8666666666666667, win percentage = 0.0, 2024-11-19 06:41:06
Episode no = 1100; won: False; iter_time_steps = 21; Q(s,a) = 27.119471728165696; score = -480.0; mean_score/100_episodes = -411.39; reward = -476.0; mean_reward/100_episodes = -411.39; and epsilon = 0.8533333333333333, win percentage = 0.0, 2024-11-19 06:43:21
Episode no = 1200; won: False; iter_time_steps = 19; Q(s,a) = 15.931265390954128; score = -428.0; mean_score/100_episodes = -415.77; reward = -430.0; mean_reward/100_episodes = -415.77; and epsilon = 0.84, win percentage = 0.0, 2024-11-19 06:45:16
Episode no = 1300; won: False; iter_time_steps = 58; Q(s,a) = 19.035717982914278; score = -317.0; mean_score/100_episodes = -393.8; reward = -293.0; mean_reward/100_episodes = -393.8; and epsilon = 0.8266666666666667, win percentage = 0.0, 2024-11-19 06:47:30
Episode no = 1400; won: False; iter_time_steps = 30; Q(s,a) = 33.63546269728403; score = -439.0; mean_score/100_episodes = -393.21; reward = -430.0; mean_reward/100_episodes = -393.21; and epsilon = 0.8133333333333334, win percentage = 0.0, 2024-11-19 06:50:00
Episode no = 1500; won: False; iter_time_steps = 75; Q(s,a) = 42.809641914512625; score = -424.0; mean_score/100_episodes = -380.71; reward = -420.0; mean_reward/100_episodes = -380.71; and epsilon = 0.8, win percentage = 0.0, 2024-11-19 06:52:17
Episode no = 1600; won: False; iter_time_steps = 47; Q(s,a) = 46.35282974512988; score = -426.0; mean_score/100_episodes = -363.72; reward = -414.0; mean_reward/100_episodes = -363.72; and epsilon = 0.7866666666666666, win percentage = 0.0, 2024-11-19 06:54:59
Episode no = 1700; won: False; iter_time_steps = 23; Q(s,a) = 56.607504870214825; score = -452.0; mean_score/100_episodes = -369.68; reward = -445.0; mean_reward/100_episodes = -369.68; and epsilon = 0.7733333333333333, win percentage = 0.0, 2024-11-19 06:56:42
Episode no = 1800; won: False; iter_time_steps = 200; Q(s,a) = 64.856354147149; score = -89.0; mean_score/100_episodes = -342.55; reward = -28.0; mean_reward/100_episodes = -342.55; and epsilon = 0.76, win percentage = 0.0, 2024-11-19 06:58:20
Episode no = 1900; won: False; iter_time_steps = 69; Q(s,a) = 70.05474961544041; score = -338.0; mean_score/100_episodes = -342.43; reward = -326.0; mean_reward/100_episodes = -342.43; and epsilon = 0.7466666666666666, win percentage = 0.0, 2024-11-19 07:00:36
Episode no = 2000; won: False; iter_time_steps = 34; Q(s,a) = 70.87676433892163; score = -363.0; mean_score/100_episodes = -353.96; reward = -335.0; mean_reward/100_episodes = -353.96; and epsilon = 0.7333333333333334, win percentage = 0.0, 2024-11-19 07:02:31
Episode no = 2100; won: False; iter_time_steps = 56; Q(s,a) = 79.71294492575461; score = -395.0; mean_score/100_episodes = -351.98; reward = -379.0; mean_reward/100_episodes = -351.98; and epsilon = 0.72, win percentage = 0.0, 2024-11-19 07:04:31
Episode no = 2200; won: False; iter_time_steps = 25; Q(s,a) = 84.12732737140186; score = -444.0; mean_score/100_episodes = -326.88; reward = -425.0; mean_reward/100_episodes = -326.88; and epsilon = 0.7066666666666667, win percentage = 0.0, 2024-11-19 07:06:49
Episode no = 2300; won: False; iter_time_steps = 108; Q(s,a) = 90.06892831034304; score = -217.0; mean_score/100_episodes = -314.02; reward = -178.0; mean_reward/100_episodes = -314.02; and epsilon = 0.6933333333333334, win percentage = 0.0, 2024-11-19 07:08:39
Episode no = 2400; won: False; iter_time_steps = 54; Q(s,a) = 99.31490860330346; score = -333.0; mean_score/100_episodes = -318.14; reward = -300.0; mean_reward/100_episodes = -318.14; and epsilon = 0.6799999999999999, win percentage = 0.0, 2024-11-19 07:10:28
Episode no = 2500; won: False; iter_time_steps = 33; Q(s,a) = 104.4531065042798; score = -372.0; mean_score/100_episodes = -291.68; reward = -356.0; mean_reward/100_episodes = -291.68; and epsilon = 0.6666666666666667, win percentage = 0.0, 2024-11-19 07:12:52
Episode no = 2600; won: False; iter_time_steps = 220; Q(s,a) = 104.45200669836869; score = -29.0; mean_score/100_episodes = -285.19; reward = 40.0; mean_reward/100_episodes = -285.19; and epsilon = 0.6533333333333333, win percentage = 0.0, 2024-11-19 07:15:11
Episode no = 2700; won: False; iter_time_steps = 99; Q(s,a) = 109.21608301859268; score = -238.0; mean_score/100_episodes = -304.26; reward = -202.0; mean_reward/100_episodes = -304.26; and epsilon = 0.64, win percentage = 0.0, 2024-11-19 07:17:16
Episode no = 2800; won: False; iter_time_steps = 77; Q(s,a) = 113.45389730968974; score = -306.0; mean_score/100_episodes = -265.3; reward = -279.0; mean_reward/100_episodes = -265.3; and epsilon = 0.6266666666666667, win percentage = 0.0, 2024-11-19 07:19:44
Episode no = 2900; won: False; iter_time_steps = 27; Q(s,a) = 115.07508030332849; score = -406.0; mean_score/100_episodes = -244.04; reward = -394.0; mean_reward/100_episodes = -244.04; and epsilon = 0.6133333333333333, win percentage = 0.0, 2024-11-19 07:22:23
Episode no = 3000; won: False; iter_time_steps = 15; Q(s,a) = 119.0037176253456; score = -414.0; mean_score/100_episodes = -240.52; reward = -404.0; mean_reward/100_episodes = -240.52; and epsilon = 0.6, win percentage = 0.0, 2024-11-19 07:24:58
Episode no = 3100; won: False; iter_time_steps = 45; Q(s,a) = 121.16488071936622; score = -264.0; mean_score/100_episodes = -231.53; reward = -236.0; mean_reward/100_episodes = -231.53; and epsilon = 0.5866666666666667, win percentage = 0.0, 2024-11-19 07:27:59
Episode no = 3200; won: False; iter_time_steps = 69; Q(s,a) = 124.04005165443405; score = -318.0; mean_score/100_episodes = -213.37; reward = -293.0; mean_reward/100_episodes = -213.37; and epsilon = 0.5733333333333333, win percentage = 0.0, 2024-11-19 07:30:34
Episode no = 3300; won: False; iter_time_steps = 37; Q(s,a) = 125.62170701434736; score = -356.0; mean_score/100_episodes = -223.26; reward = -338.0; mean_reward/100_episodes = -223.26; and epsilon = 0.56, win percentage = 0.0, 2024-11-19 07:33:16
Episode no = 3400; won: False; iter_time_steps = 76; Q(s,a) = 127.91285242158555; score = -175.0; mean_score/100_episodes = -236.24; reward = -124.0; mean_reward/100_episodes = -236.24; and epsilon = 0.5466666666666666, win percentage = 0.0, 2024-11-19 07:35:29
Episode no = 3500; won: False; iter_time_steps = 23; Q(s,a) = 130.4170056745058; score = -372.0; mean_score/100_episodes = -181.42; reward = -346.0; mean_reward/100_episodes = -181.42; and epsilon = 0.5333333333333333, win percentage = 0.0, 2024-11-19 07:38:17
Episode no = 3600; won: False; iter_time_steps = 189; Q(s,a) = 135.0047471977572; score = 82.0; mean_score/100_episodes = -153.57; reward = 159.0; mean_reward/100_episodes = -153.57; and epsilon = 0.52, win percentage = 0.0, 2024-11-19 07:41:30
Episode no = 3700; won: False; iter_time_steps = 71; Q(s,a) = 137.43382624237572; score = -240.0; mean_score/100_episodes = -216.25; reward = -218.0; mean_reward/100_episodes = -216.25; and epsilon = 0.5066666666666666, win percentage = 0.0, 2024-11-19 07:43:38
Episode no = 3800; won: False; iter_time_steps = 30; Q(s,a) = 139.5307396776131; score = -389.0; mean_score/100_episodes = -162.11; reward = -386.0; mean_reward/100_episodes = -162.11; and epsilon = 0.4933333333333333, win percentage = 0.0, 2024-11-19 07:46:29
Episode no = 3900; won: False; iter_time_steps = 33; Q(s,a) = 144.27274183285942; score = -402.0; mean_score/100_episodes = -108.67; reward = -400.0; mean_reward/100_episodes = -108.67; and epsilon = 0.48, win percentage = 0.0, 2024-11-19 07:49:49
Episode no = 4000; won: False; iter_time_steps = 51; Q(s,a) = 143.23878206067937; score = -190.0; mean_score/100_episodes = -64.88; reward = -143.0; mean_reward/100_episodes = -64.88; and epsilon = 0.4666666666666667, win percentage = 0.01, 2024-11-19 07:53:37
Episode no = 4100; won: False; iter_time_steps = 48; Q(s,a) = 149.0347316386276; score = -307.0; mean_score/100_episodes = -79.43; reward = -272.0; mean_reward/100_episodes = -79.43; and epsilon = 0.45333333333333337, win percentage = 0.0, 2024-11-19 07:57:31
Episode no = 4200; won: False; iter_time_steps = 144; Q(s,a) = 150.40067730443934; score = 197.0; mean_score/100_episodes = -60.61; reward = 112.0; mean_reward/100_episodes = -60.61; and epsilon = 0.43999999999999995, win percentage = 0.02, 2024-11-19 08:01:05
Episode no = 4300; won: False; iter_time_steps = 31; Q(s,a) = 150.37887252682614; score = -350.0; mean_score/100_episodes = -21.24; reward = -343.0; mean_reward/100_episodes = -21.24; and epsilon = 0.42666666666666664, win percentage = 0.03, 2024-11-19 08:04:47
Episode no = 4400; won: False; iter_time_steps = 74; Q(s,a) = 155.04721529239112; score = -193.0; mean_score/100_episodes = -3.88; reward = -144.0; mean_reward/100_episodes = -3.88; and epsilon = 0.41333333333333333, win percentage = 0.02, 2024-11-19 08:08:40
Episode no = 4500; won: False; iter_time_steps = 92; Q(s,a) = 156.25197703939853; score = -121.0; mean_score/100_episodes = -28.94; reward = -63.0; mean_reward/100_episodes = -28.94; and epsilon = 0.4, win percentage = 0.01, 2024-11-19 08:12:20
Episode no = 4600; won: False; iter_time_steps = 15; Q(s,a) = 157.5491139842373; score = -464.0; mean_score/100_episodes = 3.35; reward = -459.0; mean_reward/100_episodes = 3.35; and epsilon = 0.3866666666666667, win percentage = 0.0, 2024-11-19 08:16:15
Episode no = 4700; won: False; iter_time_steps = 152; Q(s,a) = 160.52866535363285; score = 699.0; mean_score/100_episodes = 74.38; reward = 316.0; mean_reward/100_episodes = 74.38; and epsilon = 0.3733333333333333, win percentage = 0.03, 2024-11-19 08:21:01
Episode no = 4800; won: False; iter_time_steps = 183; Q(s,a) = 161.6841961188593; score = 218.0; mean_score/100_episodes = 121.81; reward = 308.0; mean_reward/100_episodes = 121.81; and epsilon = 0.36, win percentage = 0.04, 2024-11-19 08:25:42
Episode no = 4900; won: False; iter_time_steps = 174; Q(s,a) = 163.72010025721065; score = 357.0; mean_score/100_episodes = 104.89; reward = 280.0; mean_reward/100_episodes = 104.89; and epsilon = 0.3466666666666667, win percentage = 0.07, 2024-11-19 08:30:15
Episode no = 5000; won: False; iter_time_steps = 221; Q(s,a) = 163.87653379340782; score = 560.0; mean_score/100_episodes = 45.09; reward = 350.0; mean_reward/100_episodes = 45.09; and epsilon = 0.33333333333333337, win percentage = 0.04, 2024-11-19 08:34:01
Episode no = 5100; won: False; iter_time_steps = 41; Q(s,a) = 162.52929969502424; score = -60.0; mean_score/100_episodes = 148.78; reward = -181.0; mean_reward/100_episodes = 148.78; and epsilon = 0.31999999999999995, win percentage = 0.1, 2024-11-19 08:38:42
Episode no = 5200; won: False; iter_time_steps = 51; Q(s,a) = 165.80645855358335; score = -10.0; mean_score/100_episodes = 158.55; reward = -125.0; mean_reward/100_episodes = 158.55; and epsilon = 0.30666666666666664, win percentage = 0.09, 2024-11-19 08:43:17
Episode no = 5300; won: False; iter_time_steps = 109; Q(s,a) = 170.85933195071325; score = 312.0; mean_score/100_episodes = 190.52; reward = 235.0; mean_reward/100_episodes = 190.52; and epsilon = 0.29333333333333333, win percentage = 0.09, 2024-11-19 08:48:13
