Episode no = 100; won: False; iter_time_steps = 76; Q(s,a) = nan; score = -435.0; mean_score/100_episodes = -462.26; reward = -421.0; mean_reward/100_episodes = -451.94; and epsilon = 0.9866666666666667, win percentage = 0.0, 2024-11-27 14:02:46
Episode no = 200; won: False; iter_time_steps = 101; Q(s,a) = -1.2830419552646672; score = -380.0; mean_score/100_episodes = -467.5; reward = -358.0; mean_reward/100_episodes = -458.52; and epsilon = 0.9733333333333334, win percentage = 0.0, 2024-11-27 14:03:25
Episode no = 300; won: False; iter_time_steps = 38; Q(s,a) = nan; score = -427.0; mean_score/100_episodes = -470.1; reward = -416.0; mean_reward/100_episodes = -460.66; and epsilon = 0.96, win percentage = 0.0, 2024-11-27 14:04:08
Episode no = 400; won: False; iter_time_steps = 37; Q(s,a) = -2.5138393524685747; score = -486.0; mean_score/100_episodes = -462.29; reward = -481.0; mean_reward/100_episodes = -453.16; and epsilon = 0.9466666666666667, win percentage = 0.0, 2024-11-27 14:04:46
Episode no = 500; won: False; iter_time_steps = 30; Q(s,a) = -2.832724656487004; score = -489.0; mean_score/100_episodes = -466.67; reward = -485.0; mean_reward/100_episodes = -457.72; and epsilon = 0.9333333333333333, win percentage = 0.0, 2024-11-27 14:05:23
Episode no = 600; won: False; iter_time_steps = 101; Q(s,a) = -3.0441514333482003; score = -520.0; mean_score/100_episodes = -458.53; reward = -512.0; mean_reward/100_episodes = -450.18; and epsilon = 0.92, win percentage = 0.0, 2024-11-27 14:05:58
Episode no = 700; won: False; iter_time_steps = 64; Q(s,a) = 4.292170295864775; score = -413.0; mean_score/100_episodes = -448.93; reward = -398.0; mean_reward/100_episodes = -441.2; and epsilon = 0.9066666666666666, win percentage = 0.0, 2024-11-27 14:06:33
Episode no = 800; won: False; iter_time_steps = 101; Q(s,a) = -4.205643194788893; score = -380.0; mean_score/100_episodes = -457.76; reward = -358.0; mean_reward/100_episodes = -450.42; and epsilon = 0.8933333333333333, win percentage = 0.0, 2024-11-27 14:07:09
Episode no = 900; won: False; iter_time_steps = 41; Q(s,a) = -4.734925921857006; score = -430.0; mean_score/100_episodes = -449.41; reward = -419.0; mean_reward/100_episodes = -440.43; and epsilon = 0.88, win percentage = 0.0, 2024-11-27 14:07:50
Episode no = 1000; won: False; iter_time_steps = 67; Q(s,a) = 14.129364356185267; score = -346.0; mean_score/100_episodes = -438.27; reward = -324.0; mean_reward/100_episodes = -428.5; and epsilon = 0.8666666666666667, win percentage = 0.0, 2024-11-27 14:08:39
Episode no = 1100; won: False; iter_time_steps = 22; Q(s,a) = 30.691356512511785; score = -481.0; mean_score/100_episodes = -434.31; reward = -477.0; mean_reward/100_episodes = -426.61; and epsilon = 0.8533333333333333, win percentage = 0.0, 2024-11-27 14:09:34
Episode no = 1200; won: False; iter_time_steps = 46; Q(s,a) = 6.840884852591082; score = -415.0; mean_score/100_episodes = -433.59; reward = -402.0; mean_reward/100_episodes = -422.98; and epsilon = 0.84, win percentage = 0.0, 2024-11-27 14:10:27
Episode no = 1300; won: False; iter_time_steps = 63; Q(s,a) = 31.971426809701363; score = -402.0; mean_score/100_episodes = -430.04; reward = -386.0; mean_reward/100_episodes = -425.16; and epsilon = 0.8266666666666667, win percentage = 0.0, 2024-11-27 14:11:20
Episode no = 1400; won: False; iter_time_steps = 57; Q(s,a) = 36.95157103300273; score = -506.0; mean_score/100_episodes = -430.91; reward = -501.0; mean_reward/100_episodes = -419.04; and epsilon = 0.8133333333333334, win percentage = 0.0, 2024-11-27 14:12:11
Episode no = 1500; won: False; iter_time_steps = 101; Q(s,a) = 30.58185388706085; score = -480.0; mean_score/100_episodes = -429.85; reward = -468.0; mean_reward/100_episodes = -421.49; and epsilon = 0.8, win percentage = 0.0, 2024-11-27 14:12:59
Episode no = 1600; won: False; iter_time_steps = 31; Q(s,a) = 40.88004475089862; score = -430.0; mean_score/100_episodes = -424.43; reward = -409.0; mean_reward/100_episodes = -411.36; and epsilon = 0.7866666666666666, win percentage = 0.0, 2024-11-27 14:13:46
Episode no = 1700; won: False; iter_time_steps = 32; Q(s,a) = -0.1350694585584149; score = -461.0; mean_score/100_episodes = -419.12; reward = -454.0; mean_reward/100_episodes = -407.3; and epsilon = 0.7733333333333333, win percentage = 0.0, 2024-11-27 14:14:32
Episode no = 1800; won: False; iter_time_steps = 90; Q(s,a) = 36.76996463860301; score = -369.0; mean_score/100_episodes = -408.77; reward = -347.0; mean_reward/100_episodes = -394.28; and epsilon = 0.76, win percentage = 0.0, 2024-11-27 14:15:17
Episode no = 1900; won: False; iter_time_steps = 54; Q(s,a) = 44.64257436962397; score = -343.0; mean_score/100_episodes = -392.38; reward = -322.0; mean_reward/100_episodes = -383.07; and epsilon = 0.7466666666666666, win percentage = 0.0, 2024-11-27 14:16:10
Episode no = 2000; won: False; iter_time_steps = 84; Q(s,a) = 49.752978291391784; score = -313.0; mean_score/100_episodes = -393.83; reward = -297.0; mean_reward/100_episodes = -381.18; and epsilon = 0.7333333333333334, win percentage = 0.0, 2024-11-27 14:17:01
