Episode no = 100; won: False; iter_time_steps = 60; Q(s,a) = nan; score = -449.0; mean_score/100_episodes = -459.34; reward = -438.0; mean_reward/100_episodes = -453.17; and epsilon = 0.9866666666666667, win percentage = 0.0, 2024-11-29 05:35:47
Episode no = 200; won: False; iter_time_steps = 36; Q(s,a) = nan; score = -485.0; mean_score/100_episodes = -461.19; reward = -480.0; mean_reward/100_episodes = -452.59; and epsilon = 0.9733333333333334, win percentage = 0.0, 2024-11-29 05:36:54
Episode no = 300; won: False; iter_time_steps = 21; Q(s,a) = -2.0223366634650723; score = -490.0; mean_score/100_episodes = -459.84; reward = -487.0; mean_reward/100_episodes = -449.43; and epsilon = 0.96, win percentage = 0.0, 2024-11-29 05:38:05
Episode no = 400; won: False; iter_time_steps = 271; Q(s,a) = -2.6417803530438513; score = -670.0; mean_score/100_episodes = -460.88; reward = -660.0; mean_reward/100_episodes = -454.09; and epsilon = 0.9466666666666667, win percentage = 0.0, 2024-11-29 05:39:16
Episode no = 500; won: False; iter_time_steps = 61; Q(s,a) = -2.8977326551504015; score = -460.0; mean_score/100_episodes = -456.56; reward = -439.0; mean_reward/100_episodes = -452.46; and epsilon = 0.9333333333333333, win percentage = 0.0, 2024-11-29 05:40:38
Episode no = 600; won: False; iter_time_steps = 105; Q(s,a) = -0.1873610090565596; score = -474.0; mean_score/100_episodes = -459.31; reward = -461.0; mean_reward/100_episodes = -450.16; and epsilon = 0.92, win percentage = 0.0, 2024-11-29 05:42:04
Episode no = 700; won: False; iter_time_steps = 33; Q(s,a) = -0.6819949855718423; score = -502.0; mean_score/100_episodes = -451.92; reward = -499.0; mean_reward/100_episodes = -442.44; and epsilon = 0.9066666666666666, win percentage = 0.0, 2024-11-29 05:43:24
Episode no = 800; won: False; iter_time_steps = 183; Q(s,a) = 5.918426497751619; score = -452.0; mean_score/100_episodes = -435.9; reward = -429.0; mean_reward/100_episodes = -425.86; and epsilon = 0.8933333333333333, win percentage = 0.0, 2024-11-29 05:44:47
Episode no = 900; won: False; iter_time_steps = 89; Q(s,a) = 10.733826727799535; score = -448.0; mean_score/100_episodes = -435.94; reward = -434.0; mean_reward/100_episodes = -424.58; and epsilon = 0.88, win percentage = 0.0, 2024-11-29 05:46:14
Episode no = 1000; won: False; iter_time_steps = 62; Q(s,a) = 20.0509456627897; score = -351.0; mean_score/100_episodes = -448.22; reward = -319.0; mean_reward/100_episodes = -436.58; and epsilon = 0.8666666666666667, win percentage = 0.0, 2024-11-29 05:47:34
Episode no = 1100; won: False; iter_time_steps = 57; Q(s,a) = 22.013788902140433; score = -506.0; mean_score/100_episodes = -438.05; reward = -501.0; mean_reward/100_episodes = -425.77; and epsilon = 0.8533333333333333, win percentage = 0.0, 2024-11-29 05:48:52
Episode no = 1200; won: False; iter_time_steps = 41; Q(s,a) = 22.081874973367206; score = -470.0; mean_score/100_episodes = -436.37; reward = -463.0; mean_reward/100_episodes = -426.36; and epsilon = 0.84, win percentage = 0.0, 2024-11-29 05:50:08
Episode no = 1300; won: False; iter_time_steps = 28; Q(s,a) = 22.000010252117008; score = -477.0; mean_score/100_episodes = -426.67; reward = -472.0; mean_reward/100_episodes = -414.59; and epsilon = 0.8266666666666667, win percentage = 0.0, 2024-11-29 05:51:31
Episode no = 1400; won: False; iter_time_steps = 31; Q(s,a) = 29.85108282457332; score = -470.0; mean_score/100_episodes = -400.24; reward = -464.0; mean_reward/100_episodes = -390.89; and epsilon = 0.8133333333333334, win percentage = 0.0, 2024-11-29 05:52:52
Episode no = 1500; won: False; iter_time_steps = 74; Q(s,a) = 24.854355815461744; score = -483.0; mean_score/100_episodes = -405.95; reward = -474.0; mean_reward/100_episodes = -396.61; and epsilon = 0.8, win percentage = 0.0, 2024-11-29 05:54:08
Episode no = 1600; won: False; iter_time_steps = 13; Q(s,a) = 30.357090373378963; score = -462.0; mean_score/100_episodes = -397.83; reward = -468.0; mean_reward/100_episodes = -385.22; and epsilon = 0.7866666666666666, win percentage = 0.0, 2024-11-29 05:55:14
Episode no = 1700; won: False; iter_time_steps = 107; Q(s,a) = 34.319388130688395; score = -356.0; mean_score/100_episodes = -396.64; reward = -331.0; mean_reward/100_episodes = -381.49; and epsilon = 0.7733333333333333, win percentage = 0.0, 2024-11-29 05:56:17
Episode no = 1800; won: False; iter_time_steps = 42; Q(s,a) = 55.37464484223503; score = -401.0; mean_score/100_episodes = -391.35; reward = -398.0; mean_reward/100_episodes = -381.45; and epsilon = 0.76, win percentage = 0.0, 2024-11-29 05:57:20
Episode no = 1900; won: False; iter_time_steps = 33; Q(s,a) = 57.74001406707265; score = -332.0; mean_score/100_episodes = -383.76; reward = -312.0; mean_reward/100_episodes = -366.99; and epsilon = 0.7466666666666666, win percentage = 0.0, 2024-11-29 05:58:30
Episode no = 2000; won: False; iter_time_steps = 137; Q(s,a) = 59.05756553476081; score = -266.0; mean_score/100_episodes = -382.65; reward = -229.0; mean_reward/100_episodes = -366.67; and epsilon = 0.7333333333333334, win percentage = 0.0, 2024-11-29 05:59:32
Episode no = 2100; won: False; iter_time_steps = 45; Q(s,a) = 68.72115437401345; score = -334.0; mean_score/100_episodes = -379.01; reward = -324.0; mean_reward/100_episodes = -361.87; and epsilon = 0.72, win percentage = 0.0, 2024-11-29 06:00:29
Episode no = 2200; won: False; iter_time_steps = 41; Q(s,a) = 72.85999371902807; score = -460.0; mean_score/100_episodes = -362.72; reward = -452.0; mean_reward/100_episodes = -342.18; and epsilon = 0.7066666666666667, win percentage = 0.0, 2024-11-29 06:01:33
Episode no = 2300; won: False; iter_time_steps = 14; Q(s,a) = 76.51348474620842; score = -433.0; mean_score/100_episodes = -368.33; reward = -414.0; mean_reward/100_episodes = -349.75; and epsilon = 0.6933333333333334, win percentage = 0.0, 2024-11-29 06:02:34
Episode no = 2400; won: False; iter_time_steps = 18; Q(s,a) = 86.50772777245508; score = -417.0; mean_score/100_episodes = -345.38; reward = -407.0; mean_reward/100_episodes = -327.0; and epsilon = 0.6799999999999999, win percentage = 0.0, 2024-11-29 06:03:42
Episode no = 2500; won: False; iter_time_steps = 73; Q(s,a) = 93.06645694039403; score = -372.0; mean_score/100_episodes = -358.0; reward = -341.0; mean_reward/100_episodes = -338.62; and epsilon = 0.6666666666666667, win percentage = 0.0, 2024-11-29 06:04:49
Episode no = 2600; won: False; iter_time_steps = 63; Q(s,a) = 95.39626845783437; score = -312.0; mean_score/100_episodes = -355.88; reward = -287.0; mean_reward/100_episodes = -338.3; and epsilon = 0.6533333333333333, win percentage = 0.0, 2024-11-29 06:05:49
Episode no = 2700; won: False; iter_time_steps = 50; Q(s,a) = 100.86061105030926; score = -339.0; mean_score/100_episodes = -344.66; reward = -307.0; mean_reward/100_episodes = -323.72; and epsilon = 0.64, win percentage = 0.0, 2024-11-29 06:06:54
Episode no = 2800; won: False; iter_time_steps = 44; Q(s,a) = 103.92161372678378; score = -423.0; mean_score/100_episodes = -366.96; reward = -411.0; mean_reward/100_episodes = -351.0; and epsilon = 0.6266666666666667, win percentage = 0.0, 2024-11-29 06:07:46
Episode no = 2900; won: False; iter_time_steps = 55; Q(s,a) = 104.1490274998443; score = -344.0; mean_score/100_episodes = -344.59; reward = -323.0; mean_reward/100_episodes = -325.31; and epsilon = 0.6133333333333333, win percentage = 0.0, 2024-11-29 06:08:41
Episode no = 3000; won: False; iter_time_steps = 14; Q(s,a) = 111.82215924002695; score = -453.0; mean_score/100_episodes = -329.07; reward = -447.0; mean_reward/100_episodes = -306.67; and epsilon = 0.6, win percentage = 0.0, 2024-11-29 06:09:47
Episode no = 3100; won: False; iter_time_steps = 80; Q(s,a) = 116.189373387545; score = -229.0; mean_score/100_episodes = -301.3; reward = -194.0; mean_reward/100_episodes = -278.17; and epsilon = 0.5866666666666667, win percentage = 0.0, 2024-11-29 06:10:58
Episode no = 3200; won: False; iter_time_steps = 22; Q(s,a) = 119.04963872677338; score = -401.0; mean_score/100_episodes = -332.9; reward = -389.0; mean_reward/100_episodes = -310.94; and epsilon = 0.5733333333333333, win percentage = 0.0, 2024-11-29 06:11:54
Episode no = 3300; won: False; iter_time_steps = 49; Q(s,a) = 123.44058927842923; score = -328.0; mean_score/100_episodes = -318.37; reward = -317.0; mean_reward/100_episodes = -294.09; and epsilon = 0.56, win percentage = 0.0, 2024-11-29 06:13:01
Episode no = 3400; won: False; iter_time_steps = 23; Q(s,a) = 126.7599135727395; score = -402.0; mean_score/100_episodes = -309.4; reward = -390.0; mean_reward/100_episodes = -286.82; and epsilon = 0.5466666666666666, win percentage = 0.0, 2024-11-29 06:14:08
Episode no = 3500; won: False; iter_time_steps = 30; Q(s,a) = 129.709695419375; score = -369.0; mean_score/100_episodes = -305.35; reward = -353.0; mean_reward/100_episodes = -283.67; and epsilon = 0.5333333333333333, win percentage = 0.0, 2024-11-29 06:15:09
Episode no = 3600; won: False; iter_time_steps = 19; Q(s,a) = 133.51259884021087; score = -398.0; mean_score/100_episodes = -277.35; reward = -386.0; mean_reward/100_episodes = -255.72; and epsilon = 0.52, win percentage = 0.0, 2024-11-29 06:16:29
Episode no = 3700; won: False; iter_time_steps = 56; Q(s,a) = 134.69757039498757; score = -275.0; mean_score/100_episodes = -303.49; reward = -236.0; mean_reward/100_episodes = -277.27; and epsilon = 0.5066666666666666, win percentage = 0.0, 2024-11-29 06:17:36
Episode no = 3800; won: False; iter_time_steps = 58; Q(s,a) = 137.8285882865228; score = -247.0; mean_score/100_episodes = -283.68; reward = -216.0; mean_reward/100_episodes = -259.34; and epsilon = 0.4933333333333333, win percentage = 0.0, 2024-11-29 06:18:47
Episode no = 3900; won: False; iter_time_steps = 68; Q(s,a) = 142.04088161187832; score = -207.0; mean_score/100_episodes = -303.34; reward = -171.0; mean_reward/100_episodes = -282.52; and epsilon = 0.48, win percentage = 0.0, 2024-11-29 06:19:45
Episode no = 4000; won: False; iter_time_steps = 61; Q(s,a) = 144.62205162832046; score = -190.0; mean_score/100_episodes = -268.31; reward = -153.0; mean_reward/100_episodes = -239.41; and epsilon = 0.4666666666666667, win percentage = 0.0, 2024-11-29 06:21:03
Episode no = 4100; won: False; iter_time_steps = 26; Q(s,a) = 146.24253053636033; score = -395.0; mean_score/100_episodes = -299.56; reward = -382.0; mean_reward/100_episodes = -275.17; and epsilon = 0.45333333333333337, win percentage = 0.0, 2024-11-29 06:22:07
Episode no = 4200; won: False; iter_time_steps = 87; Q(s,a) = 147.89390251879686; score = -86.0; mean_score/100_episodes = -274.02; reward = -36.0; mean_reward/100_episodes = -244.89; and epsilon = 0.43999999999999995, win percentage = 0.0, 2024-11-29 06:23:15
Episode no = 4300; won: False; iter_time_steps = 15; Q(s,a) = 147.86581930885333; score = -414.0; mean_score/100_episodes = -251.68; reward = -404.0; mean_reward/100_episodes = -226.19; and epsilon = 0.42666666666666664, win percentage = 0.0, 2024-11-29 06:24:35
Episode no = 4400; won: False; iter_time_steps = 57; Q(s,a) = 150.62032773191046; score = -226.0; mean_score/100_episodes = -260.71; reward = -182.0; mean_reward/100_episodes = -236.9; and epsilon = 0.41333333333333333, win percentage = 0.0, 2024-11-29 06:25:39
Episode no = 4500; won: False; iter_time_steps = 17; Q(s,a) = 153.90281451273376; score = -436.0; mean_score/100_episodes = -250.63; reward = -428.0; mean_reward/100_episodes = -224.72; and epsilon = 0.4, win percentage = 0.0, 2024-11-29 06:26:46
Episode no = 4600; won: False; iter_time_steps = 118; Q(s,a) = 155.10615107606077; score = -27.0; mean_score/100_episodes = -239.19; reward = 32.0; mean_reward/100_episodes = -215.65; and epsilon = 0.3866666666666667, win percentage = 0.0, 2024-11-29 06:27:59
Episode no = 4700; won: False; iter_time_steps = 60; Q(s,a) = 153.02457390332398; score = -219.0; mean_score/100_episodes = -223.93; reward = -185.0; mean_reward/100_episodes = -199.71; and epsilon = 0.3733333333333333, win percentage = 0.0, 2024-11-29 06:29:15
Episode no = 4800; won: False; iter_time_steps = 80; Q(s,a) = 157.49173953305794; score = -99.0; mean_score/100_episodes = -192.98; reward = -51.0; mean_reward/100_episodes = -168.13; and epsilon = 0.36, win percentage = 0.0, 2024-11-29 06:30:45
Episode no = 4900; won: False; iter_time_steps = 169; Q(s,a) = 159.16258656896107; score = 62.0; mean_score/100_episodes = -179.24; reward = -34.0; mean_reward/100_episodes = -162.48; and epsilon = 0.3466666666666667, win percentage = 0.0, 2024-11-29 06:32:11
Episode no = 5000; won: False; iter_time_steps = 31; Q(s,a) = 161.15762614235916; score = -320.0; mean_score/100_episodes = -175.21; reward = -299.0; mean_reward/100_episodes = -147.37; and epsilon = 0.33333333333333337, win percentage = 0.0, 2024-11-29 06:33:42
Episode no = 5100; won: False; iter_time_steps = 75; Q(s,a) = 163.16131121229225; score = -84.0; mean_score/100_episodes = -182.78; reward = -46.0; mean_reward/100_episodes = -158.11; and epsilon = 0.31999999999999995, win percentage = 0.0, 2024-11-29 06:34:58
Episode no = 5200; won: False; iter_time_steps = 49; Q(s,a) = 165.0348601800879; score = -198.0; mean_score/100_episodes = -146.98; reward = -163.0; mean_reward/100_episodes = -119.65; and epsilon = 0.30666666666666664, win percentage = 0.0, 2024-11-29 06:36:29
Episode no = 5300; won: False; iter_time_steps = 52; Q(s,a) = 161.81354886001435; score = -231.0; mean_score/100_episodes = -144.49; reward = -199.0; mean_reward/100_episodes = -125.69; and epsilon = 0.29333333333333333, win percentage = 0.0, 2024-11-29 06:37:50
Episode no = 5400; won: False; iter_time_steps = 34; Q(s,a) = 165.65770624405334; score = -293.0; mean_score/100_episodes = -143.72; reward = -258.0; mean_reward/100_episodes = -121.45; and epsilon = 0.28, win percentage = 0.0, 2024-11-29 06:39:09
Episode no = 5500; won: False; iter_time_steps = 85; Q(s,a) = 166.87862234786624; score = -4.0; mean_score/100_episodes = -138.07; reward = 54.0; mean_reward/100_episodes = -108.92; and epsilon = 0.2666666666666667, win percentage = 0.0, 2024-11-29 06:40:30
Episode no = 5600; won: False; iter_time_steps = 26; Q(s,a) = 168.14071840576705; score = -325.0; mean_score/100_episodes = -141.96; reward = -294.0; mean_reward/100_episodes = -111.44; and epsilon = 0.2533333333333333, win percentage = 0.0, 2024-11-29 06:41:50
Episode no = 5700; won: False; iter_time_steps = 73; Q(s,a) = 168.0627584476572; score = 28.0; mean_score/100_episodes = -142.11; reward = 88.0; mean_reward/100_episodes = -107.6; and epsilon = 0.24, win percentage = 0.0, 2024-11-29 06:43:11
Episode no = 5800; won: False; iter_time_steps = 39; Q(s,a) = 167.46249651087112; score = -218.0; mean_score/100_episodes = -107.76; reward = -186.0; mean_reward/100_episodes = -70.65; and epsilon = 0.22666666666666668, win percentage = 0.0, 2024-11-29 06:44:44
