Episode no = 100; won: False; iter_time_steps = 26; Q(s,a) = -0.6129661446659267; score = -465.0; mean_score/100_episodes = -463.77; reward = -459.0; mean_reward/100_episodes = -455.71; snn_single_energy = 0; snn_total_energy = 0.0004973038194444445; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9866666666666667, win percentage = 0.0, 2024-12-02 03:57:06
Episode no = 200; won: False; iter_time_steps = 100; Q(s,a) = -1.2727470645388028; score = -499.0; mean_score/100_episodes = -464.88; reward = -489.0; mean_reward/100_episodes = -457.1; snn_single_energy = 0; snn_total_energy = 0.0015629140624999996; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9733333333333334, win percentage = 0.0, 2024-12-02 03:57:46
Episode no = 300; won: False; iter_time_steps = 353; Q(s,a) = -1.9150835083968776; score = -422.0; mean_score/100_episodes = -471.25; reward = -379.0; mean_reward/100_episodes = -461.96; snn_single_energy = 0; snn_total_energy = 0.0040059565972222246; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.96, win percentage = 0.0, 2024-12-02 03:58:33
Episode no = 400; won: False; iter_time_steps = 150; Q(s,a) = -2.519630687145328; score = -389.0; mean_score/100_episodes = -461.1; reward = -374.0; mean_reward/100_episodes = -452.41; snn_single_energy = 0; snn_total_energy = 0.00893036915131613; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9466666666666667, win percentage = 0.0, 2024-12-02 03:59:17
Episode no = 500; won: False; iter_time_steps = 48; Q(s,a) = -3.1684431557210235; score = -477.0; mean_score/100_episodes = -470.65; reward = -481.0; mean_reward/100_episodes = -460.93; snn_single_energy = 0; snn_total_energy = 0.047915540279572906; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9333333333333333, win percentage = 0.0, 2024-12-02 04:00:05
Episode no = 600; won: False; iter_time_steps = 46; Q(s,a) = -2.0428603552737528; score = -505.0; mean_score/100_episodes = -456.52; reward = -501.0; mean_reward/100_episodes = -446.62; snn_single_energy = 0; snn_total_energy = 0.1289343784705071; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.92, win percentage = 0.0, 2024-12-02 04:00:57
Episode no = 700; won: False; iter_time_steps = 107; Q(s,a) = -4.107283596484393; score = -456.0; mean_score/100_episodes = -449.63; reward = -441.0; mean_reward/100_episodes = -441.07; snn_single_energy = 0; snn_total_energy = 0.23249173758772376; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9066666666666666, win percentage = 0.0, 2024-12-02 04:01:47
Episode no = 800; won: False; iter_time_steps = 34; Q(s,a) = 4.632350341341402; score = -503.0; mean_score/100_episodes = -451.78; reward = -500.0; mean_reward/100_episodes = -439.66; snn_single_energy = 0; snn_total_energy = 0.39989343103721653; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8933333333333333, win percentage = 0.0, 2024-12-02 04:02:54
Episode no = 900; won: False; iter_time_steps = 175; Q(s,a) = -5.025920917679203; score = -454.0; mean_score/100_episodes = -455.76; reward = -432.0; mean_reward/100_episodes = -445.0; snn_single_energy = 0; snn_total_energy = 0.5895864904507946; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.88, win percentage = 0.0, 2024-12-02 04:03:57
Episode no = 1000; won: False; iter_time_steps = 52; Q(s,a) = 19.06484310490945; score = -401.0; mean_score/100_episodes = -447.76; reward = -375.0; mean_reward/100_episodes = -435.94; snn_single_energy = 0; snn_total_energy = 0.8087733311236278; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8666666666666667, win percentage = 0.0, 2024-12-02 04:04:55
Episode no = 1100; won: False; iter_time_steps = 26; Q(s,a) = -4.937249231319353; score = -455.0; mean_score/100_episodes = -436.42; reward = -437.0; mean_reward/100_episodes = -428.23; snn_single_energy = 0; snn_total_energy = 1.0790129383969855; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8533333333333333, win percentage = 0.0, 2024-12-02 04:06:00
Episode no = 1200; won: False; iter_time_steps = 15; Q(s,a) = 28.2006902117371; score = -474.0; mean_score/100_episodes = -431.87; reward = -481.0; mean_reward/100_episodes = -423.26; snn_single_energy = 0; snn_total_energy = 1.3834505950818543; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.84, win percentage = 0.0, 2024-12-02 04:07:08
Episode no = 1300; won: False; iter_time_steps = 84; Q(s,a) = 23.006246140120044; score = -373.0; mean_score/100_episodes = -418.27; reward = -352.0; mean_reward/100_episodes = -408.89; snn_single_energy = 0; snn_total_energy = 1.7733355021127575; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8266666666666667, win percentage = 0.0, 2024-12-02 04:08:55
Episode no = 1400; won: False; iter_time_steps = 59; Q(s,a) = 33.40366354204797; score = -268.0; mean_score/100_episodes = -420.91; reward = -239.0; mean_reward/100_episodes = -409.0; snn_single_energy = 0; snn_total_energy = 2.211026391676899; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8133333333333334, win percentage = 0.0, 2024-12-02 04:10:36
Episode no = 1500; won: False; iter_time_steps = 147; Q(s,a) = 34.51186526689215; score = 24.0; mean_score/100_episodes = -402.18; reward = -247.0; mean_reward/100_episodes = -392.73; snn_single_energy = 0; snn_total_energy = 2.757421913054314; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8, win percentage = 0.0, 2024-12-02 04:12:23
Episode no = 1600; won: False; iter_time_steps = 21; Q(s,a) = 33.75401953682118; score = -470.0; mean_score/100_episodes = -415.78; reward = -454.0; mean_reward/100_episodes = -401.05; snn_single_energy = 0; snn_total_energy = 3.2924281541024483; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7866666666666666, win percentage = 0.0, 2024-12-02 04:13:54
Episode no = 1700; won: False; iter_time_steps = 36; Q(s,a) = 38.89337425905614; score = -465.0; mean_score/100_episodes = -405.08; reward = -458.0; mean_reward/100_episodes = -390.76; snn_single_energy = 0; snn_total_energy = 3.9478808701661223; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7733333333333333, win percentage = 0.0, 2024-12-02 04:15:16
Episode no = 1800; won: False; iter_time_steps = 19; Q(s,a) = 43.72207189798097; score = -458.0; mean_score/100_episodes = -389.3; reward = -452.0; mean_reward/100_episodes = -371.14; snn_single_energy = 0; snn_total_energy = 4.681527313175389; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.76, win percentage = 0.0, 2024-12-02 04:16:01
Episode no = 1900; won: False; iter_time_steps = 23; Q(s,a) = 40.39980399487894; score = -482.0; mean_score/100_episodes = -376.69; reward = -478.0; mean_reward/100_episodes = -362.43; snn_single_energy = 0; snn_total_energy = 5.459845203792751; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7466666666666666, win percentage = 0.0, 2024-12-02 04:16:48
Episode no = 2000; won: False; iter_time_steps = 127; Q(s,a) = 50.070988866048026; score = -286.0; mean_score/100_episodes = -370.47; reward = -252.0; mean_reward/100_episodes = -350.94; snn_single_energy = 0; snn_total_energy = 6.338743138745214; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7333333333333334, win percentage = 0.0, 2024-12-02 04:17:36
Episode no = 2100; won: False; iter_time_steps = 136; Q(s,a) = 56.22738998982926; score = -235.0; mean_score/100_episodes = -367.93; reward = -195.0; mean_reward/100_episodes = -353.94; snn_single_energy = 0; snn_total_energy = 7.161043244376605; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.72, win percentage = 0.0, 2024-12-02 04:18:16
Episode no = 2200; won: False; iter_time_steps = 39; Q(s,a) = 61.422325619810124; score = -418.0; mean_score/100_episodes = -377.72; reward = -406.0; mean_reward/100_episodes = -360.28; snn_single_energy = 0; snn_total_energy = 8.039123233616953; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7066666666666667, win percentage = 0.0, 2024-12-02 04:18:57
Episode no = 2300; won: False; iter_time_steps = 182; Q(s,a) = 64.99992317928486; score = -371.0; mean_score/100_episodes = -375.1; reward = -340.0; mean_reward/100_episodes = -360.75; snn_single_energy = 0; snn_total_energy = 8.971832128386854; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6933333333333334, win percentage = 0.0, 2024-12-02 04:19:36
Episode no = 2400; won: False; iter_time_steps = 20; Q(s,a) = 72.0986127442421; score = -439.0; mean_score/100_episodes = -359.44; reward = -420.0; mean_reward/100_episodes = -341.95; snn_single_energy = 0; snn_total_energy = 10.01283972881044; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6799999999999999, win percentage = 0.0, 2024-12-02 04:20:17
Episode no = 2500; won: False; iter_time_steps = 94; Q(s,a) = 65.78539292703914; score = -313.0; mean_score/100_episodes = -361.46; reward = -285.0; mean_reward/100_episodes = -343.06; snn_single_energy = 0; snn_total_energy = 11.104991065917535; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6666666666666667, win percentage = 0.0, 2024-12-02 04:20:58
Episode no = 2600; won: False; iter_time_steps = 67; Q(s,a) = 80.63652595654602; score = -286.0; mean_score/100_episodes = -361.37; reward = -269.0; mean_reward/100_episodes = -342.75; snn_single_energy = 0; snn_total_energy = 12.212116782622102; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6533333333333333, win percentage = 0.0, 2024-12-02 04:21:36
Episode no = 2700; won: False; iter_time_steps = 68; Q(s,a) = 87.59021798625554; score = -337.0; mean_score/100_episodes = -349.5; reward = -314.0; mean_reward/100_episodes = -331.0; snn_single_energy = 0; snn_total_energy = 13.437729399828548; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.64, win percentage = 0.0, 2024-12-02 04:22:16
Episode no = 2800; won: False; iter_time_steps = 18; Q(s,a) = 83.56614310812296; score = -427.0; mean_score/100_episodes = -342.93; reward = -429.0; mean_reward/100_episodes = -323.25; snn_single_energy = 0; snn_total_energy = 14.808386284841255; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6266666666666667, win percentage = 0.0, 2024-12-02 04:22:57
Episode no = 2900; won: False; iter_time_steps = 51; Q(s,a) = 95.98298255123797; score = -350.0; mean_score/100_episodes = -329.99; reward = -341.0; mean_reward/100_episodes = -307.29; snn_single_energy = 0; snn_total_energy = 16.202504933369287; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6133333333333333, win percentage = 0.0, 2024-12-02 04:23:37
Episode no = 3000; won: False; iter_time_steps = 65; Q(s,a) = 100.03906669027725; score = -354.0; mean_score/100_episodes = -329.28; reward = -333.0; mean_reward/100_episodes = -305.3; snn_single_energy = 0; snn_total_energy = 17.82599140982405; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6, win percentage = 0.0, 2024-12-02 04:24:26
Episode no = 3100; won: False; iter_time_steps = 26; Q(s,a) = 94.5327692180027; score = -395.0; mean_score/100_episodes = -328.16; reward = -393.0; mean_reward/100_episodes = -308.53; snn_single_energy = 0; snn_total_energy = 19.242101322545; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5866666666666667, win percentage = 0.0, 2024-12-02 04:25:04
Episode no = 3200; won: False; iter_time_steps = 61; Q(s,a) = 105.28360785329718; score = -270.0; mean_score/100_episodes = -312.61; reward = -241.0; mean_reward/100_episodes = -290.03; snn_single_energy = 0; snn_total_energy = 21.024168644147803; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5733333333333333, win percentage = 0.0, 2024-12-02 04:25:49
Episode no = 3300; won: False; iter_time_steps = 41; Q(s,a) = 108.89537010179419; score = -270.0; mean_score/100_episodes = -329.38; reward = -243.0; mean_reward/100_episodes = -306.38; snn_single_energy = 0; snn_total_energy = 22.500176190374557; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.56, win percentage = 0.0, 2024-12-02 04:26:24
Episode no = 3400; won: False; iter_time_steps = 122; Q(s,a) = 111.72539361216526; score = -181.0; mean_score/100_episodes = -303.7; reward = -126.0; mean_reward/100_episodes = -277.91; snn_single_energy = 0; snn_total_energy = 24.29727113192219; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5466666666666666, win percentage = 0.0, 2024-12-02 04:27:06
Episode no = 3500; won: False; iter_time_steps = 22; Q(s,a) = 113.1517675308465; score = -401.0; mean_score/100_episodes = -306.22; reward = -389.0; mean_reward/100_episodes = -283.12; snn_single_energy = 0; snn_total_energy = 26.22749117370221; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5333333333333333, win percentage = 0.0, 2024-12-02 04:27:50
Episode no = 3600; won: False; iter_time_steps = 38; Q(s,a) = 113.40811204201016; score = -377.0; mean_score/100_episodes = -308.66; reward = -361.0; mean_reward/100_episodes = -285.87; snn_single_energy = 0; snn_total_energy = 27.99769792003897; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.52, win percentage = 0.0, 2024-12-02 04:28:29
Episode no = 3700; won: False; iter_time_steps = 33; Q(s,a) = 123.14380450256816; score = -332.0; mean_score/100_episodes = -287.35; reward = -323.0; mean_reward/100_episodes = -259.9; snn_single_energy = 0; snn_total_energy = 29.941900098834143; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5066666666666666, win percentage = 0.0, 2024-12-02 04:29:12
Episode no = 3800; won: False; iter_time_steps = 11; Q(s,a) = 120.4263339782439; score = -440.0; mean_score/100_episodes = -290.53; reward = -433.0; mean_reward/100_episodes = -264.58; snn_single_energy = 0; snn_total_energy = 31.85995923256617; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.4933333333333333, win percentage = 0.0, 2024-12-02 04:29:53
Episode no = 3900; won: False; iter_time_steps = 27; Q(s,a) = 127.81175877627255; score = -356.0; mean_score/100_episodes = -279.27; reward = -339.0; mean_reward/100_episodes = -253.8; snn_single_energy = 0; snn_total_energy = 34.034616265970364; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.48, win percentage = 0.0, 2024-12-02 04:30:37
Episode no = 4000; won: False; iter_time_steps = 27; Q(s,a) = 128.71180380391021; score = -356.0; mean_score/100_episodes = -279.54; reward = -339.0; mean_reward/100_episodes = -250.99; snn_single_energy = 0; snn_total_energy = 36.05221509463812; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.4666666666666667, win percentage = 0.0, 2024-12-02 04:31:16
