Episode no = 100; won: False; iter_time_steps = 75; Q(s,a) = -0.6858212435905539; score = -484.0; mean_score/100_episodes = -461.39; reward = -486.0; mean_reward/100_episodes = -452.44; and epsilon = 0.9866666666666667, win percentage = 0.0, 2024-11-24 16:24:20
Episode no = 200; won: False; iter_time_steps = 23; Q(s,a) = nan; score = -492.0; mean_score/100_episodes = -470.52; reward = -489.0; mean_reward/100_episodes = -464.01; and epsilon = 0.9733333333333334, win percentage = 0.0, 2024-11-24 16:26:22
Episode no = 300; won: False; iter_time_steps = 39; Q(s,a) = -2.0469437053722377; score = -458.0; mean_score/100_episodes = -461.61; reward = -450.0; mean_reward/100_episodes = -451.01; and epsilon = 0.96, win percentage = 0.0, 2024-11-24 16:28:35
Episode no = 400; won: False; iter_time_steps = 45; Q(s,a) = -2.555149387005775; score = -394.0; mean_score/100_episodes = -466.51; reward = -379.0; mean_reward/100_episodes = -458.57; and epsilon = 0.9466666666666667, win percentage = 0.0, 2024-11-24 16:30:51
Episode no = 500; won: False; iter_time_steps = 84; Q(s,a) = -3.2255250703414493; score = -353.0; mean_score/100_episodes = -459.67; reward = -330.0; mean_reward/100_episodes = -449.44; and epsilon = 0.9333333333333333, win percentage = 0.0, 2024-11-24 16:33:08
Episode no = 600; won: False; iter_time_steps = 50; Q(s,a) = -1.9450996505876446; score = -509.0; mean_score/100_episodes = -452.04; reward = -505.0; mean_reward/100_episodes = -442.05; and epsilon = 0.92, win percentage = 0.0, 2024-11-24 16:35:13
Episode no = 700; won: False; iter_time_steps = 49; Q(s,a) = -1.493634752670339; score = -418.0; mean_score/100_episodes = -437.82; reward = -394.0; mean_reward/100_episodes = -431.91; and epsilon = 0.9066666666666666, win percentage = 0.0, 2024-11-24 16:37:37
Episode no = 800; won: False; iter_time_steps = 35; Q(s,a) = 15.306401207505548; score = -484.0; mean_score/100_episodes = -452.96; reward = -479.0; mean_reward/100_episodes = -443.68; and epsilon = 0.8933333333333333, win percentage = 0.0, 2024-11-24 16:39:26
Episode no = 900; won: False; iter_time_steps = 89; Q(s,a) = nan; score = -538.0; mean_score/100_episodes = -448.69; reward = -533.0; mean_reward/100_episodes = -437.64; and epsilon = 0.88, win percentage = 0.0, 2024-11-24 16:41:21
Episode no = 1000; won: False; iter_time_steps = 288; Q(s,a) = 9.954444877501492; score = -447.0; mean_score/100_episodes = -422.53; reward = -413.0; mean_reward/100_episodes = -412.99; and epsilon = 0.8666666666666667, win percentage = 0.0, 2024-11-24 16:43:37
Episode no = 1100; won: False; iter_time_steps = 30; Q(s,a) = 28.842437145162624; score = -499.0; mean_score/100_episodes = -426.52; reward = -496.0; mean_reward/100_episodes = -414.27; and epsilon = 0.8533333333333333, win percentage = 0.0, 2024-11-24 16:45:52
Episode no = 1200; won: False; iter_time_steps = 48; Q(s,a) = 29.291165583194616; score = -447.0; mean_score/100_episodes = -418.04; reward = -437.0; mean_reward/100_episodes = -403.06; and epsilon = 0.84, win percentage = 0.0, 2024-11-24 16:47:59
Episode no = 1300; won: False; iter_time_steps = 87; Q(s,a) = 46.16642732377152; score = -336.0; mean_score/100_episodes = -406.93; reward = -311.0; mean_reward/100_episodes = -390.94; and epsilon = 0.8266666666666667, win percentage = 0.0, 2024-11-24 16:50:23
Episode no = 1400; won: False; iter_time_steps = 84; Q(s,a) = 50.648991781531876; score = -353.0; mean_score/100_episodes = -393.87; reward = -330.0; mean_reward/100_episodes = -378.74; and epsilon = 0.8133333333333334, win percentage = 0.0, 2024-11-24 16:52:37
Episode no = 1500; won: False; iter_time_steps = 38; Q(s,a) = 62.67775197993421; score = -457.0; mean_score/100_episodes = -401.67; reward = -449.0; mean_reward/100_episodes = -388.25; and epsilon = 0.8, win percentage = 0.0, 2024-11-24 16:54:32
Episode no = 1600; won: False; iter_time_steps = 185; Q(s,a) = 67.81120350727906; score = -264.0; mean_score/100_episodes = -380.92; reward = -222.0; mean_reward/100_episodes = -365.98; and epsilon = 0.7866666666666666, win percentage = 0.0, 2024-11-24 16:56:42
Episode no = 1700; won: False; iter_time_steps = 52; Q(s,a) = 74.79392232023199; score = -321.0; mean_score/100_episodes = -373.44; reward = -298.0; mean_reward/100_episodes = -355.76; and epsilon = 0.7733333333333333, win percentage = 0.0, 2024-11-24 16:59:01
Episode no = 1800; won: False; iter_time_steps = 21; Q(s,a) = 83.5742274355743; score = -450.0; mean_score/100_episodes = -389.4; reward = -432.0; mean_reward/100_episodes = -371.43; and epsilon = 0.76, win percentage = 0.0, 2024-11-24 17:01:03
Episode no = 1900; won: False; iter_time_steps = 102; Q(s,a) = 87.12909746309059; score = -251.0; mean_score/100_episodes = -380.4; reward = -205.0; mean_reward/100_episodes = -362.79; and epsilon = 0.7466666666666666, win percentage = 0.0, 2024-11-24 17:02:57
Episode no = 2000; won: False; iter_time_steps = 102; Q(s,a) = 86.70826804491135; score = -251.0; mean_score/100_episodes = -363.74; reward = -205.0; mean_reward/100_episodes = -343.72; and epsilon = 0.7333333333333334, win percentage = 0.0, 2024-11-24 17:05:04
Episode no = 2100; won: False; iter_time_steps = 144; Q(s,a) = 92.11263799926267; score = -273.0; mean_score/100_episodes = -359.22; reward = -236.0; mean_reward/100_episodes = -337.97; and epsilon = 0.72, win percentage = 0.0, 2024-11-24 17:07:15
