Episode no = 100; won: False; iter_time_steps = 57; Q(s,a) = -0.6670180872263852; score = -456.0; mean_score/100_episodes = -468.32; reward = -435.0; mean_reward/100_episodes = -458.65; and epsilon = 0.9866666666666667, win percentage = 0.0, 2024-11-26 07:03:13
Episode no = 200; won: False; iter_time_steps = 36; Q(s,a) = nan; score = -495.0; mean_score/100_episodes = -466.81; reward = -491.0; mean_reward/100_episodes = -459.48; and epsilon = 0.9733333333333334, win percentage = 0.0, 2024-11-26 07:03:59
Episode no = 300; won: False; iter_time_steps = 36; Q(s,a) = nan; score = -425.0; mean_score/100_episodes = -463.48; reward = -425.0; mean_reward/100_episodes = -457.35; and epsilon = 0.96, win percentage = 0.0, 2024-11-26 07:04:42
Episode no = 400; won: False; iter_time_steps = 147; Q(s,a) = -2.5872267570215812; score = -436.0; mean_score/100_episodes = -471.11; reward = -415.0; mean_reward/100_episodes = -463.33; and epsilon = 0.9466666666666667, win percentage = 0.0, 2024-11-26 07:05:19
Episode no = 500; won: False; iter_time_steps = 54; Q(s,a) = -2.932521800596653; score = -453.0; mean_score/100_episodes = -463.39; reward = -443.0; mean_reward/100_episodes = -456.78; and epsilon = 0.9333333333333333, win percentage = 0.0, 2024-11-26 07:06:00
Episode no = 600; won: False; iter_time_steps = 67; Q(s,a) = -3.337776282551792; score = -406.0; mean_score/100_episodes = -467.78; reward = -390.0; mean_reward/100_episodes = -460.67; and epsilon = 0.92, win percentage = 0.0, 2024-11-26 07:06:37
Episode no = 700; won: False; iter_time_steps = 204; Q(s,a) = -3.197089750969761; score = -423.0; mean_score/100_episodes = -456.67; reward = -395.0; mean_reward/100_episodes = -445.56; and epsilon = 0.9066666666666666, win percentage = 0.0, 2024-11-26 07:07:18
Episode no = 800; won: False; iter_time_steps = 25; Q(s,a) = -1.6961542221246892; score = -434.0; mean_score/100_episodes = -460.79; reward = -425.0; mean_reward/100_episodes = -450.57; and epsilon = 0.8933333333333333, win percentage = 0.0, 2024-11-26 07:08:01
Episode no = 900; won: False; iter_time_steps = 39; Q(s,a) = -4.0707218445848525; score = -408.0; mean_score/100_episodes = -460.03; reward = -395.0; mean_reward/100_episodes = -455.0; and epsilon = 0.88, win percentage = 0.0, 2024-11-26 07:08:45
Episode no = 1000; won: False; iter_time_steps = 31; Q(s,a) = 15.785507316624685; score = -500.0; mean_score/100_episodes = -443.45; reward = -497.0; mean_reward/100_episodes = -433.67; and epsilon = 0.8666666666666667, win percentage = 0.0, 2024-11-26 07:09:28
Episode no = 1100; won: False; iter_time_steps = 24; Q(s,a) = 18.861461388097375; score = -443.0; mean_score/100_episodes = -445.35; reward = -435.0; mean_reward/100_episodes = -436.15; and epsilon = 0.8533333333333333, win percentage = 0.0, 2024-11-26 07:10:11
Episode no = 1200; won: False; iter_time_steps = 78; Q(s,a) = 6.535606954143202; score = -407.0; mean_score/100_episodes = -440.76; reward = -390.0; mean_reward/100_episodes = -431.41; and epsilon = 0.84, win percentage = 0.0, 2024-11-26 07:10:55
Episode no = 1300; won: False; iter_time_steps = 52; Q(s,a) = 8.195438766698977; score = -351.0; mean_score/100_episodes = -429.85; reward = -331.0; mean_reward/100_episodes = -416.2; and epsilon = 0.8266666666666667, win percentage = 0.0, 2024-11-26 07:11:42
Episode no = 1400; won: False; iter_time_steps = 44; Q(s,a) = 34.015970555929364; score = -433.0; mean_score/100_episodes = -437.33; reward = -422.0; mean_reward/100_episodes = -425.2; and epsilon = 0.8133333333333334, win percentage = 0.0, 2024-11-26 07:12:24
Episode no = 1500; won: False; iter_time_steps = 103; Q(s,a) = 17.988946809325657; score = -422.0; mean_score/100_episodes = -426.89; reward = -404.0; mean_reward/100_episodes = -413.29; and epsilon = 0.8, win percentage = 0.0, 2024-11-26 07:13:11
Episode no = 1600; won: False; iter_time_steps = 33; Q(s,a) = 38.982092857405945; score = -412.0; mean_score/100_episodes = -408.46; reward = -400.0; mean_reward/100_episodes = -398.54; and epsilon = 0.7866666666666666, win percentage = 0.0, 2024-11-26 07:13:52
Episode no = 1700; won: False; iter_time_steps = 54; Q(s,a) = 29.535994279030902; score = -503.0; mean_score/100_episodes = -407.32; reward = -498.0; mean_reward/100_episodes = -394.18; and epsilon = 0.7733333333333333, win percentage = 0.0, 2024-11-26 07:14:29
Episode no = 1800; won: False; iter_time_steps = 69; Q(s,a) = 40.59758581239939; score = -368.0; mean_score/100_episodes = -397.62; reward = -348.0; mean_reward/100_episodes = -381.87; and epsilon = 0.76, win percentage = 0.0, 2024-11-26 07:15:09
Episode no = 1900; won: False; iter_time_steps = 80; Q(s,a) = 42.193246769577506; score = -349.0; mean_score/100_episodes = -394.37; reward = -326.0; mean_reward/100_episodes = -378.31; and epsilon = 0.7466666666666666, win percentage = 0.0, 2024-11-26 07:15:47
Episode no = 2000; won: False; iter_time_steps = 75; Q(s,a) = 44.61022802637984; score = -304.0; mean_score/100_episodes = -386.16; reward = -277.0; mean_reward/100_episodes = -369.65; and epsilon = 0.7333333333333334, win percentage = 0.0, 2024-11-26 07:16:28
Episode no = 2100; won: False; iter_time_steps = 27; Q(s,a) = 39.21296949304765; score = -426.0; mean_score/100_episodes = -379.83; reward = -416.0; mean_reward/100_episodes = -361.82; and epsilon = 0.72, win percentage = 0.0, 2024-11-26 07:17:09
Episode no = 2200; won: False; iter_time_steps = 58; Q(s,a) = 58.97747596089985; score = -357.0; mean_score/100_episodes = -363.98; reward = -348.0; mean_reward/100_episodes = -347.17; and epsilon = 0.7066666666666667, win percentage = 0.0, 2024-11-26 07:17:50
Episode no = 2300; won: False; iter_time_steps = 53; Q(s,a) = 67.57548763374055; score = -382.0; mean_score/100_episodes = -364.85; reward = -365.0; mean_reward/100_episodes = -346.91; and epsilon = 0.6933333333333334, win percentage = 0.0, 2024-11-26 07:18:30
Episode no = 2400; won: False; iter_time_steps = 39; Q(s,a) = 73.0876065740812; score = -388.0; mean_score/100_episodes = -367.17; reward = -362.0; mean_reward/100_episodes = -347.92; and epsilon = 0.6799999999999999, win percentage = 0.0, 2024-11-26 07:19:08
Episode no = 2500; won: False; iter_time_steps = 29; Q(s,a) = 78.27499812979616; score = -318.0; mean_score/100_episodes = -369.47; reward = -297.0; mean_reward/100_episodes = -351.99; and epsilon = 0.6666666666666667, win percentage = 0.0, 2024-11-26 07:19:47
Episode no = 2600; won: False; iter_time_steps = 37; Q(s,a) = 84.4857808597815; score = -386.0; mean_score/100_episodes = -348.06; reward = -360.0; mean_reward/100_episodes = -329.94; and epsilon = 0.6533333333333333, win percentage = 0.0, 2024-11-26 07:20:28
Episode no = 2700; won: False; iter_time_steps = 123; Q(s,a) = 89.2836165763336; score = -322.0; mean_score/100_episodes = -366.09; reward = -292.0; mean_reward/100_episodes = -347.17; and epsilon = 0.64, win percentage = 0.0, 2024-11-26 07:21:03
Episode no = 2800; won: False; iter_time_steps = 149; Q(s,a) = 94.4882652145506; score = -178.0; mean_score/100_episodes = -332.47; reward = -131.0; mean_reward/100_episodes = -311.08; and epsilon = 0.6266666666666667, win percentage = 0.0, 2024-11-26 07:21:47
Episode no = 2900; won: False; iter_time_steps = 68; Q(s,a) = 99.91947568534204; score = -357.0; mean_score/100_episodes = -342.33; reward = -347.0; mean_reward/100_episodes = -325.74; and epsilon = 0.6133333333333333, win percentage = 0.0, 2024-11-26 07:22:28
Episode no = 3000; won: False; iter_time_steps = 28; Q(s,a) = 101.22384561977765; score = -457.0; mean_score/100_episodes = -319.42; reward = -461.0; mean_reward/100_episodes = -294.97; and epsilon = 0.6, win percentage = 0.0, 2024-11-26 07:23:15
Episode no = 3100; won: False; iter_time_steps = 28; Q(s,a) = 103.85764847417384; score = -397.0; mean_score/100_episodes = -330.21; reward = -395.0; mean_reward/100_episodes = -310.6; and epsilon = 0.5866666666666667, win percentage = 0.0, 2024-11-26 07:23:58
Episode no = 3200; won: False; iter_time_steps = 38; Q(s,a) = 104.06986760111089; score = -367.0; mean_score/100_episodes = -314.96; reward = -350.0; mean_reward/100_episodes = -291.11; and epsilon = 0.5733333333333333, win percentage = 0.0, 2024-11-26 07:24:43
Episode no = 3300; won: False; iter_time_steps = 140; Q(s,a) = 105.35293166224719; score = -199.0; mean_score/100_episodes = -335.19; reward = -155.0; mean_reward/100_episodes = -316.05; and epsilon = 0.56, win percentage = 0.0, 2024-11-26 07:25:19
Episode no = 3400; won: False; iter_time_steps = 54; Q(s,a) = 110.06480763978547; score = -303.0; mean_score/100_episodes = -324.84; reward = -278.0; mean_reward/100_episodes = -300.26; and epsilon = 0.5466666666666666, win percentage = 0.0, 2024-11-26 07:25:58
Episode no = 3500; won: False; iter_time_steps = 36; Q(s,a) = 112.25836469251445; score = -355.0; mean_score/100_episodes = -300.98; reward = -337.0; mean_reward/100_episodes = -279.03; and epsilon = 0.5333333333333333, win percentage = 0.0, 2024-11-26 07:26:39
Episode no = 3600; won: False; iter_time_steps = 90; Q(s,a) = 116.56616435549695; score = -199.0; mean_score/100_episodes = -304.36; reward = -160.0; mean_reward/100_episodes = -283.58; and epsilon = 0.52, win percentage = 0.0, 2024-11-26 07:27:21
Episode no = 3700; won: False; iter_time_steps = 96; Q(s,a) = 120.88472833871886; score = -165.0; mean_score/100_episodes = -296.74; reward = -122.0; mean_reward/100_episodes = -275.77; and epsilon = 0.5066666666666666, win percentage = 0.0, 2024-11-26 07:28:02
Episode no = 3800; won: False; iter_time_steps = 21; Q(s,a) = 124.53405623590089; score = -410.0; mean_score/100_episodes = -315.39; reward = -399.0; mean_reward/100_episodes = -292.15; and epsilon = 0.4933333333333333, win percentage = 0.0, 2024-11-26 07:28:41
Episode no = 3900; won: False; iter_time_steps = 32; Q(s,a) = 127.18367377503982; score = -391.0; mean_score/100_episodes = -277.5; reward = -377.0; mean_reward/100_episodes = -253.86; and epsilon = 0.48, win percentage = 0.0, 2024-11-26 07:29:24
