Episode no = 100; won: False; iter_time_steps = 21; Q(s,a) = nan; score = -480.0; mean_score/100_episodes = -471.38; reward = -476.0; mean_reward/100_episodes = -463.13; and epsilon = 0.9866666666666667, win percentage = 0.0, 2024-11-25 14:23:26
Episode no = 200; won: False; iter_time_steps = 134; Q(s,a) = -1.3203074353457163; score = -473.0; mean_score/100_episodes = -464.99; reward = -457.0; mean_reward/100_episodes = -455.57; and epsilon = 0.9733333333333334, win percentage = 0.0, 2024-11-25 14:24:17
Episode no = 300; won: False; iter_time_steps = 84; Q(s,a) = -1.982678093022693; score = -473.0; mean_score/100_episodes = -464.88; reward = -451.0; mean_reward/100_episodes = -455.24; and epsilon = 0.96, win percentage = 0.0, 2024-11-25 14:25:23
Episode no = 400; won: False; iter_time_steps = 31; Q(s,a) = -2.6001928524281315; score = -490.0; mean_score/100_episodes = -461.71; reward = -486.0; mean_reward/100_episodes = -456.07; and epsilon = 0.9466666666666667, win percentage = 0.0, 2024-11-25 14:26:15
Episode no = 500; won: False; iter_time_steps = 49; Q(s,a) = -3.187855051437025; score = -428.0; mean_score/100_episodes = -455.72; reward = -427.0; mean_reward/100_episodes = -447.05; and epsilon = 0.9333333333333333, win percentage = 0.0, 2024-11-25 14:27:14
Episode no = 600; won: False; iter_time_steps = 84; Q(s,a) = -3.7588182959679193; score = -503.0; mean_score/100_episodes = -465.51; reward = -506.0; mean_reward/100_episodes = -456.23; and epsilon = 0.92, win percentage = 0.0, 2024-11-25 14:28:12
Episode no = 700; won: False; iter_time_steps = 73; Q(s,a) = -4.295601160049675; score = -492.0; mean_score/100_episodes = -447.76; reward = -484.0; mean_reward/100_episodes = -440.97; and epsilon = 0.9066666666666666, win percentage = 0.0, 2024-11-25 14:29:05
Episode no = 800; won: False; iter_time_steps = 41; Q(s,a) = -4.800547374363201; score = -370.0; mean_score/100_episodes = -453.42; reward = -364.0; mean_reward/100_episodes = -444.86; and epsilon = 0.8933333333333333, win percentage = 0.0, 2024-11-25 14:29:58
Episode no = 900; won: False; iter_time_steps = 51; Q(s,a) = -5.281368404687459; score = -490.0; mean_score/100_episodes = -456.06; reward = -484.0; mean_reward/100_episodes = -446.08; and epsilon = 0.88, win percentage = 0.0, 2024-11-25 14:30:55
Episode no = 1000; won: False; iter_time_steps = 83; Q(s,a) = -5.740861777344776; score = -432.0; mean_score/100_episodes = -457.09; reward = -417.0; mean_reward/100_episodes = -449.12; and epsilon = 0.8666666666666667, win percentage = 0.0, 2024-11-25 14:31:58
Episode no = 1100; won: False; iter_time_steps = 67; Q(s,a) = -6.1883113819510385; score = -446.0; mean_score/100_episodes = -451.23; reward = -434.0; mean_reward/100_episodes = -446.98; and epsilon = 0.8533333333333333, win percentage = 0.0, 2024-11-25 14:32:54
