Episode no = 100; won: False; iter_time_steps = 30; Q(s,a) = -0.8903411824135103; score = -489.0; mean_score/100_episodes = -520.35; reward = -485.0; mean_reward/100_episodes = -514.51; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 09:48:57
Episode no = 200; won: False; iter_time_steps = 46; Q(s,a) = -1.7845477761368163; score = -505.0; mean_score/100_episodes = -548.46; reward = -501.0; mean_reward/100_episodes = -545.96; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 09:50:21
Episode no = 300; won: False; iter_time_steps = 23; Q(s,a) = -2.61624425691207; score = -512.0; mean_score/100_episodes = -545.83; reward = -511.0; mean_reward/100_episodes = -542.8; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 09:51:47
Episode no = 400; won: False; iter_time_steps = 33; Q(s,a) = -3.3192968657607107; score = -382.0; mean_score/100_episodes = -480.49; reward = -356.0; mean_reward/100_episodes = -471.16; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 09:53:08
Episode no = 500; won: False; iter_time_steps = 33; Q(s,a) = -4.0246621789135935; score = -402.0; mean_score/100_episodes = -448.74; reward = -389.0; mean_reward/100_episodes = -436.64; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 09:54:26
Episode no = 600; won: False; iter_time_steps = 213; Q(s,a) = -3.7746285667673627; score = -512.0; mean_score/100_episodes = -443.7; reward = -492.0; mean_reward/100_episodes = -431.82; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 09:55:47
Episode no = 700; won: False; iter_time_steps = 28; Q(s,a) = 5.846507221399495; score = -357.0; mean_score/100_episodes = -424.6; reward = -329.0; mean_reward/100_episodes = -411.63; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 09:57:02
Episode no = 800; won: False; iter_time_steps = 20; Q(s,a) = 14.701118698969937; score = -399.0; mean_score/100_episodes = -386.35; reward = -387.0; mean_reward/100_episodes = -375.3; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 09:57:55
Episode no = 900; won: False; iter_time_steps = 22; Q(s,a) = 22.050303438815078; score = -311.0; mean_score/100_episodes = -344.03; reward = -290.0; mean_reward/100_episodes = -326.36; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 09:58:44
Episode no = 1000; won: False; iter_time_steps = 55; Q(s,a) = 28.007269767096552; score = -274.0; mean_score/100_episodes = -321.44; reward = -246.0; mean_reward/100_episodes = -304.6; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 09:59:38
Episode no = 1100; won: False; iter_time_steps = 42; Q(s,a) = 33.74159611000403; score = -211.0; mean_score/100_episodes = -308.45; reward = -189.0; mean_reward/100_episodes = -283.47; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 10:00:33
Episode no = 1200; won: False; iter_time_steps = 12; Q(s,a) = 38.19064523655051; score = -401.0; mean_score/100_episodes = -264.74; reward = -390.0; mean_reward/100_episodes = -233.93; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 10:01:28
Episode no = 1300; won: False; iter_time_steps = 57; Q(s,a) = 36.032564927759175; score = -146.0; mean_score/100_episodes = -253.12; reward = -105.0; mean_reward/100_episodes = -222.86; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 10:02:09
Episode no = 1400; won: False; iter_time_steps = 23; Q(s,a) = 27.569726780032; score = -362.0; mean_score/100_episodes = -269.56; reward = -346.0; mean_reward/100_episodes = -243.66; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 10:02:50
Episode no = 1500; won: False; iter_time_steps = 25; Q(s,a) = 29.87090393288269; score = -294.0; mean_score/100_episodes = -250.19; reward = -271.0; mean_reward/100_episodes = -221.31; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 10:03:23
Episode no = 1600; won: False; iter_time_steps = 19; Q(s,a) = 32.98456523214971; score = -338.0; mean_score/100_episodes = -255.93; reward = -320.0; mean_reward/100_episodes = -227.94; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 10:04:02
Episode no = 1700; won: False; iter_time_steps = 187; Q(s,a) = 35.35957632289493; score = -86.0; mean_score/100_episodes = -280.09; reward = -26.0; mean_reward/100_episodes = -251.26; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 10:04:49
Episode no = 1800; won: False; iter_time_steps = 117; Q(s,a) = 34.40305699352067; score = 4.0; mean_score/100_episodes = -279.94; reward = 66.0; mean_reward/100_episodes = -255.27; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 10:05:30
Episode no = 1900; won: False; iter_time_steps = 152; Q(s,a) = 34.7436241667623; score = 249.0; mean_score/100_episodes = -218.25; reward = 170.0; mean_reward/100_episodes = -194.61; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 10:06:10
Episode no = 2000; won: False; iter_time_steps = 44; Q(s,a) = 35.285015303305684; score = -183.0; mean_score/100_episodes = -232.12; reward = -147.0; mean_reward/100_episodes = -204.65; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 10:07:00
Episode no = 2100; won: False; iter_time_steps = 351; Q(s,a) = 34.4707006585005; score = -30.0; mean_score/100_episodes = -200.63; reward = -117.0; mean_reward/100_episodes = -176.41; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 10:07:50
Episode no = 2200; won: False; iter_time_steps = 10; Q(s,a) = 26.133726874730776; score = -429.0; mean_score/100_episodes = -244.31; reward = -421.0; mean_reward/100_episodes = -216.19; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 10:08:25
Episode no = 2300; won: False; iter_time_steps = 15; Q(s,a) = 26.228364920503537; score = -384.0; mean_score/100_episodes = -139.85; reward = -371.0; mean_reward/100_episodes = -113.92; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 10:09:16
Episode no = 2400; won: False; iter_time_steps = 26; Q(s,a) = 25.390867158659805; score = -295.0; mean_score/100_episodes = -143.23; reward = -272.0; mean_reward/100_episodes = -112.45; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 10:10:06
Episode no = 2500; won: False; iter_time_steps = 60; Q(s,a) = 21.266568845292703; score = -69.0; mean_score/100_episodes = -145.99; reward = -20.0; mean_reward/100_episodes = -115.28; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 10:11:02
