Episode no = 100; won: False; iter_time_steps = 39; Q(s,a) = -0.8866480705904309; score = -498.0; mean_score/100_episodes = -523.36; reward = -494.0; mean_reward/100_episodes = -518.35; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 13:08:54
Episode no = 200; won: False; iter_time_steps = 67; Q(s,a) = -1.7759881227989984; score = -526.0; mean_score/100_episodes = -547.7; reward = -522.0; mean_reward/100_episodes = -545.89; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 13:10:08
Episode no = 300; won: False; iter_time_steps = 129; Q(s,a) = -2.5859051152144423; score = -478.0; mean_score/100_episodes = -463.76; reward = -463.0; mean_reward/100_episodes = -471.94; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 13:11:40
Episode no = 400; won: False; iter_time_steps = 233; Q(s,a) = -2.8742057948785873; score = -602.0; mean_score/100_episodes = -440.29; reward = -589.0; mean_reward/100_episodes = -438.55; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 13:13:10
Episode no = 500; won: False; iter_time_steps = 102; Q(s,a) = -3.1074792419215416; score = -411.0; mean_score/100_episodes = -461.62; reward = -392.0; mean_reward/100_episodes = -451.29; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 13:14:28
Episode no = 600; won: False; iter_time_steps = 36; Q(s,a) = -2.112295322769209; score = -415.0; mean_score/100_episodes = -449.79; reward = -414.0; mean_reward/100_episodes = -437.39; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 13:16:03
Episode no = 700; won: False; iter_time_steps = 73; Q(s,a) = 0.7071405715056764; score = -432.0; mean_score/100_episodes = -419.84; reward = -418.0; mean_reward/100_episodes = -407.53; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 13:17:19
Episode no = 800; won: False; iter_time_steps = 155; Q(s,a) = 9.224050137287147; score = -364.0; mean_score/100_episodes = -395.74; reward = -324.0; mean_reward/100_episodes = -380.03; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 13:18:08
Episode no = 900; won: False; iter_time_steps = 25; Q(s,a) = 15.828224491499796; score = -354.0; mean_score/100_episodes = -357.06; reward = -337.0; mean_reward/100_episodes = -337.4; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 13:18:59
Episode no = 1000; won: False; iter_time_steps = 13; Q(s,a) = 22.181936170019522; score = -392.0; mean_score/100_episodes = -370.8; reward = -380.0; mean_reward/100_episodes = -352.75; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 13:19:47
Episode no = 1100; won: False; iter_time_steps = 34; Q(s,a) = 29.133147100210053; score = -363.0; mean_score/100_episodes = -337.24; reward = -346.0; mean_reward/100_episodes = -315.74; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-03 13:20:32
