Episode no = 100; won: False; iter_time_steps = 96; Q(s,a) = -0.6696251086933694; score = -455.0; mean_score/100_episodes = -463.28; reward = -441.0; mean_reward/100_episodes = -455.61; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9866666666666667, win percentage = 0.0, 2024-12-04 06:18:26
Episode no = 200; won: False; iter_time_steps = 56; Q(s,a) = nan; score = -405.0; mean_score/100_episodes = -464.05; reward = -401.0; mean_reward/100_episodes = -457.05; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9733333333333334, win percentage = 0.0, 2024-12-04 06:19:24
Episode no = 300; won: False; iter_time_steps = 104; Q(s,a) = -2.021896565101664; score = -473.0; mean_score/100_episodes = -460.76; reward = -460.0; mean_reward/100_episodes = -454.68; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.96, win percentage = 0.0, 2024-12-04 06:20:25
Episode no = 400; won: False; iter_time_steps = 152; Q(s,a) = -2.633018972015449; score = -591.0; mean_score/100_episodes = -454.13; reward = -585.0; mean_reward/100_episodes = -450.59; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9466666666666667, win percentage = 0.0, 2024-12-04 06:21:23
Episode no = 500; won: False; iter_time_steps = 45; Q(s,a) = -3.2024919040489928; score = -434.0; mean_score/100_episodes = -468.67; reward = -423.0; mean_reward/100_episodes = -459.42; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9333333333333333, win percentage = 0.0, 2024-12-04 06:22:26
Episode no = 600; won: False; iter_time_steps = 53; Q(s,a) = -3.733930171218129; score = -452.0; mean_score/100_episodes = -468.28; reward = -442.0; mean_reward/100_episodes = -462.63; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.92, win percentage = 0.0, 2024-12-04 06:23:22
Episode no = 700; won: False; iter_time_steps = 143; Q(s,a) = -4.204983088755119; score = -392.0; mean_score/100_episodes = -453.84; reward = -356.0; mean_reward/100_episodes = -448.86; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9066666666666666, win percentage = 0.0, 2024-12-04 06:24:32
Episode no = 800; won: False; iter_time_steps = 85; Q(s,a) = -4.748104312580262; score = -524.0; mean_score/100_episodes = -452.46; reward = -518.0; mean_reward/100_episodes = -444.24; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8933333333333333, win percentage = 0.0, 2024-12-04 06:25:40
Episode no = 900; won: False; iter_time_steps = 59; Q(s,a) = -5.216337709380523; score = -478.0; mean_score/100_episodes = -453.14; reward = -470.0; mean_reward/100_episodes = -449.07; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.88, win percentage = 0.0, 2024-12-04 06:26:51
Episode no = 1000; won: False; iter_time_steps = 100; Q(s,a) = -5.539891508319924; score = -349.0; mean_score/100_episodes = -449.29; reward = -324.0; mean_reward/100_episodes = -444.56; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8666666666666667, win percentage = 0.0, 2024-12-04 06:27:52
Episode no = 1100; won: False; iter_time_steps = 64; Q(s,a) = -5.739657569258373; score = -403.0; mean_score/100_episodes = -444.94; reward = -376.0; mean_reward/100_episodes = -436.3; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8533333333333333, win percentage = 0.0, 2024-12-04 06:28:54
