Episode no = 100; won: False; iter_time_steps = 18; Q(s,a) = nan; score = -487.0; mean_score/100_episodes = -468.62; reward = -484.0; mean_reward/100_episodes = -458.45; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9866666666666667, win percentage = 0.0, 2024-12-04 09:11:06
Episode no = 200; won: False; iter_time_steps = 49; Q(s,a) = nan; score = -458.0; mean_score/100_episodes = -470.08; reward = -449.0; mean_reward/100_episodes = -462.46; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9733333333333334, win percentage = 0.0, 2024-12-04 09:12:00
Episode no = 300; won: False; iter_time_steps = 28; Q(s,a) = -2.1212632847973256; score = -487.0; mean_score/100_episodes = -471.98; reward = -494.0; mean_reward/100_episodes = -463.82; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.96, win percentage = 0.0, 2024-12-04 09:12:55
Episode no = 400; won: False; iter_time_steps = 37; Q(s,a) = -2.715561310650905; score = -476.0; mean_score/100_episodes = -469.23; reward = -481.0; mean_reward/100_episodes = -462.34; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9466666666666667, win percentage = 0.0, 2024-12-04 09:13:41
Episode no = 500; won: False; iter_time_steps = 162; Q(s,a) = -3.357209197776013; score = -361.0; mean_score/100_episodes = -446.21; reward = -331.0; mean_reward/100_episodes = -444.28; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9333333333333333, win percentage = 0.0, 2024-12-04 09:14:30
Episode no = 600; won: False; iter_time_steps = 535; Q(s,a) = -3.9251846277029054; score = -624.0; mean_score/100_episodes = -462.35; reward = -583.0; mean_reward/100_episodes = -454.08; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.92, win percentage = 0.0, 2024-12-04 09:15:30
Episode no = 700; won: False; iter_time_steps = 99; Q(s,a) = -3.9481355025673452; score = -528.0; mean_score/100_episodes = -461.67; reward = -521.0; mean_reward/100_episodes = -450.84; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9066666666666666, win percentage = 0.0, 2024-12-04 09:16:25
Episode no = 800; won: False; iter_time_steps = 132; Q(s,a) = -3.4513254046157225; score = -391.0; mean_score/100_episodes = -458.47; reward = -367.0; mean_reward/100_episodes = -447.17; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8933333333333333, win percentage = 0.0, 2024-12-04 09:17:20
Episode no = 900; won: False; iter_time_steps = 72; Q(s,a) = -3.414184279948224; score = -431.0; mean_score/100_episodes = -444.59; reward = -428.0; mean_reward/100_episodes = -435.02; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.88, win percentage = 0.0, 2024-12-04 09:18:22
Episode no = 1000; won: False; iter_time_steps = 55; Q(s,a) = 9.931744002949003; score = -464.0; mean_score/100_episodes = -453.42; reward = -455.0; mean_reward/100_episodes = -444.48; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8666666666666667, win percentage = 0.0, 2024-12-04 09:19:19
Episode no = 1100; won: False; iter_time_steps = 43; Q(s,a) = -3.4804838837008907; score = -462.0; mean_score/100_episodes = -452.16; reward = -454.0; mean_reward/100_episodes = -441.22; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8533333333333333, win percentage = 0.0, 2024-12-04 09:20:20
