Episode no = 100; won: False; iter_time_steps = 87; Q(s,a) = nan; score = -386.0; mean_score/100_episodes = -466.77; reward = -377.0; mean_reward/100_episodes = -457.44; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9866666666666667, win percentage = 0.0, 2024-12-07 09:36:04
Episode no = 200; won: False; iter_time_steps = 94; Q(s,a) = -1.3515817782895045; score = -513.0; mean_score/100_episodes = -464.95; reward = -505.0; mean_reward/100_episodes = -457.84; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9733333333333334, win percentage = 0.0, 2024-12-07 09:36:57
Episode no = 300; won: False; iter_time_steps = 30; Q(s,a) = -1.9921052455630766; score = -499.0; mean_score/100_episodes = -460.96; reward = -496.0; mean_reward/100_episodes = -451.31; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.96, win percentage = 0.0, 2024-12-07 09:37:47
Episode no = 400; won: False; iter_time_steps = 45; Q(s,a) = -2.6199754145391183; score = -444.0; mean_score/100_episodes = -461.23; reward = -434.0; mean_reward/100_episodes = -454.03; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9466666666666667, win percentage = 0.0, 2024-12-07 09:38:44
Episode no = 500; won: False; iter_time_steps = 17; Q(s,a) = -3.1822860072050325; score = -446.0; mean_score/100_episodes = -459.68; reward = -439.0; mean_reward/100_episodes = -450.1; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9333333333333333, win percentage = 0.0, 2024-12-07 09:39:43
Episode no = 600; won: False; iter_time_steps = 36; Q(s,a) = -3.7788670067001346; score = -465.0; mean_score/100_episodes = -462.22; reward = -447.0; mean_reward/100_episodes = -455.0; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.92, win percentage = 0.0, 2024-12-07 09:40:34
Episode no = 700; won: False; iter_time_steps = 60; Q(s,a) = -4.298648564375035; score = -509.0; mean_score/100_episodes = -452.88; reward = -504.0; mean_reward/100_episodes = -447.41; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9066666666666666, win percentage = 0.0, 2024-12-07 09:41:34
Episode no = 800; won: False; iter_time_steps = 42; Q(s,a) = -4.674083485857726; score = -411.0; mean_score/100_episodes = -454.86; reward = -398.0; mean_reward/100_episodes = -446.3; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8933333333333333, win percentage = 0.0, 2024-12-07 09:42:51
Episode no = 900; won: False; iter_time_steps = 59; Q(s,a) = -4.233341810474646; score = -498.0; mean_score/100_episodes = -457.35; reward = -492.0; mean_reward/100_episodes = -446.22; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.88, win percentage = 0.0, 2024-12-07 09:43:51
Episode no = 1000; won: False; iter_time_steps = 54; Q(s,a) = -4.0375005329097995; score = -413.0; mean_score/100_episodes = -454.9; reward = -399.0; mean_reward/100_episodes = -442.45; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8666666666666667, win percentage = 0.0, 2024-12-07 09:45:02
Episode no = 1100; won: False; iter_time_steps = 211; Q(s,a) = 0.24182316343882126; score = -260.0; mean_score/100_episodes = -444.52; reward = -384.0; mean_reward/100_episodes = -437.6; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8533333333333333, win percentage = 0.0, 2024-12-07 09:46:04
Episode no = 1200; won: False; iter_time_steps = 49; Q(s,a) = 6.3856492111857985; score = -388.0; mean_score/100_episodes = -445.99; reward = -372.0; mean_reward/100_episodes = -433.23; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.84, win percentage = 0.0, 2024-12-07 09:47:15
