Episode no = 100; won: False; iter_time_steps = 49; Q(s,a) = -0.8885503245763502; score = -508.0; mean_score/100_episodes = -505.62; reward = -504.0; mean_reward/100_episodes = -499.08; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-04 09:23:01
Episode no = 200; won: False; iter_time_steps = 26; Q(s,a) = -1.7745533516927068; score = -475.0; mean_score/100_episodes = -542.05; reward = -470.0; mean_reward/100_episodes = -539.79; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-04 09:24:37
Episode no = 300; won: False; iter_time_steps = 39; Q(s,a) = -2.517952226682397; score = -508.0; mean_score/100_episodes = -500.14; reward = -505.0; mean_reward/100_episodes = -494.42; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-04 09:25:48
Episode no = 400; won: False; iter_time_steps = 25; Q(s,a) = -2.3564908737380543; score = -444.0; mean_score/100_episodes = -443.6; reward = -436.0; mean_reward/100_episodes = -442.89; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-04 09:27:26
Episode no = 500; won: False; iter_time_steps = 25; Q(s,a) = 8.04704471135856; score = -404.0; mean_score/100_episodes = -423.11; reward = -392.0; mean_reward/100_episodes = -423.04; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-04 09:29:12
Episode no = 600; won: False; iter_time_steps = 85; Q(s,a) = 17.54849528342526; score = -424.0; mean_score/100_episodes = -408.92; reward = -408.0; mean_reward/100_episodes = -403.33; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-04 09:30:38
Episode no = 700; won: False; iter_time_steps = 75; Q(s,a) = 24.70887432057158; score = -294.0; mean_score/100_episodes = -309.41; reward = -266.0; mean_reward/100_episodes = -324.12; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-04 09:32:04
Episode no = 800; won: False; iter_time_steps = 87; Q(s,a) = 25.964476845608548; score = 24.0; mean_score/100_episodes = -297.49; reward = -73.0; mean_reward/100_episodes = -306.78; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-04 09:33:21
Episode no = 900; won: False; iter_time_steps = 82; Q(s,a) = 32.84676750905207; score = -251.0; mean_score/100_episodes = -183.61; reward = -218.0; mean_reward/100_episodes = -233.27; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-04 09:34:23
Episode no = 1000; won: False; iter_time_steps = 167; Q(s,a) = 40.51285274616808; score = -86.0; mean_score/100_episodes = -297.46; reward = -208.0; mean_reward/100_episodes = -302.02; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-04 09:35:26
Episode no = 1100; won: False; iter_time_steps = 139; Q(s,a) = 48.76827994060454; score = 132.0; mean_score/100_episodes = -232.23; reward = 40.0; mean_reward/100_episodes = -255.38; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-04 09:36:27
