Episode no = 100; won: False; iter_time_steps = 92; Q(s,a) = -0.8710707153963948; score = -471.0; mean_score/100_episodes = -509.92; reward = -459.0; mean_reward/100_episodes = -503.56; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-07 09:43:52
Episode no = 200; won: False; iter_time_steps = 58; Q(s,a) = -1.758488116844772; score = -517.0; mean_score/100_episodes = -548.94; reward = -513.0; mean_reward/100_episodes = -546.26; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-07 09:45:19
Episode no = 300; won: False; iter_time_steps = 28; Q(s,a) = -2.39654881589484; score = -397.0; mean_score/100_episodes = -494.91; reward = -384.0; mean_reward/100_episodes = -492.16; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-07 09:46:54
Episode no = 400; won: False; iter_time_steps = 93; Q(s,a) = -2.604260259913932; score = -392.0; mean_score/100_episodes = -474.8; reward = -372.0; mean_reward/100_episodes = -468.07; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-07 09:48:27
Episode no = 500; won: False; iter_time_steps = 93; Q(s,a) = -3.2353328530484604; score = -392.0; mean_score/100_episodes = -434.29; reward = -361.0; mean_reward/100_episodes = -430.77; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-07 09:49:50
Episode no = 600; won: False; iter_time_steps = 108; Q(s,a) = -3.4853373477761607; score = -427.0; mean_score/100_episodes = -413.99; reward = -409.0; mean_reward/100_episodes = -401.51; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-07 09:51:15
Episode no = 700; won: False; iter_time_steps = 57; Q(s,a) = -0.7135789737246139; score = -426.0; mean_score/100_episodes = -410.51; reward = -413.0; mean_reward/100_episodes = -396.2; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-07 09:52:29
Episode no = 800; won: False; iter_time_steps = 126; Q(s,a) = 9.191303127848904; score = -435.0; mean_score/100_episodes = -402.64; reward = -416.0; mean_reward/100_episodes = -387.05; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-07 09:53:18
Episode no = 900; won: False; iter_time_steps = 17; Q(s,a) = 17.52135101811975; score = -366.0; mean_score/100_episodes = -379.84; reward = -351.0; mean_reward/100_episodes = -361.37; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-07 09:54:09
Episode no = 1000; won: False; iter_time_steps = 127; Q(s,a) = 18.05744978166432; score = -376.0; mean_score/100_episodes = -342.26; reward = -351.0; mean_reward/100_episodes = -320.75; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-07 09:55:05
Episode no = 1100; won: False; iter_time_steps = 66; Q(s,a) = 27.63054947418814; score = -275.0; mean_score/100_episodes = -316.64; reward = -246.0; mean_reward/100_episodes = -301.76; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-07 09:55:56
Episode no = 1200; won: False; iter_time_steps = 23; Q(s,a) = 34.92096078026892; score = -322.0; mean_score/100_episodes = -283.98; reward = -291.0; mean_reward/100_episodes = -257.87; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-07 09:56:39
Episode no = 1300; won: False; iter_time_steps = 54; Q(s,a) = 43.63372505804453; score = -193.0; mean_score/100_episodes = -245.34; reward = -168.0; mean_reward/100_episodes = -213.64; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-07 09:57:25
Episode no = 1400; won: False; iter_time_steps = 38; Q(s,a) = 49.17837808184164; score = -207.0; mean_score/100_episodes = -232.37; reward = -174.0; mean_reward/100_episodes = -202.75; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-07 09:58:05
Episode no = 1500; won: False; iter_time_steps = 35; Q(s,a) = 57.2345009235605; score = -204.0; mean_score/100_episodes = -235.83; reward = -171.0; mean_reward/100_episodes = -211.66; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-07 09:58:42
Episode no = 1600; won: False; iter_time_steps = 17; Q(s,a) = 62.95579244998913; score = -366.0; mean_score/100_episodes = -234.52; reward = -340.0; mean_reward/100_episodes = -203.23; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-07 09:59:21
Episode no = 1700; won: False; iter_time_steps = 30; Q(s,a) = 68.4074409881698; score = -239.0; mean_score/100_episodes = -184.0; reward = -210.0; mean_reward/100_episodes = -147.3; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-07 10:00:09
Episode no = 1800; won: False; iter_time_steps = 79; Q(s,a) = 74.5891863004666; score = 52.0; mean_score/100_episodes = -185.18; reward = 115.0; mean_reward/100_episodes = -150.38; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-07 10:00:49
Episode no = 1900; won: False; iter_time_steps = 183; Q(s,a) = 79.8323214923748; score = 258.0; mean_score/100_episodes = -150.9; reward = 183.0; mean_reward/100_episodes = -117.6; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-07 10:01:35
Episode no = 2000; won: False; iter_time_steps = 12; Q(s,a) = 85.54547223173152; score = -401.0; mean_score/100_episodes = -168.21; reward = -390.0; mean_reward/100_episodes = -131.72; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-07 10:02:13
Episode no = 2100; won: False; iter_time_steps = 44; Q(s,a) = 90.62667201498388; score = -123.0; mean_score/100_episodes = -165.12; reward = -81.0; mean_reward/100_episodes = -127.49; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-07 10:02:58
Episode no = 2200; won: False; iter_time_steps = 36; Q(s,a) = 94.66645764648258; score = -185.0; mean_score/100_episodes = -155.28; reward = -150.0; mean_reward/100_episodes = -120.09; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-07 10:03:39
Episode no = 2300; won: False; iter_time_steps = 24; Q(s,a) = 98.12097594996337; score = -353.0; mean_score/100_episodes = -184.85; reward = -336.0; mean_reward/100_episodes = -147.62; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-07 10:04:17
Episode no = 2400; won: False; iter_time_steps = 48; Q(s,a) = 102.15754066119985; score = -77.0; mean_score/100_episodes = -209.39; reward = -30.0; mean_reward/100_episodes = -177.2; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-07 10:04:52
Episode no = 2500; won: False; iter_time_steps = 139; Q(s,a) = 103.86830187346757; score = 22.0; mean_score/100_episodes = -177.71; reward = 88.0; mean_reward/100_episodes = -142.14; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-07 10:05:33
Episode no = 2600; won: False; iter_time_steps = 43; Q(s,a) = 104.24065119149353; score = -202.0; mean_score/100_episodes = -181.36; reward = -168.0; mean_reward/100_episodes = -142.48; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-07 10:06:11
Episode no = 2700; won: False; iter_time_steps = 47; Q(s,a) = 107.01030465861443; score = -136.0; mean_score/100_episodes = -169.83; reward = -95.0; mean_reward/100_episodes = -134.62; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-07 10:06:55
Episode no = 2800; won: False; iter_time_steps = 51; Q(s,a) = 108.40449195586012; score = -90.0; mean_score/100_episodes = -124.56; reward = -55.0; mean_reward/100_episodes = -80.45; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-07 10:07:49
Episode no = 2900; won: False; iter_time_steps = 21; Q(s,a) = 110.88829613940973; score = -330.0; mean_score/100_episodes = -152.97; reward = -322.0; mean_reward/100_episodes = -112.04; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-07 10:08:38
Episode no = 3000; won: False; iter_time_steps = 66; Q(s,a) = 113.58712569706083; score = -5.0; mean_score/100_episodes = -103.76; reward = 62.0; mean_reward/100_episodes = -57.87; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-07 10:09:31
Episode no = 3100; won: False; iter_time_steps = 148; Q(s,a) = 115.29567319636686; score = 33.0; mean_score/100_episodes = -81.97; reward = 101.0; mean_reward/100_episodes = -48.72; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-07 10:10:31
Episode no = 3200; won: False; iter_time_steps = 82; Q(s,a) = 118.42737974741704; score = 59.0; mean_score/100_episodes = -80.47; reward = 123.0; mean_reward/100_episodes = -48.44; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-07 10:11:28
Episode no = 3300; won: False; iter_time_steps = 85; Q(s,a) = 120.32098548886421; score = 66.0; mean_score/100_episodes = -29.67; reward = 131.0; mean_reward/100_episodes = 9.94; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-07 10:12:31
Episode no = 3400; won: False; iter_time_steps = 97; Q(s,a) = 121.53053435139353; score = 284.0; mean_score/100_episodes = -38.12; reward = 214.0; mean_reward/100_episodes = 4.09; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-07 10:13:37
Episode no = 3500; won: False; iter_time_steps = 76; Q(s,a) = 125.5687206699627; score = 85.0; mean_score/100_episodes = -6.9; reward = 162.0; mean_reward/100_episodes = 22.6; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-07 10:14:55
Episode no = 3600; won: False; iter_time_steps = 25; Q(s,a) = 127.70361839144775; score = -334.0; mean_score/100_episodes = -51.44; reward = -315.0; mean_reward/100_episodes = -11.56; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-07 10:16:09
Episode no = 3700; won: False; iter_time_steps = 221; Q(s,a) = 129.6262920924364; score = 70.0; mean_score/100_episodes = -31.57; reward = 149.0; mean_reward/100_episodes = 1.8; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-07 10:17:19
Episode no = 3800; won: False; iter_time_steps = 117; Q(s,a) = 132.1366142835831; score = 154.0; mean_score/100_episodes = -48.83; reward = 220.0; mean_reward/100_episodes = -17.18; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-07 10:18:36
Episode no = 3900; won: False; iter_time_steps = 60; Q(s,a) = 132.6301229394014; score = -19.0; mean_score/100_episodes = -10.23; reward = 46.0; mean_reward/100_episodes = 16.95; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-07 10:19:43
Episode no = 4000; won: False; iter_time_steps = 34; Q(s,a) = 134.2148064075989; score = -233.0; mean_score/100_episodes = -39.75; reward = -192.0; mean_reward/100_episodes = -1.79; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-07 10:20:52
Episode no = 4100; won: False; iter_time_steps = 55; Q(s,a) = 137.06064586424566; score = -104.0; mean_score/100_episodes = -19.49; reward = -59.0; mean_reward/100_episodes = 18.88; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-07 10:22:05
Episode no = 4200; won: False; iter_time_steps = 110; Q(s,a) = 139.60127807030017; score = 141.0; mean_score/100_episodes = -32.01; reward = 216.0; mean_reward/100_episodes = -3.84; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-07 10:23:12
Episode no = 4300; won: False; iter_time_steps = 112; Q(s,a) = 139.9959258044337; score = 219.0; mean_score/100_episodes = -24.19; reward = 133.0; mean_reward/100_episodes = 12.54; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-07 10:24:23
Episode no = 4400; won: False; iter_time_steps = 194; Q(s,a) = 141.30725814575217; score = 137.0; mean_score/100_episodes = -17.41; reward = 220.0; mean_reward/100_episodes = 4.87; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-07 10:25:43
Episode no = 4500; won: False; iter_time_steps = 146; Q(s,a) = 144.65896357238017; score = 135.0; mean_score/100_episodes = -31.96; reward = 213.0; mean_reward/100_episodes = -14.54; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-07 10:27:03
Episode no = 4600; won: False; iter_time_steps = 10; Q(s,a) = 146.16965341466616; score = -439.0; mean_score/100_episodes = -41.81; reward = -432.0; mean_reward/100_episodes = -23.3; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0, win percentage = 0.0, 2024-12-07 10:28:18
