Episode no = 100; won: False; iter_time_steps = 54; Q(s,a) = nan; score = -453.0; mean_score/100_episodes = -462.13; reward = -443.0; mean_reward/100_episodes = -455.15; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9866666666666667, win percentage = 0.0, 2024-12-05 03:29:48
Episode no = 200; won: False; iter_time_steps = 44; Q(s,a) = -1.3718406877108762; score = -443.0; mean_score/100_episodes = -464.5; reward = -444.0; mean_reward/100_episodes = -456.43; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9733333333333334, win percentage = 0.0, 2024-12-05 03:30:46
Episode no = 300; won: False; iter_time_steps = 22; Q(s,a) = -2.0345894729570895; score = -481.0; mean_score/100_episodes = -463.41; reward = -477.0; mean_reward/100_episodes = -452.96; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.96, win percentage = 0.0, 2024-12-05 03:31:48
Episode no = 400; won: False; iter_time_steps = 61; Q(s,a) = -2.6392527494739517; score = -480.0; mean_score/100_episodes = -457.93; reward = -472.0; mean_reward/100_episodes = -447.57; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9466666666666667, win percentage = 0.0, 2024-12-05 03:32:40
Episode no = 500; won: False; iter_time_steps = 37; Q(s,a) = -3.2147779290280205; score = -456.0; mean_score/100_episodes = -463.49; reward = -448.0; mean_reward/100_episodes = -453.78; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9333333333333333, win percentage = 0.0, 2024-12-05 03:33:32
Episode no = 600; won: False; iter_time_steps = 24; Q(s,a) = -3.7589605742315317; score = -473.0; mean_score/100_episodes = -450.18; reward = -468.0; mean_reward/100_episodes = -445.51; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.92, win percentage = 0.0, 2024-12-05 03:34:28
Episode no = 700; won: False; iter_time_steps = 26; Q(s,a) = -4.330116961481659; score = -505.0; mean_score/100_episodes = -463.42; reward = -503.0; mean_reward/100_episodes = -455.16; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9066666666666666, win percentage = 0.0, 2024-12-05 03:35:20
Episode no = 800; won: False; iter_time_steps = 46; Q(s,a) = -4.783473523776728; score = -465.0; mean_score/100_episodes = -455.06; reward = -457.0; mean_reward/100_episodes = -447.34; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8933333333333333, win percentage = 0.0, 2024-12-05 03:36:24
Episode no = 900; won: False; iter_time_steps = 102; Q(s,a) = -5.191687898992947; score = -531.0; mean_score/100_episodes = -461.63; reward = -524.0; mean_reward/100_episodes = -453.18; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.88, win percentage = 0.0, 2024-12-05 03:37:37
Episode no = 1000; won: False; iter_time_steps = 37; Q(s,a) = -5.696722071942147; score = -436.0; mean_score/100_episodes = -451.81; reward = -437.0; mean_reward/100_episodes = -443.72; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8666666666666667, win percentage = 0.0, 2024-12-05 03:38:36
Episode no = 1100; won: False; iter_time_steps = 40; Q(s,a) = -6.061144377827898; score = -429.0; mean_score/100_episodes = -441.78; reward = -418.0; mean_reward/100_episodes = -436.81; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8533333333333333, win percentage = 0.0, 2024-12-05 03:39:41
Episode no = 1200; won: False; iter_time_steps = 61; Q(s,a) = -5.955565389257348; score = -490.0; mean_score/100_episodes = -450.54; reward = -483.0; mean_reward/100_episodes = -440.91; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.84, win percentage = 0.0, 2024-12-05 03:40:37
