Episode no = 100; won: False; iter_time_steps = 40; Q(s,a) = nan; score = -489.0; mean_score/100_episodes = -464.51; reward = -495.0; mean_reward/100_episodes = -457.88; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9866666666666667, win percentage = 0.0, 2024-12-07 09:41:20
Episode no = 200; won: False; iter_time_steps = 46; Q(s,a) = -1.3601550870866388; score = -475.0; mean_score/100_episodes = -463.32; reward = -468.0; mean_reward/100_episodes = -457.23; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9733333333333334, win percentage = 0.0, 2024-12-07 09:42:28
Episode no = 300; won: False; iter_time_steps = 46; Q(s,a) = -2.0082730893685787; score = -505.0; mean_score/100_episodes = -466.89; reward = -501.0; mean_reward/100_episodes = -457.17; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.96, win percentage = 0.0, 2024-12-07 09:43:23
Episode no = 400; won: False; iter_time_steps = 31; Q(s,a) = -2.6273039688663515; score = -490.0; mean_score/100_episodes = -456.32; reward = -486.0; mean_reward/100_episodes = -453.69; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9466666666666667, win percentage = 0.0, 2024-12-07 09:44:28
Episode no = 500; won: False; iter_time_steps = 45; Q(s,a) = -3.1914519267156227; score = -394.0; mean_score/100_episodes = -464.49; reward = -390.0; mean_reward/100_episodes = -455.67; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9333333333333333, win percentage = 0.0, 2024-12-07 09:45:25
Episode no = 600; won: False; iter_time_steps = 22; Q(s,a) = -3.778870823829916; score = -481.0; mean_score/100_episodes = -458.43; reward = -477.0; mean_reward/100_episodes = -449.32; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.92, win percentage = 0.0, 2024-12-07 09:46:20
Episode no = 700; won: False; iter_time_steps = 76; Q(s,a) = -4.318050432032284; score = -425.0; mean_score/100_episodes = -461.98; reward = -410.0; mean_reward/100_episodes = -455.2; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9066666666666666, win percentage = 0.0, 2024-12-07 09:47:23
Episode no = 800; won: False; iter_time_steps = 41; Q(s,a) = -4.821451788145174; score = -450.0; mean_score/100_episodes = -449.04; reward = -441.0; mean_reward/100_episodes = -440.26; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8933333333333333, win percentage = 0.0, 2024-12-07 09:48:30
Episode no = 900; won: False; iter_time_steps = 60; Q(s,a) = -5.289795857038976; score = -439.0; mean_score/100_episodes = -464.72; reward = -427.0; mean_reward/100_episodes = -456.25; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.88, win percentage = 0.0, 2024-12-07 09:49:29
Episode no = 1000; won: False; iter_time_steps = 39; Q(s,a) = -5.598580139487938; score = -498.0; mean_score/100_episodes = -454.87; reward = -494.0; mean_reward/100_episodes = -451.19; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8666666666666667, win percentage = 0.0, 2024-12-07 09:50:36
Episode no = 1100; won: False; iter_time_steps = 38; Q(s,a) = -5.749585103417603; score = -427.0; mean_score/100_episodes = -450.28; reward = -416.0; mean_reward/100_episodes = -440.64; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8533333333333333, win percentage = 0.0, 2024-12-07 09:51:44
Episode no = 1200; won: False; iter_time_steps = 38; Q(s,a) = -4.233849838933472; score = -487.0; mean_score/100_episodes = -447.63; reward = -471.0; mean_reward/100_episodes = -435.85; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.84, win percentage = 0.0, 2024-12-07 09:52:52
Episode no = 1300; won: False; iter_time_steps = 121; Q(s,a) = -5.533685111656377; score = -320.0; mean_score/100_episodes = -441.41; reward = -290.0; mean_reward/100_episodes = -430.26; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8266666666666667, win percentage = 0.0, 2024-12-07 09:53:59
Episode no = 1400; won: False; iter_time_steps = 97; Q(s,a) = 3.795513150480625; score = -376.0; mean_score/100_episodes = -438.44; reward = -343.0; mean_reward/100_episodes = -428.23; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8133333333333334, win percentage = 0.0, 2024-12-07 09:55:10
