Episode no = 100; won: False; iter_time_steps = 83; Q(s,a) = -0.6115211774101535; score = -502.0; mean_score/100_episodes = -462.43; reward = -494.0; mean_reward/100_episodes = -454.13; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9866666666666667, win percentage = 0.0, 2024-12-09 13:09:37
Episode no = 200; won: False; iter_time_steps = 30; Q(s,a) = nan; score = -429.0; mean_score/100_episodes = -474.78; reward = -419.0; mean_reward/100_episodes = -465.71; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9733333333333334, win percentage = 0.0, 2024-12-09 13:10:27
Episode no = 300; won: False; iter_time_steps = 66; Q(s,a) = -1.8841730493093813; score = -505.0; mean_score/100_episodes = -460.74; reward = -499.0; mean_reward/100_episodes = -450.6; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.96, win percentage = 0.0, 2024-12-09 13:11:13
Episode no = 400; won: False; iter_time_steps = 208; Q(s,a) = -2.4801446443416473; score = -397.0; mean_score/100_episodes = -460.29; reward = -355.0; mean_reward/100_episodes = -451.39; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9466666666666667, win percentage = 0.0, 2024-12-09 13:12:03
Episode no = 500; won: False; iter_time_steps = 25; Q(s,a) = -3.0180725007014737; score = -484.0; mean_score/100_episodes = -463.05; reward = -480.0; mean_reward/100_episodes = -458.59; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9333333333333333, win percentage = 0.0, 2024-12-09 13:12:54
Episode no = 600; won: False; iter_time_steps = 47; Q(s,a) = -3.6123621629104674; score = -506.0; mean_score/100_episodes = -461.35; reward = -502.0; mean_reward/100_episodes = -453.21; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.92, win percentage = 0.0, 2024-12-09 13:13:56
Episode no = 700; won: False; iter_time_steps = 129; Q(s,a) = -4.084804940217641; score = -498.0; mean_score/100_episodes = -452.49; reward = -496.0; mean_reward/100_episodes = -448.53; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9066666666666666, win percentage = 0.0, 2024-12-09 13:14:57
Episode no = 800; won: False; iter_time_steps = 23; Q(s,a) = -4.432559007772678; score = -482.0; mean_score/100_episodes = -458.42; reward = -478.0; mean_reward/100_episodes = -449.66; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8933333333333333, win percentage = 0.0, 2024-12-09 13:15:52
Episode no = 900; won: False; iter_time_steps = 18; Q(s,a) = -4.961098037674805; score = -477.0; mean_score/100_episodes = -457.57; reward = -473.0; mean_reward/100_episodes = -451.73; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.88, win percentage = 0.0, 2024-12-09 13:16:53
Episode no = 1000; won: False; iter_time_steps = 24; Q(s,a) = -5.377403217080797; score = -443.0; mean_score/100_episodes = -437.97; reward = -424.0; mean_reward/100_episodes = -434.02; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8666666666666667, win percentage = 0.0, 2024-12-09 13:18:02
Episode no = 1100; won: False; iter_time_steps = 48; Q(s,a) = -6.012785562746902; score = -507.0; mean_score/100_episodes = -457.27; reward = -503.0; mean_reward/100_episodes = -451.08; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8533333333333333, win percentage = 0.0, 2024-12-09 13:19:04
Episode no = 1200; won: False; iter_time_steps = 136; Q(s,a) = -5.173462335487292; score = -395.0; mean_score/100_episodes = -449.04; reward = -371.0; mean_reward/100_episodes = -437.13; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.84, win percentage = 0.0, 2024-12-09 13:20:03
Episode no = 1300; won: False; iter_time_steps = 45; Q(s,a) = -4.9295286854083615; score = -404.0; mean_score/100_episodes = -436.93; reward = -390.0; mean_reward/100_episodes = -428.32; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8266666666666667, win percentage = 0.0, 2024-12-09 13:20:59
Episode no = 1400; won: False; iter_time_steps = 159; Q(s,a) = 4.693638674539916; score = -388.0; mean_score/100_episodes = -437.67; reward = -361.0; mean_reward/100_episodes = -428.47; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8133333333333334, win percentage = 0.0, 2024-12-09 13:21:54
Episode no = 1500; won: False; iter_time_steps = 25; Q(s,a) = 8.811699926788442; score = -434.0; mean_score/100_episodes = -422.92; reward = -425.0; mean_reward/100_episodes = -408.38; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8, win percentage = 0.0, 2024-12-09 13:22:52
Episode no = 1600; won: False; iter_time_steps = 156; Q(s,a) = 8.308007082065588; score = -455.0; mean_score/100_episodes = -440.73; reward = -435.0; mean_reward/100_episodes = -429.08; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7866666666666666, win percentage = 0.0, 2024-12-09 13:23:47
Episode no = 1700; won: False; iter_time_steps = 37; Q(s,a) = 10.37813087195754; score = -426.0; mean_score/100_episodes = -406.61; reward = -415.0; mean_reward/100_episodes = -396.33; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7733333333333333, win percentage = 0.0, 2024-12-09 13:24:49
Episode no = 1800; won: False; iter_time_steps = 45; Q(s,a) = 21.009847776715127; score = -444.0; mean_score/100_episodes = -408.75; reward = -434.0; mean_reward/100_episodes = -397.03; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.76, win percentage = 0.0, 2024-12-09 13:25:43
Episode no = 1900; won: False; iter_time_steps = 22; Q(s,a) = 23.518673937676915; score = -461.0; mean_score/100_episodes = -409.7; reward = -444.0; mean_reward/100_episodes = -395.7; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7466666666666666, win percentage = 0.0, 2024-12-09 13:26:33
Episode no = 2000; won: False; iter_time_steps = 190; Q(s,a) = 32.82131717132194; score = -389.0; mean_score/100_episodes = -381.85; reward = -359.0; mean_reward/100_episodes = -364.51; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7333333333333334, win percentage = 0.0, 2024-12-09 13:27:42
Episode no = 2100; won: False; iter_time_steps = 24; Q(s,a) = 40.01649002149131; score = -463.0; mean_score/100_episodes = -387.45; reward = -457.0; mean_reward/100_episodes = -372.16; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.72, win percentage = 0.0, 2024-12-09 13:28:34
Episode no = 2200; won: False; iter_time_steps = 26; Q(s,a) = 40.34842828486501; score = -395.0; mean_score/100_episodes = -371.14; reward = -382.0; mean_reward/100_episodes = -356.87; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7066666666666667, win percentage = 0.0, 2024-12-09 13:29:40
Episode no = 2300; won: False; iter_time_steps = 42; Q(s,a) = 54.0096115533209; score = -371.0; mean_score/100_episodes = -375.61; reward = -354.0; mean_reward/100_episodes = -362.81; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6933333333333334, win percentage = 0.0, 2024-12-09 13:30:35
Episode no = 2400; won: False; iter_time_steps = 58; Q(s,a) = 55.52777931025611; score = -367.0; mean_score/100_episodes = -355.96; reward = -348.0; mean_reward/100_episodes = -339.2; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6799999999999999, win percentage = 0.0, 2024-12-09 13:31:31
Episode no = 2500; won: False; iter_time_steps = 36; Q(s,a) = 65.45698066432921; score = -295.0; mean_score/100_episodes = -350.35; reward = -271.0; mean_reward/100_episodes = -332.37; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6666666666666667, win percentage = 0.0, 2024-12-09 13:32:31
Episode no = 2600; won: False; iter_time_steps = 13; Q(s,a) = 60.22000765226258; score = -452.0; mean_score/100_episodes = -343.34; reward = -457.0; mean_reward/100_episodes = -324.45; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6533333333333333, win percentage = 0.0, 2024-12-09 13:33:31
Episode no = 2700; won: False; iter_time_steps = 20; Q(s,a) = 64.6283273690001; score = -409.0; mean_score/100_episodes = -337.01; reward = -409.0; mean_reward/100_episodes = -328.62; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.64, win percentage = 0.0, 2024-12-09 13:34:35
Episode no = 2800; won: False; iter_time_steps = 27; Q(s,a) = 73.58911778104427; score = -436.0; mean_score/100_episodes = -322.09; reward = -438.0; mean_reward/100_episodes = -305.06; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6266666666666667, win percentage = 0.0, 2024-12-09 13:35:37
Episode no = 2900; won: False; iter_time_steps = 124; Q(s,a) = 86.13429625036652; score = -203.0; mean_score/100_episodes = -305.96; reward = -150.0; mean_reward/100_episodes = -286.26; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6133333333333333, win percentage = 0.0, 2024-12-09 13:36:44
Episode no = 3000; won: False; iter_time_steps = 46; Q(s,a) = 87.13238663939302; score = -335.0; mean_score/100_episodes = -330.23; reward = -314.0; mean_reward/100_episodes = -313.52; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6, win percentage = 0.0, 2024-12-09 13:37:38
Episode no = 3100; won: False; iter_time_steps = 121; Q(s,a) = 96.21454181055945; score = -130.0; mean_score/100_episodes = -298.97; reward = -81.0; mean_reward/100_episodes = -278.77; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5866666666666667, win percentage = 0.0, 2024-12-09 13:38:35
Episode no = 3200; won: False; iter_time_steps = 51; Q(s,a) = 96.60917393153623; score = -330.0; mean_score/100_episodes = -286.49; reward = -308.0; mean_reward/100_episodes = -263.66; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5733333333333333, win percentage = 0.0, 2024-12-09 13:39:37
Episode no = 3300; won: False; iter_time_steps = 54; Q(s,a) = 98.03316617407208; score = -343.0; mean_score/100_episodes = -304.11; reward = -311.0; mean_reward/100_episodes = -277.37; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.56, win percentage = 0.0, 2024-12-09 13:40:37
Episode no = 3400; won: False; iter_time_steps = 34; Q(s,a) = 102.75063099783749; score = -333.0; mean_score/100_episodes = -289.25; reward = -313.0; mean_reward/100_episodes = -266.34; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5466666666666666, win percentage = 0.0, 2024-12-09 13:41:38
Episode no = 3500; won: False; iter_time_steps = 56; Q(s,a) = 104.18614009570403; score = -245.0; mean_score/100_episodes = -276.96; reward = -203.0; mean_reward/100_episodes = -261.1; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5333333333333333, win percentage = 0.0, 2024-12-09 13:42:38
Episode no = 3600; won: False; iter_time_steps = 241; Q(s,a) = 102.49919014103291; score = -60.0; mean_score/100_episodes = -279.47; reward = 8.0; mean_reward/100_episodes = -257.46; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.52, win percentage = 0.0, 2024-12-09 13:43:45
Episode no = 3700; won: False; iter_time_steps = 73; Q(s,a) = 106.32047477342562; score = -242.0; mean_score/100_episodes = -232.43; reward = -209.0; mean_reward/100_episodes = -212.88; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5066666666666666, win percentage = 0.0, 2024-12-09 13:44:55
Episode no = 3800; won: False; iter_time_steps = 43; Q(s,a) = 106.88846752563258; score = -292.0; mean_score/100_episodes = -263.69; reward = -267.0; mean_reward/100_episodes = -236.69; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.4933333333333333, win percentage = 0.0, 2024-12-09 13:45:57
Episode no = 3900; won: False; iter_time_steps = 20; Q(s,a) = 111.74291396092272; score = -469.0; mean_score/100_episodes = -233.93; reward = -464.0; mean_reward/100_episodes = -211.65; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.48, win percentage = 0.0, 2024-12-09 13:47:05
Episode no = 4000; won: False; iter_time_steps = 187; Q(s,a) = 115.43981202995754; score = 354.0; mean_score/100_episodes = -205.75; reward = 278.0; mean_reward/100_episodes = -195.27; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.4666666666666667, win percentage = 0.0, 2024-12-09 13:48:23
Episode no = 4100; won: False; iter_time_steps = 38; Q(s,a) = 113.30275181878928; score = -307.0; mean_score/100_episodes = -254.21; reward = -273.0; mean_reward/100_episodes = -235.8; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.45333333333333337, win percentage = 0.0, 2024-12-09 13:49:19
Episode no = 4200; won: False; iter_time_steps = 179; Q(s,a) = 122.20853254717704; score = -108.0; mean_score/100_episodes = -186.98; reward = -51.0; mean_reward/100_episodes = -173.36; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.43999999999999995, win percentage = 0.0, 2024-12-09 13:50:35
Episode no = 4300; won: False; iter_time_steps = 228; Q(s,a) = 119.54589103756095; score = -177.0; mean_score/100_episodes = -205.79; reward = -122.0; mean_reward/100_episodes = -183.15; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.42666666666666664, win percentage = 0.0, 2024-12-09 13:51:57
Episode no = 4400; won: False; iter_time_steps = 32; Q(s,a) = 120.9808549638601; score = -361.0; mean_score/100_episodes = -151.38; reward = -344.0; mean_reward/100_episodes = -137.58; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.41333333333333333, win percentage = 0.0, 2024-12-09 13:53:15
Episode no = 4500; won: False; iter_time_steps = 18; Q(s,a) = 112.27445350509166; score = -417.0; mean_score/100_episodes = -174.73; reward = -418.0; mean_reward/100_episodes = -160.68; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.4, win percentage = 0.0, 2024-12-09 13:54:27
Episode no = 4600; won: False; iter_time_steps = 60; Q(s,a) = 122.48708002020811; score = 1.0; mean_score/100_episodes = -194.43; reward = -123.0; mean_reward/100_episodes = -177.26; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.3866666666666667, win percentage = 0.0, 2024-12-09 13:55:37
