Episode no = 100; won: False; iter_time_steps = 21; Q(s,a) = nan; score = -470.0; mean_score/100_episodes = -466.07; reward = -465.0; mean_reward/100_episodes = -459.48; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9866666666666667, win percentage = 0.0, 2024-12-08 10:01:23
Episode no = 200; won: False; iter_time_steps = 25; Q(s,a) = nan; score = -494.0; mean_score/100_episodes = -468.58; reward = -491.0; mean_reward/100_episodes = -459.41; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9733333333333334, win percentage = 0.0, 2024-12-08 10:02:13
Episode no = 300; won: False; iter_time_steps = 20; Q(s,a) = -0.9875748201008009; score = -469.0; mean_score/100_episodes = -470.55; reward = -453.0; mean_reward/100_episodes = -460.41; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.96, win percentage = 0.0, 2024-12-08 10:03:11
Episode no = 400; won: False; iter_time_steps = 193; Q(s,a) = -0.99484173616597; score = -412.0; mean_score/100_episodes = -470.12; reward = -384.0; mean_reward/100_episodes = -460.14; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9466666666666667, win percentage = 0.0, 2024-12-08 10:04:09
Episode no = 500; won: False; iter_time_steps = 34; Q(s,a) = -0.9972864292860195; score = -493.0; mean_score/100_episodes = -465.22; reward = -489.0; mean_reward/100_episodes = -458.15; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9333333333333333, win percentage = 0.0, 2024-12-08 10:05:05
Episode no = 600; won: False; iter_time_steps = 70; Q(s,a) = -0.9982982665152298; score = -469.0; mean_score/100_episodes = -456.59; reward = -459.0; mean_reward/100_episodes = -445.69; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.92, win percentage = 0.0, 2024-12-08 10:06:05
Episode no = 700; won: False; iter_time_steps = 22; Q(s,a) = -0.9985380338460643; score = -501.0; mean_score/100_episodes = -458.67; reward = -499.0; mean_reward/100_episodes = -447.76; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9066666666666666, win percentage = 0.0, 2024-12-08 10:07:05
Episode no = 800; won: False; iter_time_steps = 52; Q(s,a) = -0.9987066298346615; score = -491.0; mean_score/100_episodes = -465.75; reward = -485.0; mean_reward/100_episodes = -456.38; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8933333333333333, win percentage = 0.0, 2024-12-08 10:08:11
Episode no = 900; won: False; iter_time_steps = 43; Q(s,a) = -0.9988257515066384; score = -472.0; mean_score/100_episodes = -457.12; reward = -476.0; mean_reward/100_episodes = -452.77; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.88, win percentage = 0.0, 2024-12-08 10:09:14
Episode no = 1000; won: False; iter_time_steps = 48; Q(s,a) = -0.9989186805906858; score = -467.0; mean_score/100_episodes = -455.26; reward = -459.0; mean_reward/100_episodes = -447.02; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8666666666666667, win percentage = 0.0, 2024-12-08 10:10:11
Episode no = 1100; won: False; iter_time_steps = 12; Q(s,a) = -0.9991949736840327; score = -461.0; mean_score/100_episodes = -457.16; reward = -456.0; mean_reward/100_episodes = -446.35; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8533333333333333, win percentage = 0.0, 2024-12-08 10:11:14
