Episode no = 100; won: False; iter_time_steps = 58; Q(s,a) = -0.6453566878326442; score = -427.0; mean_score/100_episodes = -470.63; reward = -414.0; mean_reward/100_episodes = -461.05; and epsilon = 0.9866666666666667, win percentage = 0.0, 2024-11-22 08:48:42
Episode no = 200; won: False; iter_time_steps = 22; Q(s,a) = -1.3310635125338666; score = -481.0; mean_score/100_episodes = -469.15; reward = -477.0; mean_reward/100_episodes = -459.2; and epsilon = 0.9733333333333334, win percentage = 0.0, 2024-11-22 08:49:27
Episode no = 300; won: False; iter_time_steps = 36; Q(s,a) = -1.9736777064697848; score = -505.0; mean_score/100_episodes = -456.91; reward = -502.0; mean_reward/100_episodes = -449.86; and epsilon = 0.96, win percentage = 0.0, 2024-11-22 08:50:13
Episode no = 400; won: False; iter_time_steps = 124; Q(s,a) = -2.607131478233568; score = -533.0; mean_score/100_episodes = -473.11; reward = -524.0; mean_reward/100_episodes = -463.18; and epsilon = 0.9466666666666667, win percentage = 0.0, 2024-11-22 08:51:01
Episode no = 500; won: False; iter_time_steps = 21; Q(s,a) = -3.2213584951632104; score = -480.0; mean_score/100_episodes = -463.16; reward = -476.0; mean_reward/100_episodes = -453.11; and epsilon = 0.9333333333333333, win percentage = 0.0, 2024-11-22 08:51:44
Episode no = 600; won: False; iter_time_steps = 25; Q(s,a) = nan; score = -474.0; mean_score/100_episodes = -457.47; reward = -469.0; mean_reward/100_episodes = -447.05; and epsilon = 0.92, win percentage = 0.0, 2024-11-22 08:52:30
Episode no = 700; won: False; iter_time_steps = 39; Q(s,a) = -4.328930504241063; score = -458.0; mean_score/100_episodes = -460.94; reward = -450.0; mean_reward/100_episodes = -452.15; and epsilon = 0.9066666666666666, win percentage = 0.0, 2024-11-22 08:53:14
Episode no = 800; won: False; iter_time_steps = 27; Q(s,a) = -4.598301378108466; score = -476.0; mean_score/100_episodes = -448.64; reward = -471.0; mean_reward/100_episodes = -440.41; and epsilon = 0.8933333333333333, win percentage = 0.0, 2024-11-22 08:54:01
Episode no = 900; won: False; iter_time_steps = 49; Q(s,a) = -4.680114198630935; score = -418.0; mean_score/100_episodes = -450.89; reward = -405.0; mean_reward/100_episodes = -440.15; and epsilon = 0.88, win percentage = 0.0, 2024-11-22 08:54:46
Episode no = 1000; won: False; iter_time_steps = 30; Q(s,a) = -5.196454831169019; score = -439.0; mean_score/100_episodes = -441.96; reward = -430.0; mean_reward/100_episodes = -430.04; and epsilon = 0.8666666666666667, win percentage = 0.0, 2024-11-22 08:55:38
Episode no = 1100; won: False; iter_time_steps = 45; Q(s,a) = 5.370538719704219; score = -494.0; mean_score/100_episodes = -440.18; reward = -489.0; mean_reward/100_episodes = -432.66; and epsilon = 0.8533333333333333, win percentage = 0.0, 2024-11-22 08:56:29
Episode no = 1200; won: False; iter_time_steps = 19; Q(s,a) = -5.766382126979423; score = -468.0; mean_score/100_episodes = -438.28; reward = -474.0; mean_reward/100_episodes = -428.35; and epsilon = 0.84, win percentage = 0.0, 2024-11-22 08:57:13
Episode no = 1300; won: False; iter_time_steps = 173; Q(s,a) = 18.93460857068994; score = -432.0; mean_score/100_episodes = -449.0; reward = -408.0; mean_reward/100_episodes = -438.72; and epsilon = 0.8266666666666667, win percentage = 0.0, 2024-11-22 08:58:04
Episode no = 1400; won: False; iter_time_steps = 34; Q(s,a) = 12.760769449733164; score = -433.0; mean_score/100_episodes = -437.17; reward = -423.0; mean_reward/100_episodes = -426.68; and epsilon = 0.8133333333333334, win percentage = 0.0, 2024-11-22 08:58:52
