Episode no = 100; won: False; iter_time_steps = 64; Q(s,a) = -0.688793586749369; score = -443.0; mean_score/100_episodes = -472.91; reward = -431.0; mean_reward/100_episodes = -462.71; and epsilon = 0.9866666666666667, win percentage = 0.0, 2024-11-28 08:33:10
Episode no = 200; won: False; iter_time_steps = 24; Q(s,a) = nan; score = -493.0; mean_score/100_episodes = -468.84; reward = -490.0; mean_reward/100_episodes = -460.01; and epsilon = 0.9733333333333334, win percentage = 0.0, 2024-11-28 08:34:05
Episode no = 300; won: False; iter_time_steps = 97; Q(s,a) = -1.8717666682947796; score = -426.0; mean_score/100_episodes = -469.79; reward = -409.0; mean_reward/100_episodes = -462.75; and epsilon = 0.96, win percentage = 0.0, 2024-11-28 08:35:02
Episode no = 400; won: False; iter_time_steps = 16; Q(s,a) = nan; score = -485.0; mean_score/100_episodes = -464.48; reward = -493.0; mean_reward/100_episodes = -454.49; and epsilon = 0.9466666666666667, win percentage = 0.0, 2024-11-28 08:36:03
Episode no = 500; won: False; iter_time_steps = 49; Q(s,a) = -2.67174481044728; score = -478.0; mean_score/100_episodes = -459.74; reward = -460.0; mean_reward/100_episodes = -450.03; and epsilon = 0.9333333333333333, win percentage = 0.0, 2024-11-28 08:37:06
Episode no = 600; won: False; iter_time_steps = 63; Q(s,a) = -1.5702598614716239; score = -532.0; mean_score/100_episodes = -459.04; reward = -529.0; mean_reward/100_episodes = -449.25; and epsilon = 0.92, win percentage = 0.0, 2024-11-28 08:38:11
Episode no = 700; won: False; iter_time_steps = 29; Q(s,a) = -1.024850593134476; score = -458.0; mean_score/100_episodes = -448.42; reward = -440.0; mean_reward/100_episodes = -438.95; and epsilon = 0.9066666666666666, win percentage = 0.0, 2024-11-28 08:39:27
Episode no = 800; won: False; iter_time_steps = 20; Q(s,a) = 11.695977170096631; score = -479.0; mean_score/100_episodes = -448.56; reward = -475.0; mean_reward/100_episodes = -440.38; and epsilon = 0.8933333333333333, win percentage = 0.0, 2024-11-28 08:40:25
Episode no = 900; won: False; iter_time_steps = 38; Q(s,a) = 12.569477860595482; score = -487.0; mean_score/100_episodes = -446.36; reward = -482.0; mean_reward/100_episodes = -436.16; and epsilon = 0.88, win percentage = 0.0, 2024-11-28 08:41:34
Episode no = 1000; won: False; iter_time_steps = 66; Q(s,a) = 19.0919527065042; score = -445.0; mean_score/100_episodes = -449.06; reward = -433.0; mean_reward/100_episodes = -438.69; and epsilon = 0.8666666666666667, win percentage = 0.0, 2024-11-28 08:42:35
Episode no = 1100; won: False; iter_time_steps = 95; Q(s,a) = 25.50412845486352; score = -384.0; mean_score/100_episodes = -433.13; reward = -363.0; mean_reward/100_episodes = -423.3; and epsilon = 0.8533333333333333, win percentage = 0.0, 2024-11-28 08:43:40
Episode no = 1200; won: False; iter_time_steps = 92; Q(s,a) = 13.555564365198416; score = -391.0; mean_score/100_episodes = -437.33; reward = -371.0; mean_reward/100_episodes = -424.48; and epsilon = 0.84, win percentage = 0.0, 2024-11-28 08:44:48
Episode no = 1300; won: False; iter_time_steps = 118; Q(s,a) = 15.528606309105824; score = -337.0; mean_score/100_episodes = -432.77; reward = -309.0; mean_reward/100_episodes = -424.31; and epsilon = 0.8266666666666667, win percentage = 0.0, 2024-11-28 08:45:47
Episode no = 1400; won: False; iter_time_steps = 186; Q(s,a) = 8.952910368689496; score = -425.0; mean_score/100_episodes = -431.9; reward = -399.0; mean_reward/100_episodes = -419.84; and epsilon = 0.8133333333333334, win percentage = 0.0, 2024-11-28 08:46:58
Episode no = 1500; won: False; iter_time_steps = 84; Q(s,a) = 40.540864785180865; score = -433.0; mean_score/100_episodes = -418.09; reward = -418.0; mean_reward/100_episodes = -403.23; and epsilon = 0.8, win percentage = 0.0, 2024-11-28 08:48:02
Episode no = 1600; won: False; iter_time_steps = 42; Q(s,a) = 34.18035545630521; score = -411.0; mean_score/100_episodes = -413.05; reward = -398.0; mean_reward/100_episodes = -399.16; and epsilon = 0.7866666666666666, win percentage = 0.0, 2024-11-28 08:49:12
Episode no = 1700; won: False; iter_time_steps = 127; Q(s,a) = 35.39341993754719; score = -376.0; mean_score/100_episodes = -400.76; reward = -351.0; mean_reward/100_episodes = -386.47; and epsilon = 0.7733333333333333, win percentage = 0.0, 2024-11-28 08:50:21
Episode no = 1800; won: False; iter_time_steps = 46; Q(s,a) = 38.43887778513586; score = -345.0; mean_score/100_episodes = -395.03; reward = -325.0; mean_reward/100_episodes = -380.42; and epsilon = 0.76, win percentage = 0.0, 2024-11-28 08:51:21
Episode no = 1900; won: False; iter_time_steps = 26; Q(s,a) = 49.41351224412783; score = -425.0; mean_score/100_episodes = -379.11; reward = -415.0; mean_reward/100_episodes = -363.07; and epsilon = 0.7466666666666666, win percentage = 0.0, 2024-11-28 08:52:33
Episode no = 2000; won: False; iter_time_steps = 21; Q(s,a) = 47.96266752124367; score = -450.0; mean_score/100_episodes = -374.24; reward = -454.0; mean_reward/100_episodes = -360.88; and epsilon = 0.7333333333333334, win percentage = 0.0, 2024-11-28 08:53:48
