Episode no = 100; won: False; iter_time_steps = 86; Q(s,a) = -0.3277965045951131; score = -405.0; mean_score/100_episodes = -464.8; reward = -376.0; mean_reward/100_episodes = -455.29; and epsilon = 0.9866666666666667, win percentage = 0.0, 2024-11-24 03:39:18
Episode no = 200; won: False; iter_time_steps = 28; Q(s,a) = -0.6406860825443402; score = -487.0; mean_score/100_episodes = -464.97; reward = -483.0; mean_reward/100_episodes = -460.54; and epsilon = 0.9733333333333334, win percentage = 0.0, 2024-11-24 03:39:33
Episode no = 300; won: False; iter_time_steps = 40; Q(s,a) = -0.9419291814140618; score = -479.0; mean_score/100_episodes = -469.17; reward = -484.0; mean_reward/100_episodes = -461.17; and epsilon = 0.96, win percentage = 0.0, 2024-11-24 03:39:48
Episode no = 400; won: False; iter_time_steps = 139; Q(s,a) = -1.2918290000807366; score = -558.0; mean_score/100_episodes = -457.67; reward = -550.0; mean_reward/100_episodes = -449.52; and epsilon = 0.9466666666666667, win percentage = 0.0, 2024-11-24 03:40:07
Episode no = 500; won: False; iter_time_steps = 243; Q(s,a) = -1.5853921799952277; score = -362.0; mean_score/100_episodes = -462.88; reward = -324.0; mean_reward/100_episodes = -454.0; and epsilon = 0.9333333333333333, win percentage = 0.0, 2024-11-24 03:40:23
Episode no = 600; won: False; iter_time_steps = 54; Q(s,a) = -2.377015217400122; score = -493.0; mean_score/100_episodes = -464.17; reward = -487.0; mean_reward/100_episodes = -455.63; and epsilon = 0.92, win percentage = 0.0, 2024-11-24 03:40:42
Episode no = 700; won: False; iter_time_steps = 105; Q(s,a) = -2.750430317373908; score = -494.0; mean_score/100_episodes = -460.61; reward = -483.0; mean_reward/100_episodes = -452.79; and epsilon = 0.9066666666666666, win percentage = 0.0, 2024-11-24 03:41:00
Episode no = 800; won: False; iter_time_steps = 72; Q(s,a) = -3.487011445123002; score = -441.0; mean_score/100_episodes = -453.22; reward = -428.0; mean_reward/100_episodes = -445.14; and epsilon = 0.8933333333333333, win percentage = 0.0, 2024-11-24 03:41:19
Episode no = 900; won: False; iter_time_steps = 38; Q(s,a) = -3.593489156449412; score = -457.0; mean_score/100_episodes = -452.31; reward = -449.0; mean_reward/100_episodes = -443.38; and epsilon = 0.88, win percentage = 0.0, 2024-11-24 03:41:37
Episode no = 1000; won: False; iter_time_steps = 20; Q(s,a) = -3.8285226798208107; score = -469.0; mean_score/100_episodes = -457.6; reward = -464.0; mean_reward/100_episodes = -446.0; and epsilon = 0.8666666666666667, win percentage = 0.0, 2024-11-24 03:41:55
Episode no = 1100; won: False; iter_time_steps = 54; Q(s,a) = -3.8568129050397744; score = -493.0; mean_score/100_episodes = -440.58; reward = -487.0; mean_reward/100_episodes = -430.06; and epsilon = 0.8533333333333333, win percentage = 0.0, 2024-11-24 03:42:16
Episode no = 1200; won: False; iter_time_steps = 28; Q(s,a) = -4.712247606033523; score = -467.0; mean_score/100_episodes = -444.9; reward = -450.0; mean_reward/100_episodes = -435.79; and epsilon = 0.84, win percentage = 0.0, 2024-11-24 03:42:34
Episode no = 1300; won: False; iter_time_steps = 301; Q(s,a) = -2.908830202692518; score = -540.0; mean_score/100_episodes = -439.08; reward = -514.0; mean_reward/100_episodes = -433.02; and epsilon = 0.8266666666666667, win percentage = 0.0, 2024-11-24 03:42:53
Episode no = 1400; won: False; iter_time_steps = 62; Q(s,a) = -5.862307808931542; score = -391.0; mean_score/100_episodes = -439.04; reward = -374.0; mean_reward/100_episodes = -430.0; and epsilon = 0.8133333333333334, win percentage = 0.0, 2024-11-24 03:43:11
Episode no = 1500; won: False; iter_time_steps = 18; Q(s,a) = 5.833419492435523; score = -487.0; mean_score/100_episodes = -453.83; reward = -484.0; mean_reward/100_episodes = -444.35; and epsilon = 0.8, win percentage = 0.0, 2024-11-24 03:43:27
Episode no = 1600; won: False; iter_time_steps = 50; Q(s,a) = 9.94845795142312; score = -419.0; mean_score/100_episodes = -434.36; reward = -406.0; mean_reward/100_episodes = -425.74; and epsilon = 0.7866666666666666, win percentage = 0.0, 2024-11-24 03:43:47
Episode no = 1700; won: False; iter_time_steps = 34; Q(s,a) = 0.5170304555144265; score = -423.0; mean_score/100_episodes = -421.84; reward = -412.0; mean_reward/100_episodes = -412.9; and epsilon = 0.7733333333333333, win percentage = 0.0, 2024-11-24 03:44:08
Episode no = 1800; won: False; iter_time_steps = 130; Q(s,a) = -1.7296591894854232; score = -159.0; mean_score/100_episodes = -421.75; reward = -281.0; mean_reward/100_episodes = -415.37; and epsilon = 0.76, win percentage = 0.0, 2024-11-24 03:44:29
Episode no = 1900; won: False; iter_time_steps = 95; Q(s,a) = 17.778784984063993; score = -434.0; mean_score/100_episodes = -424.74; reward = -418.0; mean_reward/100_episodes = -414.24; and epsilon = 0.7466666666666666, win percentage = 0.0, 2024-11-24 03:44:47
Episode no = 2000; won: False; iter_time_steps = 22; Q(s,a) = 20.856459188067245; score = -431.0; mean_score/100_episodes = -416.82; reward = -433.0; mean_reward/100_episodes = -404.45; and epsilon = 0.7333333333333334, win percentage = 0.0, 2024-11-24 03:45:06
Episode no = 2100; won: False; iter_time_steps = 29; Q(s,a) = -3.8606150568993156; score = -398.0; mean_score/100_episodes = -419.76; reward = -385.0; mean_reward/100_episodes = -408.43; and epsilon = 0.72, win percentage = 0.0, 2024-11-24 03:45:23
