Episode no = 100; won: False; iter_time_steps = 42; Q(s,a) = nan; score = -511.0; mean_score/100_episodes = -467.65; reward = -508.0; mean_reward/100_episodes = -459.38; and epsilon = 0.9866666666666667, win percentage = 0.0, 2024-11-24 15:53:45
Episode no = 200; won: False; iter_time_steps = 20; Q(s,a) = -0.5725609315461009; score = -489.0; mean_score/100_episodes = -466.25; reward = -486.0; mean_reward/100_episodes = -455.66; and epsilon = 0.9733333333333334, win percentage = 0.0, 2024-11-24 15:54:04
Episode no = 300; won: False; iter_time_steps = 56; Q(s,a) = -0.838541262640398; score = -415.0; mean_score/100_episodes = -461.7; reward = -401.0; mean_reward/100_episodes = -454.82; and epsilon = 0.96, win percentage = 0.0, 2024-11-24 15:54:20
Episode no = 400; won: False; iter_time_steps = 36; Q(s,a) = -1.165192439602988; score = -485.0; mean_score/100_episodes = -458.49; reward = -480.0; mean_reward/100_episodes = -452.15; and epsilon = 0.9466666666666667, win percentage = 0.0, 2024-11-24 15:54:40
Episode no = 500; won: False; iter_time_steps = 208; Q(s,a) = -1.4685355045049584; score = -487.0; mean_score/100_episodes = -458.91; reward = -465.0; mean_reward/100_episodes = -454.69; and epsilon = 0.9333333333333333, win percentage = 0.0, 2024-11-24 15:55:01
Episode no = 600; won: False; iter_time_steps = 56; Q(s,a) = -2.0836747014208457; score = -455.0; mean_score/100_episodes = -462.16; reward = -445.0; mean_reward/100_episodes = -452.55; and epsilon = 0.92, win percentage = 0.0, 2024-11-24 15:55:19
Episode no = 700; won: False; iter_time_steps = 57; Q(s,a) = -2.814922980836405; score = -366.0; mean_score/100_episodes = -454.66; reward = -347.0; mean_reward/100_episodes = -450.15; and epsilon = 0.9066666666666666, win percentage = 0.0, 2024-11-24 15:55:38
Episode no = 800; won: False; iter_time_steps = 61; Q(s,a) = -3.363178683322194; score = -420.0; mean_score/100_episodes = -452.25; reward = -406.0; mean_reward/100_episodes = -444.01; and epsilon = 0.8933333333333333, win percentage = 0.0, 2024-11-24 15:55:57
Episode no = 900; won: False; iter_time_steps = 58; Q(s,a) = -3.690163855745594; score = -407.0; mean_score/100_episodes = -444.7; reward = -403.0; mean_reward/100_episodes = -436.54; and epsilon = 0.88, win percentage = 0.0, 2024-11-24 15:56:14
Episode no = 1000; won: False; iter_time_steps = 41; Q(s,a) = -4.291249703059051; score = -490.0; mean_score/100_episodes = -453.1; reward = -485.0; mean_reward/100_episodes = -443.77; and epsilon = 0.8666666666666667, win percentage = 0.0, 2024-11-24 15:56:33
Episode no = 1100; won: False; iter_time_steps = 46; Q(s,a) = -3.575887957504726; score = -485.0; mean_score/100_episodes = -441.94; reward = -479.0; mean_reward/100_episodes = -433.15; and epsilon = 0.8533333333333333, win percentage = 0.0, 2024-11-24 15:56:53
