Episode no = 100; won: False; iter_time_steps = 49; Q(s,a) = -0.7082604315564272; score = -448.0; mean_score/100_episodes = -463.82; reward = -427.0; mean_reward/100_episodes = -452.88; and epsilon = 0.9866666666666667, win percentage = 0.0, 2024-11-22 17:30:31
Episode no = 200; won: False; iter_time_steps = 193; Q(s,a) = -1.4271143845438667; score = -392.0; mean_score/100_episodes = -472.59; reward = -362.0; mean_reward/100_episodes = -463.58; and epsilon = 0.9733333333333334, win percentage = 0.0, 2024-11-22 17:31:24
Episode no = 300; won: False; iter_time_steps = 61; Q(s,a) = -2.032197828028377; score = -500.0; mean_score/100_episodes = -464.26; reward = -494.0; mean_reward/100_episodes = -454.1; and epsilon = 0.96, win percentage = 0.0, 2024-11-22 17:32:12
Episode no = 400; won: False; iter_time_steps = 35; Q(s,a) = -2.7358313241623207; score = -494.0; mean_score/100_episodes = -465.86; reward = -501.0; mean_reward/100_episodes = -459.04; and epsilon = 0.9466666666666667, win percentage = 0.0, 2024-11-22 17:33:00
Episode no = 500; won: False; iter_time_steps = 36; Q(s,a) = -3.362655815923946; score = -425.0; mean_score/100_episodes = -455.6; reward = -403.0; mean_reward/100_episodes = -450.89; and epsilon = 0.9333333333333333, win percentage = 0.0, 2024-11-22 17:33:58
Episode no = 600; won: False; iter_time_steps = 63; Q(s,a) = -3.9412324626127426; score = -492.0; mean_score/100_episodes = -463.07; reward = -485.0; mean_reward/100_episodes = -453.7; and epsilon = 0.92, win percentage = 0.0, 2024-11-22 17:34:47
Episode no = 700; won: False; iter_time_steps = 107; Q(s,a) = -4.313569772041646; score = -406.0; mean_score/100_episodes = -456.71; reward = -386.0; mean_reward/100_episodes = -445.62; and epsilon = 0.9066666666666666, win percentage = 0.0, 2024-11-22 17:35:33
Episode no = 800; won: False; iter_time_steps = 58; Q(s,a) = -4.825885082919312; score = -447.0; mean_score/100_episodes = -454.16; reward = -436.0; mean_reward/100_episodes = -447.07; and epsilon = 0.8933333333333333, win percentage = 0.0, 2024-11-22 17:36:19
Episode no = 900; won: False; iter_time_steps = 30; Q(s,a) = nan; score = -429.0; mean_score/100_episodes = -446.55; reward = -419.0; mean_reward/100_episodes = -437.93; and epsilon = 0.88, win percentage = 0.0, 2024-11-22 17:37:07
Episode no = 1000; won: False; iter_time_steps = 60; Q(s,a) = -4.254683476057042; score = -479.0; mean_score/100_episodes = -450.63; reward = -471.0; mean_reward/100_episodes = -439.21; and epsilon = 0.8666666666666667, win percentage = 0.0, 2024-11-22 17:37:57
Episode no = 1100; won: False; iter_time_steps = 30; Q(s,a) = 20.26372959225698; score = -419.0; mean_score/100_episodes = -451.68; reward = -408.0; mean_reward/100_episodes = -440.97; and epsilon = 0.8533333333333333, win percentage = 0.0, 2024-11-22 17:38:38
Episode no = 1200; won: False; iter_time_steps = 111; Q(s,a) = 8.75559931408977; score = -410.0; mean_score/100_episodes = -443.01; reward = -379.0; mean_reward/100_episodes = -429.76; and epsilon = 0.84, win percentage = 0.0, 2024-11-22 17:39:28
Episode no = 1300; won: False; iter_time_steps = 50; Q(s,a) = 27.42130404659962; score = -429.0; mean_score/100_episodes = -433.21; reward = -417.0; mean_reward/100_episodes = -421.29; and epsilon = 0.8266666666666667, win percentage = 0.0, 2024-11-22 17:40:18
Episode no = 1400; won: False; iter_time_steps = 30; Q(s,a) = 26.870746695913162; score = -439.0; mean_score/100_episodes = -432.21; reward = -430.0; mean_reward/100_episodes = -419.79; and epsilon = 0.8133333333333334, win percentage = 0.0, 2024-11-22 17:41:04
Episode no = 1500; won: False; iter_time_steps = 13; Q(s,a) = 24.69946945443654; score = -452.0; mean_score/100_episodes = -430.39; reward = -446.0; mean_reward/100_episodes = -419.24; and epsilon = 0.8, win percentage = 0.0, 2024-11-22 17:41:51
Episode no = 1600; won: False; iter_time_steps = 78; Q(s,a) = 21.924379501014382; score = -437.0; mean_score/100_episodes = -418.44; reward = -423.0; mean_reward/100_episodes = -406.08; and epsilon = 0.7866666666666666, win percentage = 0.0, 2024-11-22 17:42:41
Episode no = 1700; won: False; iter_time_steps = 14; Q(s,a) = 34.44207851320281; score = -473.0; mean_score/100_episodes = -407.98; reward = -480.0; mean_reward/100_episodes = -397.1; and epsilon = 0.7733333333333333, win percentage = 0.0, 2024-11-22 17:43:23
Episode no = 1800; won: False; iter_time_steps = 30; Q(s,a) = 28.7974950684434; score = -459.0; mean_score/100_episodes = -416.84; reward = -452.0; mean_reward/100_episodes = -405.35; and epsilon = 0.76, win percentage = 0.0, 2024-11-22 17:44:06
Episode no = 1900; won: False; iter_time_steps = 46; Q(s,a) = 19.14468317012038; score = -435.0; mean_score/100_episodes = -406.06; reward = -424.0; mean_reward/100_episodes = -393.24; and epsilon = 0.7466666666666666, win percentage = 0.0, 2024-11-22 17:44:53
Episode no = 2000; won: False; iter_time_steps = 21; Q(s,a) = 48.22434317596273; score = -360.0; mean_score/100_episodes = -400.6; reward = -344.0; mean_reward/100_episodes = -385.97; and epsilon = 0.7333333333333334, win percentage = 0.0, 2024-11-22 17:45:36
Episode no = 2100; won: False; iter_time_steps = 127; Q(s,a) = 50.08886164322727; score = -246.0; mean_score/100_episodes = -396.77; reward = -197.0; mean_reward/100_episodes = -381.45; and epsilon = 0.72, win percentage = 0.0, 2024-11-22 17:46:22
Episode no = 2200; won: False; iter_time_steps = 83; Q(s,a) = 56.78556697880374; score = -382.0; mean_score/100_episodes = -373.91; reward = -362.0; mean_reward/100_episodes = -358.11; and epsilon = 0.7066666666666667, win percentage = 0.0, 2024-11-22 17:47:13
Episode no = 2300; won: False; iter_time_steps = 11; Q(s,a) = 59.66799165235524; score = -450.0; mean_score/100_episodes = -365.54; reward = -455.0; mean_reward/100_episodes = -348.14; and epsilon = 0.6933333333333334, win percentage = 0.0, 2024-11-22 17:48:00
Episode no = 2400; won: False; iter_time_steps = 25; Q(s,a) = 55.89666352502122; score = -434.0; mean_score/100_episodes = -341.0; reward = -414.0; mean_reward/100_episodes = -323.61; and epsilon = 0.6799999999999999, win percentage = 0.0, 2024-11-22 17:48:53
Episode no = 2500; won: False; iter_time_steps = 20; Q(s,a) = 62.29861418341611; score = -399.0; mean_score/100_episodes = -352.31; reward = -387.0; mean_reward/100_episodes = -334.2; and epsilon = 0.6666666666666667, win percentage = 0.0, 2024-11-22 17:49:42
Episode no = 2600; won: False; iter_time_steps = 28; Q(s,a) = 69.39167823036311; score = -387.0; mean_score/100_episodes = -358.84; reward = -373.0; mean_reward/100_episodes = -341.64; and epsilon = 0.6533333333333333, win percentage = 0.0, 2024-11-22 17:50:24
Episode no = 2700; won: False; iter_time_steps = 25; Q(s,a) = 72.79788898738488; score = -404.0; mean_score/100_episodes = -327.36; reward = -392.0; mean_reward/100_episodes = -306.38; and epsilon = 0.64, win percentage = 0.0, 2024-11-22 17:51:11
Episode no = 2800; won: False; iter_time_steps = 190; Q(s,a) = 73.60402160370565; score = -89.0; mean_score/100_episodes = -343.0; reward = -29.0; mean_reward/100_episodes = -321.56; and epsilon = 0.6266666666666667, win percentage = 0.0, 2024-11-22 17:51:56
Episode no = 2900; won: False; iter_time_steps = 32; Q(s,a) = 81.260914299274; score = -351.0; mean_score/100_episodes = -308.63; reward = -333.0; mean_reward/100_episodes = -285.8; and epsilon = 0.6133333333333333, win percentage = 0.0, 2024-11-22 17:52:50
Episode no = 3000; won: False; iter_time_steps = 13; Q(s,a) = 86.02764344611003; score = -442.0; mean_score/100_episodes = -328.49; reward = -424.0; mean_reward/100_episodes = -305.33; and epsilon = 0.6, win percentage = 0.0, 2024-11-22 17:53:36
Episode no = 3100; won: False; iter_time_steps = 44; Q(s,a) = 89.18148148787704; score = -323.0; mean_score/100_episodes = -315.02; reward = -301.0; mean_reward/100_episodes = -294.83; and epsilon = 0.5866666666666667, win percentage = 0.0, 2024-11-22 17:54:21
Episode no = 3200; won: False; iter_time_steps = 25; Q(s,a) = 95.6233384213689; score = -384.0; mean_score/100_episodes = -326.46; reward = -370.0; mean_reward/100_episodes = -303.27; and epsilon = 0.5733333333333333, win percentage = 0.0, 2024-11-22 17:55:06
Episode no = 3300; won: False; iter_time_steps = 104; Q(s,a) = 99.46182764688683; score = -183.0; mean_score/100_episodes = -294.25; reward = -141.0; mean_reward/100_episodes = -267.51; and epsilon = 0.56, win percentage = 0.0, 2024-11-22 17:56:01
Episode no = 3400; won: False; iter_time_steps = 19; Q(s,a) = 105.20170582504899; score = -458.0; mean_score/100_episodes = -328.71; reward = -452.0; mean_reward/100_episodes = -308.22; and epsilon = 0.5466666666666666, win percentage = 0.0, 2024-11-22 17:56:41
Episode no = 3500; won: False; iter_time_steps = 102; Q(s,a) = 105.67682673748335; score = -151.0; mean_score/100_episodes = -293.92; reward = -106.0; mean_reward/100_episodes = -269.58; and epsilon = 0.5333333333333333, win percentage = 0.0, 2024-11-22 17:57:30
Episode no = 3600; won: False; iter_time_steps = 65; Q(s,a) = 111.74216465245966; score = -284.0; mean_score/100_episodes = -285.34; reward = -267.0; mean_reward/100_episodes = -259.8; and epsilon = 0.52, win percentage = 0.0, 2024-11-22 17:58:20
Episode no = 3700; won: False; iter_time_steps = 59; Q(s,a) = 115.63374773314841; score = -258.0; mean_score/100_episodes = -270.11; reward = -228.0; mean_reward/100_episodes = -249.24; and epsilon = 0.5066666666666666, win percentage = 0.0, 2024-11-22 17:59:11
Episode no = 3800; won: False; iter_time_steps = 28; Q(s,a) = 115.91427680924859; score = -447.0; mean_score/100_episodes = -292.65; reward = -439.0; mean_reward/100_episodes = -269.1; and epsilon = 0.4933333333333333, win percentage = 0.0, 2024-11-22 17:59:50
Episode no = 3900; won: False; iter_time_steps = 68; Q(s,a) = 119.37611282977655; score = -227.0; mean_score/100_episodes = -272.12; reward = -193.0; mean_reward/100_episodes = -247.16; and epsilon = 0.48, win percentage = 0.0, 2024-11-22 18:00:36
Episode no = 4000; won: False; iter_time_steps = 21; Q(s,a) = 124.4724048873999; score = -360.0; mean_score/100_episodes = -260.94; reward = -333.0; mean_reward/100_episodes = -236.54; and epsilon = 0.4666666666666667, win percentage = 0.0, 2024-11-22 18:01:26
Episode no = 4100; won: False; iter_time_steps = 34; Q(s,a) = 126.75818061939192; score = -333.0; mean_score/100_episodes = -270.4; reward = -313.0; mean_reward/100_episodes = -240.32; and epsilon = 0.45333333333333337, win percentage = 0.0, 2024-11-22 18:02:14
Episode no = 4200; won: False; iter_time_steps = 47; Q(s,a) = 129.8180237343535; score = -236.0; mean_score/100_episodes = -299.94; reward = -194.0; mean_reward/100_episodes = -276.13; and epsilon = 0.43999999999999995, win percentage = 0.0, 2024-11-22 18:02:53
