Episode no = 100; won: False; iter_time_steps = 54; Q(s,a) = -0.6579418734697658; score = -483.0; mean_score/100_episodes = -457.51; reward = -476.0; mean_reward/100_episodes = -448.41; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9866666666666667, win percentage = 0.0, 2024-12-21 10:04:06
Episode no = 200; won: False; iter_time_steps = 28; Q(s,a) = nan; score = -497.0; mean_score/100_episodes = -461.11; reward = -494.0; mean_reward/100_episodes = -450.21; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9733333333333334, win percentage = 0.0, 2024-12-21 10:04:57
Episode no = 300; won: False; iter_time_steps = 56; Q(s,a) = -1.982919656880854; score = -505.0; mean_score/100_episodes = -462.48; reward = -500.0; mean_reward/100_episodes = -452.27; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.96, win percentage = 0.0, 2024-12-21 10:05:45
Episode no = 400; won: False; iter_time_steps = 26; Q(s,a) = -2.629343045201643; score = -475.0; mean_score/100_episodes = -456.06; reward = -470.0; mean_reward/100_episodes = -446.44; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9466666666666667, win percentage = 0.0, 2024-12-21 10:06:49
Episode no = 500; won: False; iter_time_steps = 29; Q(s,a) = -3.229874403126412; score = -448.0; mean_score/100_episodes = -454.66; reward = -429.0; mean_reward/100_episodes = -448.13; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9333333333333333, win percentage = 0.0, 2024-12-21 10:07:38
Episode no = 600; won: False; iter_time_steps = 124; Q(s,a) = -3.7837315133737026; score = -533.0; mean_score/100_episodes = -466.98; reward = -513.0; mean_reward/100_episodes = -458.25; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.92, win percentage = 0.0, 2024-12-21 10:08:30
Episode no = 700; won: False; iter_time_steps = 27; Q(s,a) = -4.369160224036991; score = -456.0; mean_score/100_episodes = -454.02; reward = -460.0; mean_reward/100_episodes = -446.34; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9066666666666666, win percentage = 0.0, 2024-12-21 10:09:21
Episode no = 800; won: False; iter_time_steps = 34; Q(s,a) = -4.868750989779844; score = -443.0; mean_score/100_episodes = -460.63; reward = -423.0; mean_reward/100_episodes = -451.81; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8933333333333333, win percentage = 0.0, 2024-12-21 10:10:08
Episode no = 900; won: False; iter_time_steps = 19; Q(s,a) = -5.356672741969049; score = -478.0; mean_score/100_episodes = -460.29; reward = -463.0; mean_reward/100_episodes = -452.95; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.88, win percentage = 0.0, 2024-12-21 10:11:03
Episode no = 1000; won: False; iter_time_steps = 25; Q(s,a) = -5.8297940117364195; score = -464.0; mean_score/100_episodes = -451.96; reward = -458.0; mean_reward/100_episodes = -447.45; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8666666666666667, win percentage = 0.0, 2024-12-21 10:11:56
Episode no = 1100; won: False; iter_time_steps = 121; Q(s,a) = -6.2760834928015825; score = -530.0; mean_score/100_episodes = -453.01; reward = -521.0; mean_reward/100_episodes = -445.84; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8533333333333333, win percentage = 0.0, 2024-12-21 10:12:50
Episode no = 1200; won: False; iter_time_steps = 20; Q(s,a) = -6.691417947599298; score = -479.0; mean_score/100_episodes = -448.53; reward = -475.0; mean_reward/100_episodes = -442.91; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.84, win percentage = 0.0, 2024-12-21 10:13:47
