Episode no = 100; won: False; iter_time_steps = 34; Q(s,a) = nan; score = -443.0; mean_score/100_episodes = -470.63; reward = -445.0; mean_reward/100_episodes = -461.49; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9866666666666667, win percentage = 0.0, 2024-12-19 05:12:09
Episode no = 200; won: False; iter_time_steps = 60; Q(s,a) = nan; score = -459.0; mean_score/100_episodes = -468.11; reward = -449.0; mean_reward/100_episodes = -459.31; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9733333333333334, win percentage = 0.0, 2024-12-19 05:13:25
Episode no = 300; won: False; iter_time_steps = 35; Q(s,a) = -2.093827242613905; score = -444.0; mean_score/100_episodes = -467.77; reward = -435.0; mean_reward/100_episodes = -458.82; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.96, win percentage = 0.0, 2024-12-19 05:14:26
Episode no = 400; won: False; iter_time_steps = 69; Q(s,a) = -2.685663185624329; score = -438.0; mean_score/100_episodes = -457.15; reward = -436.0; mean_reward/100_episodes = -448.25; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9466666666666667, win percentage = 0.0, 2024-12-19 05:15:52
Episode no = 500; won: False; iter_time_steps = 157; Q(s,a) = -3.2524619684463354; score = -196.0; mean_score/100_episodes = -458.89; reward = -319.0; mean_reward/100_episodes = -450.91; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9333333333333333, win percentage = 0.0, 2024-12-19 05:17:02
Episode no = 600; won: False; iter_time_steps = 68; Q(s,a) = -3.848609412100083; score = -457.0; mean_score/100_episodes = -451.69; reward = -446.0; mean_reward/100_episodes = -443.44; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.92, win percentage = 0.0, 2024-12-19 05:18:33
Episode no = 700; won: False; iter_time_steps = 48; Q(s,a) = -4.326259183308677; score = -487.0; mean_score/100_episodes = -463.78; reward = -481.0; mean_reward/100_episodes = -454.67; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9066666666666666, win percentage = 0.0, 2024-12-19 05:19:55
Episode no = 800; won: False; iter_time_steps = 45; Q(s,a) = -4.516812499219274; score = -514.0; mean_score/100_episodes = -455.85; reward = -511.0; mean_reward/100_episodes = -450.38; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8933333333333333, win percentage = 0.0, 2024-12-19 05:21:15
Episode no = 900; won: False; iter_time_steps = 31; Q(s,a) = -4.94868079228958; score = -490.0; mean_score/100_episodes = -448.24; reward = -486.0; mean_reward/100_episodes = -442.7; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.88, win percentage = 0.0, 2024-12-19 05:22:28
Episode no = 1000; won: False; iter_time_steps = 142; Q(s,a) = -3.9950206325361495; score = -361.0; mean_score/100_episodes = -450.07; reward = -333.0; mean_reward/100_episodes = -439.49; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8666666666666667, win percentage = 0.0, 2024-12-19 05:23:30
Episode no = 1100; won: False; iter_time_steps = 34; Q(s,a) = -5.27760146842944; score = -413.0; mean_score/100_episodes = -445.74; reward = -390.0; mean_reward/100_episodes = -435.19; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8533333333333333, win percentage = 0.0, 2024-12-19 05:24:50
Episode no = 1200; won: False; iter_time_steps = 51; Q(s,a) = -3.6868779721121783; score = -420.0; mean_score/100_episodes = -442.06; reward = -407.0; mean_reward/100_episodes = -432.15; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.84, win percentage = 0.0, 2024-12-19 05:26:07
Episode no = 1300; won: False; iter_time_steps = 18; Q(s,a) = -0.43446993936935563; score = -487.0; mean_score/100_episodes = -439.02; reward = -484.0; mean_reward/100_episodes = -429.69; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8266666666666667, win percentage = 0.0, 2024-12-19 05:27:18
Episode no = 1400; won: False; iter_time_steps = 97; Q(s,a) = 14.611689275633161; score = -416.0; mean_score/100_episodes = -420.31; reward = -398.0; mean_reward/100_episodes = -408.47; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8133333333333334, win percentage = 0.0, 2024-12-19 05:28:37
Episode no = 1500; won: False; iter_time_steps = 104; Q(s,a) = 9.762221310961843; score = -463.0; mean_score/100_episodes = -441.91; reward = -449.0; mean_reward/100_episodes = -429.72; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8, win percentage = 0.0, 2024-12-19 05:29:45
Episode no = 1600; won: False; iter_time_steps = 93; Q(s,a) = 22.686435811988304; score = -362.0; mean_score/100_episodes = -422.23; reward = -339.0; mean_reward/100_episodes = -409.95; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7866666666666666, win percentage = 0.0, 2024-12-19 05:30:58
Episode no = 1700; won: False; iter_time_steps = 20; Q(s,a) = 21.73790776618944; score = -429.0; mean_score/100_episodes = -407.31; reward = -420.0; mean_reward/100_episodes = -397.41; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7733333333333333, win percentage = 0.0, 2024-12-19 05:32:12
Episode no = 1800; won: False; iter_time_steps = 83; Q(s,a) = 33.67845521316341; score = -362.0; mean_score/100_episodes = -414.49; reward = -340.0; mean_reward/100_episodes = -399.58; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.76, win percentage = 0.0, 2024-12-19 05:33:30
Episode no = 1900; won: False; iter_time_steps = 29; Q(s,a) = 41.69850814952193; score = -438.0; mean_score/100_episodes = -401.39; reward = -429.0; mean_reward/100_episodes = -384.99; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7466666666666666, win percentage = 0.0, 2024-12-19 05:34:51
Episode no = 2000; won: False; iter_time_steps = 11; Q(s,a) = 31.704073336633208; score = -440.0; mean_score/100_episodes = -394.86; reward = -433.0; mean_reward/100_episodes = -382.19; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7333333333333334, win percentage = 0.0, 2024-12-19 05:36:04
Episode no = 2100; won: False; iter_time_steps = 83; Q(s,a) = 36.99774643917002; score = -322.0; mean_score/100_episodes = -400.47; reward = -285.0; mean_reward/100_episodes = -385.06; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.72, win percentage = 0.0, 2024-12-19 05:37:13
Episode no = 2200; won: False; iter_time_steps = 20; Q(s,a) = 62.56075620972389; score = -419.0; mean_score/100_episodes = -380.23; reward = -420.0; mean_reward/100_episodes = -367.0; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7066666666666667, win percentage = 0.0, 2024-12-19 05:38:29
Episode no = 2300; won: False; iter_time_steps = 85; Q(s,a) = 52.67033276966389; score = -304.0; mean_score/100_episodes = -360.34; reward = -265.0; mean_reward/100_episodes = -345.47; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6933333333333334, win percentage = 0.0, 2024-12-19 05:39:50
Episode no = 2400; won: False; iter_time_steps = 32; Q(s,a) = 71.95929146491451; score = -401.0; mean_score/100_episodes = -370.96; reward = -388.0; mean_reward/100_episodes = -357.48; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6799999999999999, win percentage = 0.0, 2024-12-19 05:40:59
Episode no = 2500; won: False; iter_time_steps = 52; Q(s,a) = 57.80778439573026; score = -391.0; mean_score/100_episodes = -353.79; reward = -375.0; mean_reward/100_episodes = -338.82; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6666666666666667, win percentage = 0.0, 2024-12-19 05:42:15
Episode no = 2600; won: False; iter_time_steps = 71; Q(s,a) = 76.44197784681558; score = -360.0; mean_score/100_episodes = -355.02; reward = -350.0; mean_reward/100_episodes = -341.05; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6533333333333333, win percentage = 0.0, 2024-12-19 05:43:21
Episode no = 2700; won: False; iter_time_steps = 112; Q(s,a) = 76.10870708718303; score = -81.0; mean_score/100_episodes = -329.35; reward = -186.0; mean_reward/100_episodes = -314.07; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.64, win percentage = 0.0, 2024-12-19 05:44:41
