Episode no = 100; won: False; iter_time_steps = 31; Q(s,a) = nan; score = -490.0; mean_score/100_episodes = -475.03; reward = -486.0; mean_reward/100_episodes = -467.6; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9866666666666667, win percentage = 0.0, 2024-12-21 15:59:19
Episode no = 200; won: False; iter_time_steps = 112; Q(s,a) = -1.4557391137479114; score = -481.0; mean_score/100_episodes = -460.84; reward = -468.0; mean_reward/100_episodes = -451.2; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9733333333333334, win percentage = 0.0, 2024-12-21 16:00:10
Episode no = 300; won: False; iter_time_steps = 35; Q(s,a) = -2.115432700598121; score = -474.0; mean_score/100_episodes = -465.16; reward = -468.0; mean_reward/100_episodes = -454.78; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.96, win percentage = 0.0, 2024-12-21 16:00:55
Episode no = 400; won: False; iter_time_steps = 13; Q(s,a) = nan; score = -472.0; mean_score/100_episodes = -457.99; reward = -468.0; mean_reward/100_episodes = -452.72; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9466666666666667, win percentage = 0.0, 2024-12-21 16:01:45
Episode no = 500; won: False; iter_time_steps = 139; Q(s,a) = -3.225247190259643; score = -368.0; mean_score/100_episodes = -456.04; reward = -352.0; mean_reward/100_episodes = -448.28; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9333333333333333, win percentage = 0.0, 2024-12-21 16:02:33
Episode no = 600; won: False; iter_time_steps = 94; Q(s,a) = -3.7982519126645498; score = -523.0; mean_score/100_episodes = -464.52; reward = -516.0; mean_reward/100_episodes = -456.12; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.92, win percentage = 0.0, 2024-12-21 16:03:21
Episode no = 700; won: False; iter_time_steps = 75; Q(s,a) = -4.110062396783502; score = -434.0; mean_score/100_episodes = -466.31; reward = -420.0; mean_reward/100_episodes = -457.02; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9066666666666666, win percentage = 0.0, 2024-12-21 16:04:15
Episode no = 800; won: False; iter_time_steps = 72; Q(s,a) = -4.669906206168498; score = -491.0; mean_score/100_episodes = -444.77; reward = -483.0; mean_reward/100_episodes = -437.16; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8933333333333333, win percentage = 0.0, 2024-12-21 16:05:02
Episode no = 900; won: False; iter_time_steps = 44; Q(s,a) = 9.117493175759643; score = -443.0; mean_score/100_episodes = -435.72; reward = -433.0; mean_reward/100_episodes = -424.6; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.88, win percentage = 0.0, 2024-12-21 16:05:50
Episode no = 1000; won: False; iter_time_steps = 119; Q(s,a) = 17.92032738415807; score = -298.0; mean_score/100_episodes = -408.46; reward = -266.0; mean_reward/100_episodes = -393.94; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8666666666666667, win percentage = 0.0, 2024-12-21 16:06:41
Episode no = 1100; won: False; iter_time_steps = 100; Q(s,a) = 26.177349783605795; score = -429.0; mean_score/100_episodes = -410.36; reward = -412.0; mean_reward/100_episodes = -401.21; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8533333333333333, win percentage = 0.0, 2024-12-21 16:07:31
Episode no = 1200; won: False; iter_time_steps = 43; Q(s,a) = 33.70372001232496; score = -382.0; mean_score/100_episodes = -419.25; reward = -377.0; mean_reward/100_episodes = -407.31; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.84, win percentage = 0.0, 2024-12-21 16:08:13
Episode no = 1300; won: False; iter_time_steps = 19; Q(s,a) = 42.91779159140795; score = -428.0; mean_score/100_episodes = -402.34; reward = -430.0; mean_reward/100_episodes = -392.52; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8266666666666667, win percentage = 0.0, 2024-12-21 16:08:55
Episode no = 1400; won: False; iter_time_steps = 83; Q(s,a) = 50.47599197145305; score = -282.0; mean_score/100_episodes = -383.36; reward = -252.0; mean_reward/100_episodes = -371.16; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8133333333333334, win percentage = 0.0, 2024-12-21 16:09:47
Episode no = 1500; won: False; iter_time_steps = 117; Q(s,a) = 58.6960511835441; score = 84.0; mean_score/100_episodes = -364.64; reward = -184.0; mean_reward/100_episodes = -353.21; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8, win percentage = 0.0, 2024-12-21 16:10:40
Episode no = 1600; won: False; iter_time_steps = 124; Q(s,a) = 64.27551573949856; score = -223.0; mean_score/100_episodes = -367.83; reward = -183.0; mean_reward/100_episodes = -359.39; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7866666666666666, win percentage = 0.0, 2024-12-21 16:11:32
Episode no = 1700; won: False; iter_time_steps = 67; Q(s,a) = 71.326012599619; score = -426.0; mean_score/100_episodes = -371.39; reward = -412.0; mean_reward/100_episodes = -355.97; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7733333333333333, win percentage = 0.0, 2024-12-21 16:12:24
Episode no = 1800; won: False; iter_time_steps = 44; Q(s,a) = 77.30287065961348; score = -423.0; mean_score/100_episodes = -357.06; reward = -400.0; mean_reward/100_episodes = -339.87; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.76, win percentage = 0.0, 2024-12-21 16:13:17
Episode no = 1900; won: False; iter_time_steps = 51; Q(s,a) = 82.40150801758078; score = -310.0; mean_score/100_episodes = -339.93; reward = -297.0; mean_reward/100_episodes = -331.86; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7466666666666666, win percentage = 0.0, 2024-12-21 16:14:07
