Episode no = 100; won: False; iter_time_steps = 31; Q(s,a) = nan; score = -460.0; mean_score/100_episodes = -469.79; reward = -442.0; mean_reward/100_episodes = -459.86; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9866666666666667, win percentage = 0.0, 2024-12-15 09:30:11
Episode no = 200; won: False; iter_time_steps = 107; Q(s,a) = -1.3963582242590538; score = -436.0; mean_score/100_episodes = -463.64; reward = -419.0; mean_reward/100_episodes = -453.4; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9733333333333334, win percentage = 0.0, 2024-12-15 09:31:16
Episode no = 300; won: False; iter_time_steps = 19; Q(s,a) = nan; score = -488.0; mean_score/100_episodes = -458.68; reward = -485.0; mean_reward/100_episodes = -448.6; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.96, win percentage = 0.0, 2024-12-15 09:32:17
Episode no = 400; won: False; iter_time_steps = 131; Q(s,a) = -2.639898140575529; score = -440.0; mean_score/100_episodes = -462.37; reward = -421.0; mean_reward/100_episodes = -455.82; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9466666666666667, win percentage = 0.0, 2024-12-15 09:33:17
Episode no = 500; won: False; iter_time_steps = 111; Q(s,a) = -3.2213524445429766; score = -460.0; mean_score/100_episodes = -463.53; reward = -445.0; mean_reward/100_episodes = -456.1; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9333333333333333, win percentage = 0.0, 2024-12-15 09:34:26
Episode no = 600; won: False; iter_time_steps = 43; Q(s,a) = -3.493128227965087; score = -492.0; mean_score/100_episodes = -462.52; reward = -487.0; mean_reward/100_episodes = -454.94; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.92, win percentage = 0.0, 2024-12-15 09:35:45
Episode no = 700; won: False; iter_time_steps = 63; Q(s,a) = -4.245213439706285; score = -502.0; mean_score/100_episodes = -461.49; reward = -496.0; mean_reward/100_episodes = -452.61; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9066666666666666, win percentage = 0.0, 2024-12-15 09:36:59
Episode no = 800; won: False; iter_time_steps = 30; Q(s,a) = -4.528444827144163; score = -499.0; mean_score/100_episodes = -454.7; reward = -507.0; mean_reward/100_episodes = -446.53; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8933333333333333, win percentage = 0.0, 2024-12-15 09:38:01
Episode no = 900; won: False; iter_time_steps = 57; Q(s,a) = -4.7794759425728435; score = -466.0; mean_score/100_episodes = -443.24; reward = -468.0; mean_reward/100_episodes = -440.18; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.88, win percentage = 0.0, 2024-12-15 09:39:07
Episode no = 1000; won: False; iter_time_steps = 131; Q(s,a) = -4.984539227876249; score = -430.0; mean_score/100_episodes = -448.01; reward = -410.0; mean_reward/100_episodes = -439.21; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8666666666666667, win percentage = 0.0, 2024-12-15 09:40:14
Episode no = 1100; won: False; iter_time_steps = 26; Q(s,a) = -5.029652357585548; score = -485.0; mean_score/100_episodes = -453.86; reward = -481.0; mean_reward/100_episodes = -445.18; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8533333333333333, win percentage = 0.0, 2024-12-15 09:41:26
