Episode no = 100; won: False; iter_time_steps = 36; Q(s,a) = nan; score = -485.0; mean_score/100_episodes = -459.62; reward = -480.0; mean_reward/100_episodes = -452.98; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9866666666666667, win percentage = 0.0, 2024-12-11 04:12:18
Episode no = 200; won: False; iter_time_steps = 25; Q(s,a) = nan; score = -484.0; mean_score/100_episodes = -466.76; reward = -480.0; mean_reward/100_episodes = -456.56; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9733333333333334, win percentage = 0.0, 2024-12-11 04:13:23
Episode no = 300; won: False; iter_time_steps = 28; Q(s,a) = -2.0848830676115964; score = -467.0; mean_score/100_episodes = -470.34; reward = -450.0; mean_reward/100_episodes = -460.93; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.96, win percentage = 0.0, 2024-12-11 04:14:32
Episode no = 400; won: False; iter_time_steps = 42; Q(s,a) = -2.705718054176959; score = -481.0; mean_score/100_episodes = -464.75; reward = -464.0; mean_reward/100_episodes = -454.97; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9466666666666667, win percentage = 0.0, 2024-12-11 04:15:26
Episode no = 500; won: False; iter_time_steps = 129; Q(s,a) = -3.3305656519579485; score = -428.0; mean_score/100_episodes = -473.65; reward = -419.0; mean_reward/100_episodes = -464.74; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9333333333333333, win percentage = 0.0, 2024-12-11 04:16:25
Episode no = 600; won: False; iter_time_steps = 121; Q(s,a) = -3.9066580848237016; score = -420.0; mean_score/100_episodes = -466.1; reward = -389.0; mean_reward/100_episodes = -455.77; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.92, win percentage = 0.0, 2024-12-11 04:17:31
Episode no = 700; won: False; iter_time_steps = 49; Q(s,a) = -4.368416227754124; score = -508.0; mean_score/100_episodes = -456.53; reward = -504.0; mean_reward/100_episodes = -447.22; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9066666666666666, win percentage = 0.0, 2024-12-11 04:18:27
Episode no = 800; won: False; iter_time_steps = 42; Q(s,a) = -4.491827061373915; score = -371.0; mean_score/100_episodes = -453.77; reward = -354.0; mean_reward/100_episodes = -444.04; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8933333333333333, win percentage = 0.0, 2024-12-11 04:19:33
Episode no = 900; won: False; iter_time_steps = 94; Q(s,a) = -4.311083482925169; score = -433.0; mean_score/100_episodes = -458.21; reward = -417.0; mean_reward/100_episodes = -451.97; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.88, win percentage = 0.0, 2024-12-11 04:20:31
Episode no = 1000; won: False; iter_time_steps = 32; Q(s,a) = -3.170040517653138; score = -501.0; mean_score/100_episodes = -452.53; reward = -498.0; mean_reward/100_episodes = -446.24; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8666666666666667, win percentage = 0.0, 2024-12-11 04:21:26
Episode no = 1100; won: False; iter_time_steps = 41; Q(s,a) = 1.5569631791355159; score = -440.0; mean_score/100_episodes = -459.4; reward = -430.0; mean_reward/100_episodes = -448.7; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8533333333333333, win percentage = 0.0, 2024-12-11 04:22:27
