Episode no = 100; won: False; iter_time_steps = 54; Q(s,a) = -0.5951061409956964; score = -483.0; mean_score/100_episodes = -467.44; reward = -476.0; mean_reward/100_episodes = -461.04; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9866666666666667, win percentage = 0.0, 2024-12-13 03:52:46
Episode no = 200; won: False; iter_time_steps = 111; Q(s,a) = -1.2528189201358413; score = -420.0; mean_score/100_episodes = -468.92; reward = -401.0; mean_reward/100_episodes = -459.79; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9733333333333334, win percentage = 0.0, 2024-12-13 03:53:34
Episode no = 300; won: False; iter_time_steps = 30; Q(s,a) = nan; score = -429.0; mean_score/100_episodes = -460.28; reward = -408.0; mean_reward/100_episodes = -451.06; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.96, win percentage = 0.0, 2024-12-13 03:54:26
Episode no = 400; won: False; iter_time_steps = 112; Q(s,a) = -2.5044284774332923; score = -551.0; mean_score/100_episodes = -474.0; reward = -545.0; mean_reward/100_episodes = -464.24; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9466666666666667, win percentage = 0.0, 2024-12-13 03:55:17
Episode no = 500; won: False; iter_time_steps = 43; Q(s,a) = -3.097957142250959; score = -412.0; mean_score/100_episodes = -454.5; reward = -399.0; mean_reward/100_episodes = -446.29; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9333333333333333, win percentage = 0.0, 2024-12-13 03:56:16
Episode no = 600; won: False; iter_time_steps = 32; Q(s,a) = nan; score = -401.0; mean_score/100_episodes = -451.53; reward = -388.0; mean_reward/100_episodes = -440.28; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.92, win percentage = 0.0, 2024-12-13 03:57:11
Episode no = 700; won: False; iter_time_steps = 37; Q(s,a) = -4.08416987798405; score = -436.0; mean_score/100_episodes = -459.68; reward = -415.0; mean_reward/100_episodes = -451.18; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9066666666666666, win percentage = 0.0, 2024-12-13 03:58:18
Episode no = 800; won: False; iter_time_steps = 17; Q(s,a) = -4.543363059202556; score = -476.0; mean_score/100_episodes = -461.05; reward = -472.0; mean_reward/100_episodes = -451.76; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8933333333333333, win percentage = 0.0, 2024-12-13 03:59:12
Episode no = 900; won: False; iter_time_steps = 37; Q(s,a) = -4.816114370453481; score = -456.0; mean_score/100_episodes = -452.07; reward = -448.0; mean_reward/100_episodes = -440.93; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.88, win percentage = 0.0, 2024-12-13 04:00:05
Episode no = 1000; won: False; iter_time_steps = 138; Q(s,a) = -5.0142665546906935; score = -417.0; mean_score/100_episodes = -448.13; reward = -395.0; mean_reward/100_episodes = -442.85; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8666666666666667, win percentage = 0.0, 2024-12-13 04:00:58
Episode no = 1100; won: False; iter_time_steps = 158; Q(s,a) = -5.118028744387987; score = -477.0; mean_score/100_episodes = -454.18; reward = -459.0; mean_reward/100_episodes = -444.62; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8533333333333333, win percentage = 0.0, 2024-12-13 04:01:58
