Episode no = 100; won: False; iter_time_steps = 43; Q(s,a) = -0.7178900940328191; score = -502.0; mean_score/100_episodes = -460.71; reward = -509.0; mean_reward/100_episodes = -449.93; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9866666666666667, win percentage = 0.0, 2024-12-13 06:31:29
Episode no = 200; won: False; iter_time_steps = 46; Q(s,a) = -1.411175209344375; score = -415.0; mean_score/100_episodes = -467.21; reward = -413.0; mean_reward/100_episodes = -456.58; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9733333333333334, win percentage = 0.0, 2024-12-13 06:32:36
Episode no = 300; won: False; iter_time_steps = 104; Q(s,a) = -2.0662259676742556; score = -453.0; mean_score/100_episodes = -456.86; reward = -438.0; mean_reward/100_episodes = -452.01; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.96, win percentage = 0.0, 2024-12-13 06:33:37
Episode no = 400; won: False; iter_time_steps = 46; Q(s,a) = -2.6932237844609466; score = -445.0; mean_score/100_episodes = -458.42; reward = -435.0; mean_reward/100_episodes = -449.56; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9466666666666667, win percentage = 0.0, 2024-12-13 06:34:31
Episode no = 500; won: False; iter_time_steps = 41; Q(s,a) = -3.2836024061401456; score = -460.0; mean_score/100_episodes = -457.62; reward = -452.0; mean_reward/100_episodes = -448.81; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9333333333333333, win percentage = 0.0, 2024-12-13 06:35:29
Episode no = 600; won: False; iter_time_steps = 19; Q(s,a) = -3.850553190477393; score = -488.0; mean_score/100_episodes = -455.11; reward = -485.0; mean_reward/100_episodes = -445.1; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.92, win percentage = 0.0, 2024-12-13 06:36:33
Episode no = 700; won: False; iter_time_steps = 46; Q(s,a) = -4.377233518616665; score = -425.0; mean_score/100_episodes = -460.5; reward = -424.0; mean_reward/100_episodes = -453.64; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9066666666666666, win percentage = 0.0, 2024-12-13 06:37:35
Episode no = 800; won: False; iter_time_steps = 80; Q(s,a) = -4.883020059934738; score = -459.0; mean_score/100_episodes = -459.22; reward = -447.0; mean_reward/100_episodes = -448.43; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8933333333333333, win percentage = 0.0, 2024-12-13 06:38:34
Episode no = 900; won: False; iter_time_steps = 198; Q(s,a) = -5.339543697046614; score = -197.0; mean_score/100_episodes = -458.35; reward = -327.0; mean_reward/100_episodes = -449.69; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.88, win percentage = 0.0, 2024-12-13 06:39:35
Episode no = 1000; won: False; iter_time_steps = 58; Q(s,a) = -5.808111360162366; score = -397.0; mean_score/100_episodes = -458.36; reward = -370.0; mean_reward/100_episodes = -450.32; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8666666666666667, win percentage = 0.0, 2024-12-13 06:40:34
Episode no = 1100; won: False; iter_time_steps = 40; Q(s,a) = -6.229755706035476; score = -479.0; mean_score/100_episodes = -460.26; reward = -473.0; mean_reward/100_episodes = -449.67; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8533333333333333, win percentage = 0.0, 2024-12-13 06:41:35
Episode no = 1200; won: False; iter_time_steps = 57; Q(s,a) = -6.644059540490349; score = -406.0; mean_score/100_episodes = -449.16; reward = -380.0; mean_reward/100_episodes = -442.54; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.84, win percentage = 0.0, 2024-12-13 06:42:36
Episode no = 1300; won: False; iter_time_steps = 21; Q(s,a) = -7.03858108957235; score = -490.0; mean_score/100_episodes = -436.34; reward = -487.0; mean_reward/100_episodes = -435.95; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8266666666666667, win percentage = 0.0, 2024-12-13 06:43:45
Episode no = 1400; won: False; iter_time_steps = 51; Q(s,a) = -7.429789236787932; score = -490.0; mean_score/100_episodes = -453.64; reward = -484.0; mean_reward/100_episodes = -451.22; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8133333333333334, win percentage = 0.0, 2024-12-13 06:44:45
Episode no = 1500; won: False; iter_time_steps = 52; Q(s,a) = -7.731694040500882; score = -491.0; mean_score/100_episodes = -450.49; reward = -485.0; mean_reward/100_episodes = -443.11; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8, win percentage = 0.0, 2024-12-13 06:45:54
Episode no = 1600; won: False; iter_time_steps = 59; Q(s,a) = -8.138145051509147; score = -478.0; mean_score/100_episodes = -452.7; reward = -470.0; mean_reward/100_episodes = -445.14; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7866666666666666, win percentage = 0.0, 2024-12-13 06:46:49
Episode no = 1700; won: False; iter_time_steps = 121; Q(s,a) = -8.469473313684663; score = -430.0; mean_score/100_episodes = -449.52; reward = -411.0; mean_reward/100_episodes = -443.68; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7733333333333333, win percentage = 0.0, 2024-12-13 06:47:50
Episode no = 1800; won: False; iter_time_steps = 87; Q(s,a) = -8.766504189173286; score = -466.0; mean_score/100_episodes = -446.31; reward = -443.0; mean_reward/100_episodes = -439.76; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.76, win percentage = 0.0, 2024-12-13 06:48:51
Episode no = 1900; won: False; iter_time_steps = 57; Q(s,a) = -9.020313457196188; score = -446.0; mean_score/100_episodes = -443.65; reward = -435.0; mean_reward/100_episodes = -436.81; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7466666666666666, win percentage = 0.0, 2024-12-13 06:49:52
Episode no = 2000; won: False; iter_time_steps = 27; Q(s,a) = -9.360661783935015; score = -476.0; mean_score/100_episodes = -446.05; reward = -471.0; mean_reward/100_episodes = -442.28; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7333333333333334, win percentage = 0.0, 2024-12-13 06:50:53
Episode no = 2100; won: False; iter_time_steps = 64; Q(s,a) = -9.647437932365342; score = -453.0; mean_score/100_episodes = -441.92; reward = -442.0; mean_reward/100_episodes = -439.84; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.72, win percentage = 0.0, 2024-12-13 06:52:06
Episode no = 2200; won: False; iter_time_steps = 71; Q(s,a) = -9.886051480712954; score = -380.0; mean_score/100_episodes = -434.94; reward = -361.0; mean_reward/100_episodes = -434.67; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7066666666666667, win percentage = 0.0, 2024-12-13 06:53:06
