Episode no = 100; won: False; iter_time_steps = 83; Q(s,a) = -0.6650478990967705; score = -412.0; mean_score/100_episodes = -457.19; reward = -395.0; mean_reward/100_episodes = -451.35; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9866666666666667, win percentage = 0.0, 2024-12-15 06:47:47
Episode no = 200; won: False; iter_time_steps = 72; Q(s,a) = -1.375599855312186; score = -511.0; mean_score/100_episodes = -478.72; reward = -505.0; mean_reward/100_episodes = -471.23; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9733333333333334, win percentage = 0.0, 2024-12-15 06:48:43
Episode no = 300; won: False; iter_time_steps = 17; Q(s,a) = -2.053667045841227; score = -426.0; mean_score/100_episodes = -466.69; reward = -428.0; mean_reward/100_episodes = -456.5; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.96, win percentage = 0.0, 2024-12-15 06:49:39
Episode no = 400; won: False; iter_time_steps = 116; Q(s,a) = -2.691727281071996; score = -305.0; mean_score/100_episodes = -461.72; reward = -274.0; mean_reward/100_episodes = -451.66; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9466666666666667, win percentage = 0.0, 2024-12-15 06:50:32
Episode no = 500; won: False; iter_time_steps = 63; Q(s,a) = -3.288868237292543; score = -412.0; mean_score/100_episodes = -464.87; reward = -408.0; mean_reward/100_episodes = -455.99; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9333333333333333, win percentage = 0.0, 2024-12-15 06:51:24
Episode no = 600; won: False; iter_time_steps = 108; Q(s,a) = -3.847559636560412; score = -527.0; mean_score/100_episodes = -455.29; reward = -519.0; mean_reward/100_episodes = -449.74; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.92, win percentage = 0.0, 2024-12-15 06:52:20
Episode no = 700; won: False; iter_time_steps = 53; Q(s,a) = -4.370448198308983; score = -482.0; mean_score/100_episodes = -465.02; reward = -475.0; mean_reward/100_episodes = -456.87; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9066666666666666, win percentage = 0.0, 2024-12-15 06:53:08
Episode no = 800; won: False; iter_time_steps = 143; Q(s,a) = -4.790788026456039; score = -452.0; mean_score/100_episodes = -457.56; reward = -433.0; mean_reward/100_episodes = -447.29; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8933333333333333, win percentage = 0.0, 2024-12-15 06:54:03
Episode no = 900; won: False; iter_time_steps = 18; Q(s,a) = -5.357277378977046; score = -487.0; mean_score/100_episodes = -444.97; reward = -484.0; mean_reward/100_episodes = -443.15; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.88, win percentage = 0.0, 2024-12-15 06:55:00
Episode no = 1000; won: False; iter_time_steps = 104; Q(s,a) = -5.768586896018288; score = -443.0; mean_score/100_episodes = -450.05; reward = -427.0; mean_reward/100_episodes = -446.25; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8666666666666667, win percentage = 0.0, 2024-12-15 06:56:04
Episode no = 1100; won: False; iter_time_steps = 57; Q(s,a) = -6.234736893669119; score = -496.0; mean_score/100_episodes = -461.63; reward = -501.0; mean_reward/100_episodes = -454.44; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8533333333333333, win percentage = 0.0, 2024-12-15 06:57:08
