Episode no = 100; won: False; iter_time_steps = 49; Q(s,a) = -0.6925392998788978; score = -478.0; mean_score/100_episodes = -470.99; reward = -471.0; mean_reward/100_episodes = -461.62; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9866666666666667, win percentage = 0.0, 2024-12-14 11:14:56
Episode no = 200; won: False; iter_time_steps = 64; Q(s,a) = -1.399641588067054; score = -423.0; mean_score/100_episodes = -473.88; reward = -398.0; mean_reward/100_episodes = -465.44; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9733333333333334, win percentage = 0.0, 2024-12-14 11:16:02
Episode no = 300; won: False; iter_time_steps = 44; Q(s,a) = -2.0475726441088806; score = -413.0; mean_score/100_episodes = -457.32; reward = -400.0; mean_reward/100_episodes = -446.14; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.96, win percentage = 0.0, 2024-12-14 11:17:06
Episode no = 400; won: False; iter_time_steps = 43; Q(s,a) = -2.6790488477758747; score = -492.0; mean_score/100_episodes = -459.41; reward = -487.0; mean_reward/100_episodes = -451.16; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9466666666666667, win percentage = 0.0, 2024-12-14 11:18:16
Episode no = 500; won: False; iter_time_steps = 70; Q(s,a) = -3.26308007511821; score = -499.0; mean_score/100_episodes = -460.31; reward = -492.0; mean_reward/100_episodes = -451.63; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9333333333333333, win percentage = 0.0, 2024-12-14 11:19:21
Episode no = 600; won: False; iter_time_steps = 30; Q(s,a) = -3.818901339424239; score = -479.0; mean_score/100_episodes = -452.49; reward = -485.0; mean_reward/100_episodes = -447.6; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.92, win percentage = 0.0, 2024-12-14 11:20:29
Episode no = 700; won: False; iter_time_steps = 56; Q(s,a) = -4.346552486673712; score = -465.0; mean_score/100_episodes = -460.77; reward = -456.0; mean_reward/100_episodes = -451.84; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9066666666666666, win percentage = 0.0, 2024-12-14 11:21:40
Episode no = 800; won: False; iter_time_steps = 29; Q(s,a) = -4.852006652112841; score = -478.0; mean_score/100_episodes = -460.61; reward = -484.0; mean_reward/100_episodes = -451.81; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8933333333333333, win percentage = 0.0, 2024-12-14 11:22:49
Episode no = 900; won: False; iter_time_steps = 56; Q(s,a) = -5.327589128997752; score = -445.0; mean_score/100_episodes = -463.94; reward = -434.0; mean_reward/100_episodes = -455.4; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.88, win percentage = 0.0, 2024-12-14 11:23:46
Episode no = 1000; won: False; iter_time_steps = 35; Q(s,a) = -5.77441268350056; score = -484.0; mean_score/100_episodes = -449.76; reward = -479.0; mean_reward/100_episodes = -440.48; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8666666666666667, win percentage = 0.0, 2024-12-14 11:24:47
Episode no = 1100; won: False; iter_time_steps = 69; Q(s,a) = -6.188879900697408; score = -448.0; mean_score/100_episodes = -444.55; reward = -425.0; mean_reward/100_episodes = -439.75; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8533333333333333, win percentage = 0.0, 2024-12-14 11:26:07
