Episode no = 100; won: False; iter_time_steps = 51; Q(s,a) = nan; score = -430.0; mean_score/100_episodes = -464.94; reward = -418.0; mean_reward/100_episodes = -457.44; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9866666666666667, win percentage = 0.0, 2024-12-16 06:29:21
Episode no = 200; won: False; iter_time_steps = 90; Q(s,a) = -1.403551797089171; score = -399.0; mean_score/100_episodes = -464.69; reward = -380.0; mean_reward/100_episodes = -457.98; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9733333333333334, win percentage = 0.0, 2024-12-16 06:30:06
Episode no = 300; won: False; iter_time_steps = 43; Q(s,a) = -1.979135824812557; score = -462.0; mean_score/100_episodes = -453.77; reward = -454.0; mean_reward/100_episodes = -449.51; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.96, win percentage = 0.0, 2024-12-16 06:30:54
Episode no = 400; won: False; iter_time_steps = 90; Q(s,a) = -2.7208035994598636; score = -379.0; mean_score/100_episodes = -463.99; reward = -358.0; mean_reward/100_episodes = -454.06; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9466666666666667, win percentage = 0.0, 2024-12-16 06:31:46
Episode no = 500; won: False; iter_time_steps = 94; Q(s,a) = -3.3437044700540146; score = -363.0; mean_score/100_episodes = -465.45; reward = -340.0; mean_reward/100_episodes = -457.28; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9333333333333333, win percentage = 0.0, 2024-12-16 06:32:39
Episode no = 600; won: False; iter_time_steps = 72; Q(s,a) = -3.2571854780784886; score = -511.0; mean_score/100_episodes = -454.56; reward = -505.0; mean_reward/100_episodes = -445.47; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.92, win percentage = 0.0, 2024-12-16 06:33:50
Episode no = 700; won: False; iter_time_steps = 49; Q(s,a) = 8.44186988790645; score = -388.0; mean_score/100_episodes = -453.78; reward = -383.0; mean_reward/100_episodes = -441.95; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9066666666666666, win percentage = 0.0, 2024-12-16 06:34:52
Episode no = 800; won: False; iter_time_steps = 37; Q(s,a) = -4.716658603550213; score = -456.0; mean_score/100_episodes = -454.4; reward = -448.0; mean_reward/100_episodes = -445.2; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8933333333333333, win percentage = 0.0, 2024-12-16 06:35:49
Episode no = 900; won: False; iter_time_steps = 38; Q(s,a) = -3.6051462262830323; score = -437.0; mean_score/100_episodes = -456.76; reward = -427.0; mean_reward/100_episodes = -446.87; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.88, win percentage = 0.0, 2024-12-16 06:36:36
Episode no = 1000; won: False; iter_time_steps = 68; Q(s,a) = 10.796152110277701; score = -517.0; mean_score/100_episodes = -457.6; reward = -512.0; mean_reward/100_episodes = -447.59; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8666666666666667, win percentage = 0.0, 2024-12-16 06:37:26
Episode no = 1100; won: False; iter_time_steps = 25; Q(s,a) = 10.99307208949779; score = -474.0; mean_score/100_episodes = -447.88; reward = -469.0; mean_reward/100_episodes = -439.49; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8533333333333333, win percentage = 0.0, 2024-12-16 06:38:19
Episode no = 1200; won: False; iter_time_steps = 45; Q(s,a) = 23.283770803699067; score = -444.0; mean_score/100_episodes = -439.22; reward = -434.0; mean_reward/100_episodes = -427.38; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.84, win percentage = 0.0, 2024-12-16 06:39:11
Episode no = 1300; won: False; iter_time_steps = 35; Q(s,a) = 32.00046523984727; score = -454.0; mean_score/100_episodes = -426.77; reward = -457.0; mean_reward/100_episodes = -415.47; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8266666666666667, win percentage = 0.0, 2024-12-16 06:40:11
