Episode no = 100; won: False; iter_time_steps = 48; Q(s,a) = -0.6882369746832011; score = -487.0; mean_score/100_episodes = -475.08; reward = -470.0; mean_reward/100_episodes = -465.85; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9866666666666667, win percentage = 0.0, 2024-12-16 06:24:49
Episode no = 200; won: False; iter_time_steps = 40; Q(s,a) = -1.3780884774666171; score = -499.0; mean_score/100_episodes = -461.2; reward = -495.0; mean_reward/100_episodes = -453.78; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9733333333333334, win percentage = 0.0, 2024-12-16 06:26:00
Episode no = 300; won: False; iter_time_steps = 48; Q(s,a) = -2.013917766167497; score = -397.0; mean_score/100_episodes = -462.22; reward = -382.0; mean_reward/100_episodes = -452.16; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.96, win percentage = 0.0, 2024-12-16 06:27:13
Episode no = 400; won: False; iter_time_steps = 83; Q(s,a) = nan; score = -472.0; mean_score/100_episodes = -463.58; reward = -461.0; mean_reward/100_episodes = -453.37; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9466666666666667, win percentage = 0.0, 2024-12-16 06:28:24
Episode no = 500; won: False; iter_time_steps = 31; Q(s,a) = -3.354901647618722; score = -500.0; mean_score/100_episodes = -450.49; reward = -497.0; mean_reward/100_episodes = -441.49; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9333333333333333, win percentage = 0.0, 2024-12-16 06:29:51
Episode no = 600; won: False; iter_time_steps = 34; Q(s,a) = 4.631712242014585; score = -493.0; mean_score/100_episodes = -453.56; reward = -489.0; mean_reward/100_episodes = -444.58; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.92, win percentage = 0.0, 2024-12-16 06:31:09
Episode no = 700; won: False; iter_time_steps = 60; Q(s,a) = 6.817262281853738; score = -489.0; mean_score/100_episodes = -448.93; reward = -482.0; mean_reward/100_episodes = -442.59; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9066666666666666, win percentage = 0.0, 2024-12-16 06:32:33
Episode no = 800; won: False; iter_time_steps = 29; Q(s,a) = 4.145287371706864; score = -408.0; mean_score/100_episodes = -450.2; reward = -396.0; mean_reward/100_episodes = -440.32; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8933333333333333, win percentage = 0.0, 2024-12-16 06:34:02
Episode no = 900; won: False; iter_time_steps = 58; Q(s,a) = 18.800285243273187; score = -467.0; mean_score/100_episodes = -438.87; reward = -458.0; mean_reward/100_episodes = -427.64; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.88, win percentage = 0.0, 2024-12-16 06:35:28
Episode no = 1000; won: False; iter_time_steps = 154; Q(s,a) = -2.9796880052772154; score = -413.0; mean_score/100_episodes = -445.98; reward = -389.0; mean_reward/100_episodes = -436.25; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8666666666666667, win percentage = 0.0, 2024-12-16 06:36:51
Episode no = 1100; won: False; iter_time_steps = 109; Q(s,a) = 23.35603228680931; score = -548.0; mean_score/100_episodes = -447.31; reward = -542.0; mean_reward/100_episodes = -435.47; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8533333333333333, win percentage = 0.0, 2024-12-16 06:38:07
Episode no = 1200; won: False; iter_time_steps = 46; Q(s,a) = 13.100799342727054; score = -405.0; mean_score/100_episodes = -437.17; reward = -380.0; mean_reward/100_episodes = -426.29; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.84, win percentage = 0.0, 2024-12-16 06:39:35
Episode no = 1300; won: False; iter_time_steps = 50; Q(s,a) = 5.844500019443489; score = -369.0; mean_score/100_episodes = -441.72; reward = -351.0; mean_reward/100_episodes = -431.38; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8266666666666667, win percentage = 0.0, 2024-12-16 06:40:46
