Episode no = 100; won: False; iter_time_steps = 119; Q(s,a) = -0.7017210800073524; score = -528.0; mean_score/100_episodes = -463.66; reward = -519.0; mean_reward/100_episodes = -453.57; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9866666666666667, win percentage = 0.0, 2024-12-16 11:24:14
Episode no = 200; won: False; iter_time_steps = 74; Q(s,a) = -1.4096578405678684; score = -513.0; mean_score/100_episodes = -473.17; reward = -507.0; mean_reward/100_episodes = -464.33; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9733333333333334, win percentage = 0.0, 2024-12-16 11:25:01
Episode no = 300; won: False; iter_time_steps = 290; Q(s,a) = -2.0721676212671545; score = 1.0; mean_score/100_episodes = -458.17; reward = -258.0; mean_reward/100_episodes = -450.78; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.96, win percentage = 0.0, 2024-12-16 11:25:51
Episode no = 400; won: False; iter_time_steps = 71; Q(s,a) = nan; score = -450.0; mean_score/100_episodes = -465.76; reward = -438.0; mean_reward/100_episodes = -459.03; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9466666666666667, win percentage = 0.0, 2024-12-16 11:26:42
Episode no = 500; won: False; iter_time_steps = 233; Q(s,a) = -3.288892053437687; score = -402.0; mean_score/100_episodes = -459.35; reward = -369.0; mean_reward/100_episodes = -449.56; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9333333333333333, win percentage = 0.0, 2024-12-16 11:27:44
Episode no = 600; won: False; iter_time_steps = 34; Q(s,a) = -3.583366984716847; score = -473.0; mean_score/100_episodes = -462.79; reward = -467.0; mean_reward/100_episodes = -456.06; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.92, win percentage = 0.0, 2024-12-16 11:28:40
Episode no = 700; won: False; iter_time_steps = 55; Q(s,a) = -3.4902524014328273; score = -434.0; mean_score/100_episodes = -457.39; reward = -422.0; mean_reward/100_episodes = -451.2; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9066666666666666, win percentage = 0.0, 2024-12-16 11:29:29
Episode no = 800; won: False; iter_time_steps = 109; Q(s,a) = -3.820372368816946; score = -438.0; mean_score/100_episodes = -458.05; reward = -421.0; mean_reward/100_episodes = -451.34; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8933333333333333, win percentage = 0.0, 2024-12-16 11:30:31
Episode no = 900; won: False; iter_time_steps = 122; Q(s,a) = -4.288659791092476; score = -181.0; mean_score/100_episodes = -460.21; reward = -317.0; mean_reward/100_episodes = -450.37; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.88, win percentage = 0.0, 2024-12-16 11:31:34
Episode no = 1000; won: False; iter_time_steps = 80; Q(s,a) = -0.5139697311056639; score = -449.0; mean_score/100_episodes = -448.12; reward = -436.0; mean_reward/100_episodes = -436.39; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8666666666666667, win percentage = 0.0, 2024-12-16 11:32:31
Episode no = 1100; won: False; iter_time_steps = 70; Q(s,a) = 7.886692387936051; score = -429.0; mean_score/100_episodes = -456.26; reward = -415.0; mean_reward/100_episodes = -446.46; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8533333333333333, win percentage = 0.0, 2024-12-16 11:33:33
Episode no = 1200; won: False; iter_time_steps = 17; Q(s,a) = 32.147272805912365; score = -476.0; mean_score/100_episodes = -448.2; reward = -472.0; mean_reward/100_episodes = -436.76; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.84, win percentage = 0.0, 2024-12-16 11:34:33
Episode no = 1300; won: False; iter_time_steps = 36; Q(s,a) = 2.07281665086991; score = -465.0; mean_score/100_episodes = -441.25; reward = -458.0; mean_reward/100_episodes = -432.73; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8266666666666667, win percentage = 0.0, 2024-12-16 11:35:28
Episode no = 1400; won: False; iter_time_steps = 84; Q(s,a) = 12.719903222740346; score = -433.0; mean_score/100_episodes = -426.86; reward = -418.0; mean_reward/100_episodes = -415.79; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8133333333333334, win percentage = 0.0, 2024-12-16 11:36:30
Episode no = 1500; won: False; iter_time_steps = 72; Q(s,a) = 27.277943670292533; score = -421.0; mean_score/100_episodes = -426.93; reward = -406.0; mean_reward/100_episodes = -413.82; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8, win percentage = 0.0, 2024-12-16 11:37:22
Episode no = 1600; won: False; iter_time_steps = 47; Q(s,a) = 11.360181947989222; score = -416.0; mean_score/100_episodes = -412.57; reward = -403.0; mean_reward/100_episodes = -398.75; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7866666666666666, win percentage = 0.0, 2024-12-16 11:38:22
Episode no = 1700; won: False; iter_time_steps = 37; Q(s,a) = 21.04444967519278; score = -476.0; mean_score/100_episodes = -414.09; reward = -470.0; mean_reward/100_episodes = -400.52; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7733333333333333, win percentage = 0.0, 2024-12-16 11:39:20
Episode no = 1800; won: False; iter_time_steps = 94; Q(s,a) = 39.28653654186021; score = -363.0; mean_score/100_episodes = -402.24; reward = -340.0; mean_reward/100_episodes = -386.49; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.76, win percentage = 0.0, 2024-12-16 11:40:18
Episode no = 1900; won: False; iter_time_steps = 45; Q(s,a) = 32.75658024754472; score = -414.0; mean_score/100_episodes = -392.25; reward = -390.0; mean_reward/100_episodes = -375.8; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7466666666666666, win percentage = 0.0, 2024-12-16 11:41:14
Episode no = 2000; won: False; iter_time_steps = 56; Q(s,a) = 41.10409369526094; score = -385.0; mean_score/100_episodes = -371.51; reward = -357.0; mean_reward/100_episodes = -355.98; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7333333333333334, win percentage = 0.0, 2024-12-16 11:42:16
Episode no = 2100; won: False; iter_time_steps = 28; Q(s,a) = 53.320837555644076; score = -407.0; mean_score/100_episodes = -379.23; reward = -395.0; mean_reward/100_episodes = -368.29; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.72, win percentage = 0.0, 2024-12-16 11:43:07
Episode no = 2200; won: False; iter_time_steps = 48; Q(s,a) = 53.431960257286214; score = -387.0; mean_score/100_episodes = -366.83; reward = -360.0; mean_reward/100_episodes = -349.26; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7066666666666667, win percentage = 0.0, 2024-12-16 11:44:01
Episode no = 2300; won: False; iter_time_steps = 168; Q(s,a) = 62.291283914588234; score = -257.0; mean_score/100_episodes = -347.32; reward = -216.0; mean_reward/100_episodes = -328.97; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6933333333333334, win percentage = 0.0, 2024-12-16 11:45:08
Episode no = 2400; won: False; iter_time_steps = 65; Q(s,a) = 71.95405273952358; score = -364.0; mean_score/100_episodes = -336.66; reward = -333.0; mean_reward/100_episodes = -318.83; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6799999999999999, win percentage = 0.0, 2024-12-16 11:46:08
Episode no = 2500; won: False; iter_time_steps = 18; Q(s,a) = 75.00175273959798; score = -457.0; mean_score/100_episodes = -347.6; reward = -451.0; mean_reward/100_episodes = -328.8; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6666666666666667, win percentage = 0.0, 2024-12-16 11:47:04
Episode no = 2600; won: False; iter_time_steps = 30; Q(s,a) = 77.29416999753454; score = -419.0; mean_score/100_episodes = -338.01; reward = -397.0; mean_reward/100_episodes = -320.76; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6533333333333333, win percentage = 0.0, 2024-12-16 11:48:02
Episode no = 2700; won: False; iter_time_steps = 38; Q(s,a) = 85.6162110470218; score = -357.0; mean_score/100_episodes = -347.31; reward = -339.0; mean_reward/100_episodes = -327.34; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.64, win percentage = 0.0, 2024-12-16 11:48:51
Episode no = 2800; won: False; iter_time_steps = 126; Q(s,a) = 89.69389529286312; score = -185.0; mean_score/100_episodes = -318.01; reward = -141.0; mean_reward/100_episodes = -302.51; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6266666666666667, win percentage = 0.0, 2024-12-16 11:49:47
Episode no = 2900; won: False; iter_time_steps = 103; Q(s,a) = 86.13255885721168; score = -172.0; mean_score/100_episodes = -326.51; reward = -129.0; mean_reward/100_episodes = -308.34; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6133333333333333, win percentage = 0.0, 2024-12-16 11:50:41
Episode no = 3000; won: False; iter_time_steps = 25; Q(s,a) = 95.6036956398501; score = -434.0; mean_score/100_episodes = -332.74; reward = -436.0; mean_reward/100_episodes = -314.5; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.6, win percentage = 0.0, 2024-12-16 11:51:32
Episode no = 3100; won: False; iter_time_steps = 76; Q(s,a) = 95.57608163392585; score = -205.0; mean_score/100_episodes = -310.98; reward = -168.0; mean_reward/100_episodes = -286.26; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5866666666666667, win percentage = 0.0, 2024-12-16 11:52:27
Episode no = 3200; won: False; iter_time_steps = 58; Q(s,a) = 105.17598915281735; score = -337.0; mean_score/100_episodes = -311.26; reward = -315.0; mean_reward/100_episodes = -290.74; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5733333333333333, win percentage = 0.0, 2024-12-16 11:53:21
Episode no = 3300; won: False; iter_time_steps = 33; Q(s,a) = 104.09164806696033; score = -322.0; mean_score/100_episodes = -296.03; reward = -301.0; mean_reward/100_episodes = -273.67; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.56, win percentage = 0.0, 2024-12-16 11:54:20
Episode no = 3400; won: False; iter_time_steps = 28; Q(s,a) = 113.2558698890744; score = -377.0; mean_score/100_episodes = -290.77; reward = -362.0; mean_reward/100_episodes = -266.24; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5466666666666666, win percentage = 0.0, 2024-12-16 11:55:14
Episode no = 3500; won: False; iter_time_steps = 99; Q(s,a) = 112.2445192357625; score = -128.0; mean_score/100_episodes = -284.53; reward = -81.0; mean_reward/100_episodes = -257.08; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.5333333333333333, win percentage = 0.0, 2024-12-16 11:56:15
Episode no = 3600; won: False; iter_time_steps = 18; Q(s,a) = 118.17582872209867; score = -417.0; mean_score/100_episodes = -279.9; reward = -407.0; mean_reward/100_episodes = -256.27; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.52, win percentage = 0.0, 2024-12-16 11:57:11
