Episode no = 100; won: False; iter_time_steps = 80; Q(s,a) = -0.17040040806941745; score = -449.0; mean_score/100_episodes = -466.43; reward = -425.0; mean_reward/100_episodes = -456.46; and epsilon = 0.9866666666666667, win percentage = 0.0, 2024-11-22 08:59:00
Episode no = 200; won: False; iter_time_steps = 48; Q(s,a) = 7.686785813512238; score = -477.0; mean_score/100_episodes = -455.5; reward = -481.0; mean_reward/100_episodes = -448.19; and epsilon = 0.9733333333333334, win percentage = 0.0, 2024-11-22 08:59:25
Episode no = 300; won: False; iter_time_steps = 114; Q(s,a) = 6.126866108037738; score = -503.0; mean_score/100_episodes = -448.14; reward = -492.0; mean_reward/100_episodes = -440.35; and epsilon = 0.96, win percentage = 0.0, 2024-11-22 08:59:55
Episode no = 400; won: False; iter_time_steps = 23; Q(s,a) = 27.990645420655703; score = -492.0; mean_score/100_episodes = -451.56; reward = -489.0; mean_reward/100_episodes = -441.67; and epsilon = 0.9466666666666667, win percentage = 0.0, 2024-11-22 09:00:25
Episode no = 500; won: False; iter_time_steps = 75; Q(s,a) = 36.362263086306434; score = -504.0; mean_score/100_episodes = -432.64; reward = -497.0; mean_reward/100_episodes = -426.56; and epsilon = 0.9333333333333333, win percentage = 0.0, 2024-11-22 09:00:57
Episode no = 600; won: False; iter_time_steps = 24; Q(s,a) = 42.67923441768966; score = -423.0; mean_score/100_episodes = -436.01; reward = -424.0; mean_reward/100_episodes = -422.88; and epsilon = 0.92, win percentage = 0.0, 2024-11-22 09:01:25
Episode no = 700; won: False; iter_time_steps = 29; Q(s,a) = 29.28338222205949; score = -478.0; mean_score/100_episodes = -429.61; reward = -473.0; mean_reward/100_episodes = -422.57; and epsilon = 0.9066666666666666, win percentage = 0.0, 2024-11-22 09:01:57
Episode no = 800; won: False; iter_time_steps = 31; Q(s,a) = 58.316964595477934; score = -460.0; mean_score/100_episodes = -432.19; reward = -453.0; mean_reward/100_episodes = -419.5; and epsilon = 0.8933333333333333, win percentage = 0.0, 2024-11-22 09:02:25
Episode no = 900; won: False; iter_time_steps = 25; Q(s,a) = 60.61176240279428; score = -464.0; mean_score/100_episodes = -415.58; reward = -458.0; mean_reward/100_episodes = -403.0; and epsilon = 0.88, win percentage = 0.0, 2024-11-22 09:02:54
Episode no = 1000; won: False; iter_time_steps = 103; Q(s,a) = 69.1299845657266; score = -432.0; mean_score/100_episodes = -399.73; reward = -415.0; mean_reward/100_episodes = -384.51; and epsilon = 0.8666666666666667, win percentage = 0.0, 2024-11-22 09:03:30
Episode no = 1100; won: False; iter_time_steps = 59; Q(s,a) = 78.48684050495658; score = -448.0; mean_score/100_episodes = -407.77; reward = -437.0; mean_reward/100_episodes = -396.41; and epsilon = 0.8533333333333333, win percentage = 0.0, 2024-11-22 09:04:01
Episode no = 1200; won: False; iter_time_steps = 73; Q(s,a) = 84.34163869985821; score = -292.0; mean_score/100_episodes = -392.05; reward = -264.0; mean_reward/100_episodes = -384.24; and epsilon = 0.84, win percentage = 0.0, 2024-11-22 09:04:32
Episode no = 1300; won: False; iter_time_steps = 78; Q(s,a) = 89.20965011688773; score = -427.0; mean_score/100_episodes = -401.28; reward = -412.0; mean_reward/100_episodes = -386.99; and epsilon = 0.8266666666666667, win percentage = 0.0, 2024-11-22 09:05:06
Episode no = 1400; won: False; iter_time_steps = 32; Q(s,a) = 95.26414836050033; score = -391.0; mean_score/100_episodes = -381.29; reward = -377.0; mean_reward/100_episodes = -370.24; and epsilon = 0.8133333333333334, win percentage = 0.0, 2024-11-22 09:05:38
Episode no = 1500; won: False; iter_time_steps = 74; Q(s,a) = 108.80441080445397; score = -313.0; mean_score/100_episodes = -389.86; reward = -287.0; mean_reward/100_episodes = -373.49; and epsilon = 0.8, win percentage = 0.0, 2024-11-22 09:06:07
