Episode no = 100; won: False; iter_time_steps = 10; Q(s,a) = nan; score = -509.0; mean_score/100_episodes = -509.96; reward = -509.0; mean_reward/100_episodes = -510.04; and epsilon = 0.9866666666666667, win percentage = 0.0, 2024-11-22 03:51:45
Episode no = 200; won: False; iter_time_steps = 7; Q(s,a) = nan; score = -506.0; mean_score/100_episodes = -510.53; reward = -506.0; mean_reward/100_episodes = -510.52; and epsilon = 0.9733333333333334, win percentage = 0.0, 2024-11-22 03:51:52
Episode no = 300; won: False; iter_time_steps = 18; Q(s,a) = nan; score = -517.0; mean_score/100_episodes = -509.54; reward = -517.0; mean_reward/100_episodes = -509.38; and epsilon = 0.96, win percentage = 0.0, 2024-11-22 03:51:58
Episode no = 400; won: False; iter_time_steps = 13; Q(s,a) = -0.8475602005034318; score = -512.0; mean_score/100_episodes = -509.25; reward = -512.0; mean_reward/100_episodes = -509.2; and epsilon = 0.9466666666666667, win percentage = 0.0, 2024-11-22 03:52:04
Episode no = 500; won: False; iter_time_steps = 18; Q(s,a) = -1.081004503627661; score = -517.0; mean_score/100_episodes = -509.71; reward = -517.0; mean_reward/100_episodes = -509.42; and epsilon = 0.9333333333333333, win percentage = 0.0, 2024-11-22 03:52:10
Episode no = 600; won: False; iter_time_steps = 12; Q(s,a) = -2.2101705714906865; score = -511.0; mean_score/100_episodes = -509.85; reward = -511.0; mean_reward/100_episodes = -509.47; and epsilon = 0.92, win percentage = 0.0, 2024-11-22 03:52:16
Episode no = 700; won: False; iter_time_steps = 10; Q(s,a) = -2.8401755272322617; score = -509.0; mean_score/100_episodes = -509.71; reward = -509.0; mean_reward/100_episodes = -509.77; and epsilon = 0.9066666666666666, win percentage = 0.0, 2024-11-22 03:52:23
Episode no = 800; won: False; iter_time_steps = 14; Q(s,a) = -3.991562333539659; score = -503.0; mean_score/100_episodes = -510.03; reward = -491.0; mean_reward/100_episodes = -509.76; and epsilon = 0.8933333333333333, win percentage = 0.0, 2024-11-22 03:52:29
Episode no = 900; won: False; iter_time_steps = 5; Q(s,a) = -4.728768045161137; score = -504.0; mean_score/100_episodes = -509.44; reward = -504.0; mean_reward/100_episodes = -509.47; and epsilon = 0.88, win percentage = 0.0, 2024-11-22 03:52:35
Episode no = 1000; won: False; iter_time_steps = 10; Q(s,a) = -5.593266063186685; score = -509.0; mean_score/100_episodes = -509.19; reward = -509.0; mean_reward/100_episodes = -509.16; and epsilon = 0.8666666666666667, win percentage = 0.0, 2024-11-22 03:52:41
Episode no = 1100; won: False; iter_time_steps = 11; Q(s,a) = -6.348431076119885; score = -510.0; mean_score/100_episodes = -510.37; reward = -510.0; mean_reward/100_episodes = -510.34; and epsilon = 0.8533333333333333, win percentage = 0.0, 2024-11-22 03:52:47
Episode no = 1200; won: False; iter_time_steps = 16; Q(s,a) = -7.057501521074691; score = -515.0; mean_score/100_episodes = -509.51; reward = -515.0; mean_reward/100_episodes = -509.49; and epsilon = 0.84, win percentage = 0.0, 2024-11-22 03:52:53
Episode no = 1300; won: False; iter_time_steps = 8; Q(s,a) = -7.7720283240510035; score = -507.0; mean_score/100_episodes = -509.09; reward = -507.0; mean_reward/100_episodes = -509.24; and epsilon = 0.8266666666666667, win percentage = 0.0, 2024-11-22 03:52:59
Episode no = 1400; won: False; iter_time_steps = 7; Q(s,a) = -8.377047556627478; score = -506.0; mean_score/100_episodes = -509.23; reward = -506.0; mean_reward/100_episodes = -509.26; and epsilon = 0.8133333333333334, win percentage = 0.0, 2024-11-22 03:53:05
Episode no = 1500; won: False; iter_time_steps = 5; Q(s,a) = -9.111454877197339; score = -504.0; mean_score/100_episodes = -509.96; reward = -504.0; mean_reward/100_episodes = -509.91; and epsilon = 0.8, win percentage = 0.0, 2024-11-22 03:53:11
Episode no = 1600; won: False; iter_time_steps = 12; Q(s,a) = -9.67886480480795; score = -511.0; mean_score/100_episodes = -509.33; reward = -511.0; mean_reward/100_episodes = -509.28; and epsilon = 0.7866666666666666, win percentage = 0.0, 2024-11-22 03:53:17
