Episode no = 100; won: False; iter_time_steps = 8; Q(s,a) = nan; score = -507.0; mean_score/100_episodes = -509.19; reward = -507.0; mean_reward/100_episodes = -509.06; and epsilon = 0.9866666666666667, win percentage = 0.0, 2024-11-22 08:51:45
Episode no = 200; won: False; iter_time_steps = 11; Q(s,a) = -0.3476219739048578; score = -510.0; mean_score/100_episodes = -510.24; reward = -510.0; mean_reward/100_episodes = -510.24; and epsilon = 0.9733333333333334, win percentage = 0.0, 2024-11-22 08:51:53
Episode no = 300; won: False; iter_time_steps = 21; Q(s,a) = nan; score = -520.0; mean_score/100_episodes = -509.51; reward = -520.0; mean_reward/100_episodes = -509.36; and epsilon = 0.96, win percentage = 0.0, 2024-11-22 08:52:00
Episode no = 400; won: False; iter_time_steps = 18; Q(s,a) = -0.7946003290640209; score = -517.0; mean_score/100_episodes = -509.14; reward = -517.0; mean_reward/100_episodes = -509.11; and epsilon = 0.9466666666666667, win percentage = 0.0, 2024-11-22 08:52:06
Episode no = 500; won: False; iter_time_steps = 13; Q(s,a) = -1.1987962839295019; score = -512.0; mean_score/100_episodes = -510.27; reward = -512.0; mean_reward/100_episodes = -510.1; and epsilon = 0.9333333333333333, win percentage = 0.0, 2024-11-22 08:52:12
Episode no = 600; won: False; iter_time_steps = 11; Q(s,a) = nan; score = -510.0; mean_score/100_episodes = -509.61; reward = -510.0; mean_reward/100_episodes = -509.2; and epsilon = 0.92, win percentage = 0.0, 2024-11-22 08:52:19
Episode no = 700; won: False; iter_time_steps = 6; Q(s,a) = nan; score = -505.0; mean_score/100_episodes = -509.57; reward = -505.0; mean_reward/100_episodes = -509.4; and epsilon = 0.9066666666666666, win percentage = 0.0, 2024-11-22 08:52:25
Episode no = 800; won: False; iter_time_steps = 10; Q(s,a) = -4.010207218987173; score = -509.0; mean_score/100_episodes = -509.59; reward = -509.0; mean_reward/100_episodes = -509.76; and epsilon = 0.8933333333333333, win percentage = 0.0, 2024-11-22 08:52:32
Episode no = 900; won: False; iter_time_steps = 20; Q(s,a) = -4.82557571274452; score = -519.0; mean_score/100_episodes = -510.23; reward = -519.0; mean_reward/100_episodes = -510.08; and epsilon = 0.88, win percentage = 0.0, 2024-11-22 08:52:38
Episode no = 1000; won: False; iter_time_steps = 11; Q(s,a) = -5.6917025144826985; score = -510.0; mean_score/100_episodes = -509.76; reward = -510.0; mean_reward/100_episodes = -509.93; and epsilon = 0.8666666666666667, win percentage = 0.0, 2024-11-22 08:52:45
Episode no = 1100; won: False; iter_time_steps = 17; Q(s,a) = -6.391044014088799; score = -516.0; mean_score/100_episodes = -509.74; reward = -516.0; mean_reward/100_episodes = -509.56; and epsilon = 0.8533333333333333, win percentage = 0.0, 2024-11-22 08:52:51
Episode no = 1200; won: False; iter_time_steps = 7; Q(s,a) = -7.098496905526823; score = -506.0; mean_score/100_episodes = -509.83; reward = -506.0; mean_reward/100_episodes = -509.78; and epsilon = 0.84, win percentage = 0.0, 2024-11-22 08:52:58
Episode no = 1300; won: False; iter_time_steps = 6; Q(s,a) = -7.820129493827464; score = -505.0; mean_score/100_episodes = -509.2; reward = -505.0; mean_reward/100_episodes = -509.29; and epsilon = 0.8266666666666667, win percentage = 0.0, 2024-11-22 08:53:04
Episode no = 1400; won: False; iter_time_steps = 13; Q(s,a) = -8.481824468491109; score = -512.0; mean_score/100_episodes = -510.62; reward = -512.0; mean_reward/100_episodes = -510.56; and epsilon = 0.8133333333333334, win percentage = 0.0, 2024-11-22 08:53:11
Episode no = 1500; won: False; iter_time_steps = 18; Q(s,a) = -9.106211738024184; score = -517.0; mean_score/100_episodes = -509.95; reward = -517.0; mean_reward/100_episodes = -509.93; and epsilon = 0.8, win percentage = 0.0, 2024-11-22 08:53:18
Episode no = 1600; won: False; iter_time_steps = 19; Q(s,a) = -9.733964705411648; score = -518.0; mean_score/100_episodes = -509.43; reward = -518.0; mean_reward/100_episodes = -509.41; and epsilon = 0.7866666666666666, win percentage = 0.0, 2024-11-22 08:53:24
Episode no = 1700; won: False; iter_time_steps = 10; Q(s,a) = -10.39032744328837; score = -509.0; mean_score/100_episodes = -509.46; reward = -509.0; mean_reward/100_episodes = -509.32; and epsilon = 0.7733333333333333, win percentage = 0.0, 2024-11-22 08:53:30
Episode no = 1800; won: False; iter_time_steps = 15; Q(s,a) = -10.755177231415548; score = -514.0; mean_score/100_episodes = -509.95; reward = -514.0; mean_reward/100_episodes = -509.92; and epsilon = 0.76, win percentage = 0.0, 2024-11-22 08:53:37
Episode no = 1900; won: False; iter_time_steps = 19; Q(s,a) = -11.370775116368845; score = -518.0; mean_score/100_episodes = -509.87; reward = -518.0; mean_reward/100_episodes = -509.68; and epsilon = 0.7466666666666666, win percentage = 0.0, 2024-11-22 08:53:44
Episode no = 2000; won: False; iter_time_steps = 11; Q(s,a) = -11.88463671813254; score = -510.0; mean_score/100_episodes = -509.62; reward = -510.0; mean_reward/100_episodes = -509.49; and epsilon = 0.7333333333333334, win percentage = 0.0, 2024-11-22 08:53:50
Episode no = 2100; won: False; iter_time_steps = 11; Q(s,a) = -12.384688113549172; score = -510.0; mean_score/100_episodes = -509.22; reward = -510.0; mean_reward/100_episodes = -509.04; and epsilon = 0.72, win percentage = 0.0, 2024-11-22 08:53:57
