Episode no = 100; won: False; iter_time_steps = 8; Q(s,a) = nan; score = -507.0; reward = -507.0; mean_reward/100_episodes = -510.22; and epsilon = 0.9866666666666667, win percentage = 0.0, 2024-11-16 19:38:32
Episode no = 200; won: False; iter_time_steps = 8; Q(s,a) = nan; score = -507.0; reward = -507.0; mean_reward/100_episodes = -509.78; and epsilon = 0.9733333333333334, win percentage = 0.0, 2024-11-16 19:38:35
Episode no = 300; won: False; iter_time_steps = 9; Q(s,a) = nan; score = -508.0; reward = -508.0; mean_reward/100_episodes = -509.36; and epsilon = 0.96, win percentage = 0.0, 2024-11-16 19:38:39
Episode no = 400; won: False; iter_time_steps = 8; Q(s,a) = -3.9789906095932563; score = -507.0; reward = -507.0; mean_reward/100_episodes = -509.02; and epsilon = 0.9466666666666667, win percentage = 0.0, 2024-11-16 19:38:43
Episode no = 500; won: False; iter_time_steps = 10; Q(s,a) = -4.847328329835432; score = -509.0; reward = -509.0; mean_reward/100_episodes = -510.21; and epsilon = 0.9333333333333333, win percentage = 0.0, 2024-11-16 19:38:47
Episode no = 600; won: False; iter_time_steps = 19; Q(s,a) = nan; score = -518.0; reward = -518.0; mean_reward/100_episodes = -509.86; and epsilon = 0.92, win percentage = 0.0, 2024-11-16 19:38:51
Episode no = 700; won: False; iter_time_steps = 14; Q(s,a) = -6.096578951235661; score = -513.0; reward = -513.0; mean_reward/100_episodes = -502.92; and epsilon = 0.9066666666666666, win percentage = 0.01, 2024-11-16 19:38:55
Episode no = 800; won: False; iter_time_steps = 11; Q(s,a) = -6.701646778826007; score = -510.0; reward = -510.0; mean_reward/100_episodes = -510.5; and epsilon = 0.8933333333333333, win percentage = 0.0, 2024-11-16 19:38:59
Episode no = 900; won: False; iter_time_steps = 9; Q(s,a) = -7.334631937379456; score = -508.0; reward = -508.0; mean_reward/100_episodes = -509.28; and epsilon = 0.88, win percentage = 0.0, 2024-11-16 19:39:03
Episode no = 1000; won: False; iter_time_steps = 16; Q(s,a) = -8.055771279083084; score = -515.0; reward = -515.0; mean_reward/100_episodes = -509.28; and epsilon = 0.8666666666666667, win percentage = 0.0, 2024-11-16 19:39:07
Episode no = 1100; won: False; iter_time_steps = 6; Q(s,a) = -10.85638406669207; score = -505.0; reward = -505.0; mean_reward/100_episodes = -504.08; and epsilon = 0.8533333333333333, win percentage = 0.01, 2024-11-16 19:39:11
Episode no = 1200; won: False; iter_time_steps = 8; Q(s,a) = nan; score = -507.0; reward = -507.0; mean_reward/100_episodes = -509.42; and epsilon = 0.84, win percentage = 0.0, 2024-11-16 19:39:15
Episode no = 1300; won: False; iter_time_steps = 11; Q(s,a) = -11.575644562350886; score = -510.0; reward = -510.0; mean_reward/100_episodes = -508.9; and epsilon = 0.8266666666666667, win percentage = 0.0, 2024-11-16 19:39:20
Episode no = 1400; won: False; iter_time_steps = 7; Q(s,a) = nan; score = -506.0; reward = -506.0; mean_reward/100_episodes = -509.47; and epsilon = 0.8133333333333334, win percentage = 0.0, 2024-11-16 19:39:24
Episode no = 1500; won: False; iter_time_steps = 8; Q(s,a) = -9.233983318453364; score = -507.0; reward = -507.0; mean_reward/100_episodes = -509.94; and epsilon = 0.8, win percentage = 0.0, 2024-11-16 19:39:28
Episode no = 1600; won: False; iter_time_steps = 10; Q(s,a) = -7.7787526519240755; score = -509.0; reward = -509.0; mean_reward/100_episodes = -511.02; and epsilon = 0.7866666666666666, win percentage = 0.0, 2024-11-16 19:39:33
Episode no = 1700; won: False; iter_time_steps = 13; Q(s,a) = -0.5913212702952996; score = -502.0; reward = -501.0; mean_reward/100_episodes = -510.06; and epsilon = 0.7733333333333333, win percentage = 0.0, 2024-11-16 19:39:37
Episode no = 1800; won: False; iter_time_steps = 10; Q(s,a) = -11.927604386677386; score = -509.0; reward = -509.0; mean_reward/100_episodes = -509.99; and epsilon = 0.76, win percentage = 0.0, 2024-11-16 19:39:42
Episode no = 1900; won: False; iter_time_steps = 13; Q(s,a) = -7.944368399960932; score = -512.0; reward = -512.0; mean_reward/100_episodes = -508.64; and epsilon = 0.7466666666666666, win percentage = 0.0, 2024-11-16 19:39:46
