Episode no = 100; won: False; iter_time_steps = 7; Q(s,a) = nan; score = -506.0; mean_score/100_episodes = -508.07; reward = -506.0; mean_reward/100_episodes = -508.07; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9866666666666667, win percentage = 0.0, 2024-12-02 01:45:07
Episode no = 200; won: False; iter_time_steps = 9; Q(s,a) = nan; score = -508.0; mean_score/100_episodes = -508.25; reward = -508.0; mean_reward/100_episodes = -508.24; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9733333333333334, win percentage = 0.0, 2024-12-02 01:45:10
Episode no = 300; won: False; iter_time_steps = 8; Q(s,a) = nan; score = -507.0; mean_score/100_episodes = -508.02; reward = -507.0; mean_reward/100_episodes = -508.01; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.96, win percentage = 0.0, 2024-12-02 01:45:13
Episode no = 400; won: False; iter_time_steps = 11; Q(s,a) = -4.32229942621136; score = -500.0; mean_score/100_episodes = -507.93; reward = -499.0; mean_reward/100_episodes = -507.79; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9466666666666667, win percentage = 0.0, 2024-12-02 01:45:16
Episode no = 500; won: False; iter_time_steps = 10; Q(s,a) = -4.6791096418711495; score = -509.0; mean_score/100_episodes = -507.82; reward = -509.0; mean_reward/100_episodes = -508.01; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9333333333333333, win percentage = 0.0, 2024-12-02 01:45:19
Episode no = 600; won: False; iter_time_steps = 7; Q(s,a) = nan; score = -506.0; mean_score/100_episodes = -508.45; reward = -506.0; mean_reward/100_episodes = -508.54; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.92, win percentage = 0.0, 2024-12-02 01:45:23
Episode no = 700; won: False; iter_time_steps = 11; Q(s,a) = -6.288918392658983; score = -510.0; mean_score/100_episodes = -508.18; reward = -510.0; mean_reward/100_episodes = -508.05; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9066666666666666, win percentage = 0.0, 2024-12-02 01:45:26
Episode no = 800; won: False; iter_time_steps = 8; Q(s,a) = nan; score = -507.0; mean_score/100_episodes = -507.98; reward = -507.0; mean_reward/100_episodes = -507.85; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8933333333333333, win percentage = 0.0, 2024-12-02 01:45:29
Episode no = 900; won: False; iter_time_steps = 11; Q(s,a) = nan; score = -510.0; mean_score/100_episodes = -508.16; reward = -510.0; mean_reward/100_episodes = -508.13; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.88, win percentage = 0.0, 2024-12-02 01:45:32
Episode no = 1000; won: False; iter_time_steps = 9; Q(s,a) = -10.413869729491298; score = -508.0; mean_score/100_episodes = -508.46; reward = -508.0; mean_reward/100_episodes = -508.56; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8666666666666667, win percentage = 0.0, 2024-12-02 01:45:35
Episode no = 1100; won: False; iter_time_steps = 11; Q(s,a) = nan; score = -510.0; mean_score/100_episodes = -508.58; reward = -510.0; mean_reward/100_episodes = -508.58; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8533333333333333, win percentage = 0.0, 2024-12-02 01:45:38
