Episode no = 100; won: False; iter_time_steps = 6; Q(s,a) = nan; score = -505.0; mean_score/100_episodes = -509.64; reward = -505.0; mean_reward/100_episodes = -509.59; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0.0225595776; and epsilon = 0.9866666666666667, win percentage = 0.0, 2024-12-02 03:38:40
Episode no = 200; won: False; iter_time_steps = 9; Q(s,a) = -2.0983416497002265; score = -508.0; mean_score/100_episodes = -510.65; reward = -508.0; mean_reward/100_episodes = -510.6; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0.08701551359999994; and epsilon = 0.9733333333333334, win percentage = 0.0, 2024-12-02 03:38:46
Episode no = 300; won: False; iter_time_steps = 8; Q(s,a) = -2.9009077671656684; score = -507.0; mean_score/100_episodes = -509.17; reward = -507.0; mean_reward/100_episodes = -509.22; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0.20303619840000017; and epsilon = 0.96, win percentage = 0.0, 2024-12-02 03:38:52
Episode no = 400; won: False; iter_time_steps = 8; Q(s,a) = nan; score = -507.0; mean_score/100_episodes = -510.63; reward = -507.0; mean_reward/100_episodes = -510.72; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0.40284959999999953; and epsilon = 0.9466666666666667, win percentage = 0.0, 2024-12-02 03:38:59
Episode no = 500; won: False; iter_time_steps = 11; Q(s,a) = -5.322980829875979; score = -510.0; mean_score/100_episodes = -509.63; reward = -510.0; mean_reward/100_episodes = -509.6; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0.5704350335999998; and epsilon = 0.9333333333333333, win percentage = 0.0, 2024-12-02 03:39:05
Episode no = 600; won: False; iter_time_steps = 10; Q(s,a) = nan; score = -509.0; mean_score/100_episodes = -510.7; reward = -509.0; mean_reward/100_episodes = -510.78; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0.8153675904000027; and epsilon = 0.92, win percentage = 0.0, 2024-12-02 03:39:12
Episode no = 700; won: False; iter_time_steps = 7; Q(s,a) = -6.868309056717201; score = -506.0; mean_score/100_episodes = -509.51; reward = -506.0; mean_reward/100_episodes = -509.69; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 1.0764141312000057; and epsilon = 0.9066666666666666, win percentage = 0.0, 2024-12-02 03:39:17
Episode no = 800; won: False; iter_time_steps = 7; Q(s,a) = -7.12473969038283; score = -506.0; mean_score/100_episodes = -509.41; reward = -506.0; mean_reward/100_episodes = -509.27; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 1.4019166080000096; and epsilon = 0.8933333333333333, win percentage = 0.0, 2024-12-02 03:39:23
Episode no = 900; won: False; iter_time_steps = 8; Q(s,a) = -8.867765444382904; score = -507.0; mean_score/100_episodes = -509.39; reward = -507.0; mean_reward/100_episodes = -509.09; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 1.7499786624000138; and epsilon = 0.88, win percentage = 0.0, 2024-12-02 03:39:29
Episode no = 1000; won: False; iter_time_steps = 10; Q(s,a) = nan; score = -509.0; mean_score/100_episodes = -510.31; reward = -509.0; mean_reward/100_episodes = -510.26; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 2.2172841984000042; and epsilon = 0.8666666666666667, win percentage = 0.0, 2024-12-02 03:39:35
Episode no = 1100; won: False; iter_time_steps = 6; Q(s,a) = nan; score = -505.0; mean_score/100_episodes = -510.62; reward = -505.0; mean_reward/100_episodes = -510.47; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 2.745822873599974; and epsilon = 0.8533333333333333, win percentage = 0.0, 2024-12-02 03:39:42
