Episode no = 100; won: False; iter_time_steps = 18; Q(s,a) = -1.0604701576528524; score = -517.0; mean_score/100_episodes = -507.65; reward = -517.0; mean_reward/100_episodes = -507.52; and epsilon = 0.9866666666666667, win percentage = 0.0, 2024-11-25 05:32:56
Episode no = 200; won: False; iter_time_steps = 9; Q(s,a) = -2.096955174923717; score = -508.0; mean_score/100_episodes = -507.33; reward = -508.0; mean_reward/100_episodes = -507.28; and epsilon = 0.9733333333333334, win percentage = 0.0, 2024-11-25 05:32:59
Episode no = 300; won: False; iter_time_steps = 5; Q(s,a) = -3.2285873417499698; score = -504.0; mean_score/100_episodes = -507.9; reward = -504.0; mean_reward/100_episodes = -507.86; and epsilon = 0.96, win percentage = 0.0, 2024-11-25 05:33:03
Episode no = 400; won: False; iter_time_steps = 18; Q(s,a) = -4.017946619423909; score = -517.0; mean_score/100_episodes = -507.28; reward = -517.0; mean_reward/100_episodes = -507.24; and epsilon = 0.9466666666666667, win percentage = 0.0, 2024-11-25 05:33:06
Episode no = 500; won: False; iter_time_steps = 7; Q(s,a) = nan; score = -506.0; mean_score/100_episodes = -508.05; reward = -506.0; mean_reward/100_episodes = -508.02; and epsilon = 0.9333333333333333, win percentage = 0.0, 2024-11-25 05:33:10
Episode no = 600; won: False; iter_time_steps = 11; Q(s,a) = -5.534368308312054; score = -510.0; mean_score/100_episodes = -507.57; reward = -510.0; mean_reward/100_episodes = -507.64; and epsilon = 0.92, win percentage = 0.0, 2024-11-25 05:33:13
Episode no = 700; won: False; iter_time_steps = 5; Q(s,a) = -6.531672782048268; score = -504.0; mean_score/100_episodes = -507.82; reward = -504.0; mean_reward/100_episodes = -507.69; and epsilon = 0.9066666666666666, win percentage = 0.0, 2024-11-25 05:33:17
Episode no = 800; won: False; iter_time_steps = 8; Q(s,a) = -7.110522161665994; score = -507.0; mean_score/100_episodes = -508.03; reward = -507.0; mean_reward/100_episodes = -508.1; and epsilon = 0.8933333333333333, win percentage = 0.0, 2024-11-25 05:33:21
Episode no = 900; won: False; iter_time_steps = 4; Q(s,a) = nan; score = -503.0; mean_score/100_episodes = -507.26; reward = -503.0; mean_reward/100_episodes = -507.22; and epsilon = 0.88, win percentage = 0.0, 2024-11-25 05:33:25
Episode no = 1000; won: False; iter_time_steps = 7; Q(s,a) = nan; score = -506.0; mean_score/100_episodes = -507.66; reward = -506.0; mean_reward/100_episodes = -507.61; and epsilon = 0.8666666666666667, win percentage = 0.0, 2024-11-25 05:33:29
Episode no = 1100; won: False; iter_time_steps = 12; Q(s,a) = -10.495724117715344; score = -511.0; mean_score/100_episodes = -508.07; reward = -511.0; mean_reward/100_episodes = -507.81; and epsilon = 0.8533333333333333, win percentage = 0.0, 2024-11-25 05:33:33
Episode no = 1200; won: False; iter_time_steps = 6; Q(s,a) = -11.959719069191383; score = -505.0; mean_score/100_episodes = -507.18; reward = -505.0; mean_reward/100_episodes = -506.92; and epsilon = 0.84, win percentage = 0.0, 2024-11-25 05:33:36
Episode no = 1300; won: False; iter_time_steps = 15; Q(s,a) = -6.555740709920147; score = -514.0; mean_score/100_episodes = -508.59; reward = -514.0; mean_reward/100_episodes = -508.53; and epsilon = 0.8266666666666667, win percentage = 0.0, 2024-11-25 05:33:40
Episode no = 1400; won: False; iter_time_steps = 7; Q(s,a) = -12.84828556777656; score = -506.0; mean_score/100_episodes = -507.63; reward = -506.0; mean_reward/100_episodes = -507.51; and epsilon = 0.8133333333333334, win percentage = 0.0, 2024-11-25 05:33:44
Episode no = 1500; won: False; iter_time_steps = 12; Q(s,a) = -8.800360425078372; score = -511.0; mean_score/100_episodes = -508.2; reward = -511.0; mean_reward/100_episodes = -508.19; and epsilon = 0.8, win percentage = 0.0, 2024-11-25 05:33:48
Episode no = 1600; won: False; iter_time_steps = 27; Q(s,a) = 19.93167392213442; score = -516.0; mean_score/100_episodes = -507.99; reward = -515.0; mean_reward/100_episodes = -507.93; and epsilon = 0.7866666666666666, win percentage = 0.0, 2024-11-25 05:33:52
Episode no = 1700; won: False; iter_time_steps = 7; Q(s,a) = nan; score = -506.0; mean_score/100_episodes = -509.06; reward = -506.0; mean_reward/100_episodes = -508.91; and epsilon = 0.7733333333333333, win percentage = 0.0, 2024-11-25 05:33:57
Episode no = 1800; won: False; iter_time_steps = 4; Q(s,a) = -9.227080830653259; score = -503.0; mean_score/100_episodes = -508.03; reward = -503.0; mean_reward/100_episodes = -508.07; and epsilon = 0.76, win percentage = 0.0, 2024-11-25 05:34:02
Episode no = 1900; won: False; iter_time_steps = 8; Q(s,a) = nan; score = -507.0; mean_score/100_episodes = -508.81; reward = -507.0; mean_reward/100_episodes = -508.58; and epsilon = 0.7466666666666666, win percentage = 0.0, 2024-11-25 05:34:07
Episode no = 2000; won: False; iter_time_steps = 6; Q(s,a) = -11.487207009816114; score = -505.0; mean_score/100_episodes = -507.82; reward = -505.0; mean_reward/100_episodes = -507.89; and epsilon = 0.7333333333333334, win percentage = 0.0, 2024-11-25 05:34:11
Episode no = 2100; won: False; iter_time_steps = 13; Q(s,a) = -9.685140319374405; score = -512.0; mean_score/100_episodes = -507.61; reward = -512.0; mean_reward/100_episodes = -507.34; and epsilon = 0.72, win percentage = 0.0, 2024-11-25 05:34:15
Episode no = 2200; won: False; iter_time_steps = 15; Q(s,a) = -7.2848348906661915; score = -514.0; mean_score/100_episodes = -508.91; reward = -514.0; mean_reward/100_episodes = -508.95; and epsilon = 0.7066666666666667, win percentage = 0.0, 2024-11-25 05:34:20
Episode no = 2300; won: False; iter_time_steps = 10; Q(s,a) = -9.303814827290731; score = -509.0; mean_score/100_episodes = -508.19; reward = -509.0; mean_reward/100_episodes = -508.05; and epsilon = 0.6933333333333334, win percentage = 0.0, 2024-11-25 05:34:24
Episode no = 2400; won: False; iter_time_steps = 12; Q(s,a) = 5.052300854460444; score = -511.0; mean_score/100_episodes = -507.88; reward = -511.0; mean_reward/100_episodes = -507.88; and epsilon = 0.6799999999999999, win percentage = 0.0, 2024-11-25 05:34:29
Episode no = 2500; won: False; iter_time_steps = 7; Q(s,a) = nan; score = -506.0; mean_score/100_episodes = -509.24; reward = -506.0; mean_reward/100_episodes = -509.17; and epsilon = 0.6666666666666667, win percentage = 0.0, 2024-11-25 05:34:34
Episode no = 2600; won: False; iter_time_steps = 12; Q(s,a) = 24.663131741968684; score = -501.0; mean_score/100_episodes = -508.56; reward = -489.0; mean_reward/100_episodes = -508.05; and epsilon = 0.6533333333333333, win percentage = 0.0, 2024-11-25 05:34:39
Episode no = 2700; won: False; iter_time_steps = 8; Q(s,a) = -47.09705484155978; score = -507.0; mean_score/100_episodes = -508.57; reward = -507.0; mean_reward/100_episodes = -508.5; and epsilon = 0.64, win percentage = 0.0, 2024-11-25 05:34:44
