Episode no = 100; won: False; iter_time_steps = 8; Q(s,a) = nan; score = -507.0; mean_score/100_episodes = -509.73; reward = -507.0; mean_reward/100_episodes = -509.69; and epsilon = 0.9866666666666667, win percentage = 0.0, 2024-11-22 09:07:07
Episode no = 200; won: False; iter_time_steps = 16; Q(s,a) = nan; score = -515.0; mean_score/100_episodes = -510.1; reward = -515.0; mean_reward/100_episodes = -510.07; and epsilon = 0.9733333333333334, win percentage = 0.0, 2024-11-22 09:07:12
Episode no = 300; won: False; iter_time_steps = 8; Q(s,a) = nan; score = -507.0; mean_score/100_episodes = -510.19; reward = -507.0; mean_reward/100_episodes = -510.15; and epsilon = 0.96, win percentage = 0.0, 2024-11-22 09:07:17
Episode no = 400; won: False; iter_time_steps = 33; Q(s,a) = -4.288799050647896; score = -532.0; mean_score/100_episodes = -510.06; reward = -532.0; mean_reward/100_episodes = -510.02; and epsilon = 0.9466666666666667, win percentage = 0.0, 2024-11-22 09:07:21
Episode no = 500; won: False; iter_time_steps = 16; Q(s,a) = -4.5627456232572206; score = -515.0; mean_score/100_episodes = -509.44; reward = -515.0; mean_reward/100_episodes = -509.27; and epsilon = 0.9333333333333333, win percentage = 0.0, 2024-11-22 09:07:26
Episode no = 600; won: False; iter_time_steps = 6; Q(s,a) = nan; score = -505.0; mean_score/100_episodes = -509.95; reward = -505.0; mean_reward/100_episodes = -509.68; and epsilon = 0.92, win percentage = 0.0, 2024-11-22 09:07:31
Episode no = 700; won: False; iter_time_steps = 6; Q(s,a) = nan; score = -505.0; mean_score/100_episodes = -508.76; reward = -505.0; mean_reward/100_episodes = -508.74; and epsilon = 0.9066666666666666, win percentage = 0.0, 2024-11-22 09:07:35
Episode no = 800; won: False; iter_time_steps = 7; Q(s,a) = -6.762497873374187; score = -506.0; mean_score/100_episodes = -510.44; reward = -506.0; mean_reward/100_episodes = -510.29; and epsilon = 0.8933333333333333, win percentage = 0.0, 2024-11-22 09:07:40
Episode no = 900; won: False; iter_time_steps = 15; Q(s,a) = nan; score = -514.0; mean_score/100_episodes = -509.56; reward = -514.0; mean_reward/100_episodes = -509.32; and epsilon = 0.88, win percentage = 0.0, 2024-11-22 09:07:44
Episode no = 1000; won: False; iter_time_steps = 10; Q(s,a) = -10.190264500608695; score = -509.0; mean_score/100_episodes = -509.85; reward = -509.0; mean_reward/100_episodes = -509.82; and epsilon = 0.8666666666666667, win percentage = 0.0, 2024-11-22 09:07:49
Episode no = 1100; won: False; iter_time_steps = 7; Q(s,a) = nan; score = -506.0; mean_score/100_episodes = -509.61; reward = -506.0; mean_reward/100_episodes = -509.59; and epsilon = 0.8533333333333333, win percentage = 0.0, 2024-11-22 09:07:53
Episode no = 1200; won: False; iter_time_steps = 21; Q(s,a) = -9.587921915380788; score = -520.0; mean_score/100_episodes = -509.84; reward = -520.0; mean_reward/100_episodes = -509.9; and epsilon = 0.84, win percentage = 0.0, 2024-11-22 09:07:58
Episode no = 1300; won: False; iter_time_steps = 8; Q(s,a) = -10.519528752441545; score = -507.0; mean_score/100_episodes = -510.94; reward = -507.0; mean_reward/100_episodes = -510.93; and epsilon = 0.8266666666666667, win percentage = 0.0, 2024-11-22 09:08:03
Episode no = 1400; won: False; iter_time_steps = 12; Q(s,a) = -9.85210023048055; score = -511.0; mean_score/100_episodes = -510.44; reward = -511.0; mean_reward/100_episodes = -510.39; and epsilon = 0.8133333333333334, win percentage = 0.0, 2024-11-22 09:08:08
Episode no = 1500; won: False; iter_time_steps = 11; Q(s,a) = -10.280315438428321; score = -510.0; mean_score/100_episodes = -510.09; reward = -510.0; mean_reward/100_episodes = -510.13; and epsilon = 0.8, win percentage = 0.0, 2024-11-22 09:08:13
Episode no = 1600; won: False; iter_time_steps = 9; Q(s,a) = -11.143410889892012; score = -508.0; mean_score/100_episodes = -510.28; reward = -508.0; mean_reward/100_episodes = -510.31; and epsilon = 0.7866666666666666, win percentage = 0.0, 2024-11-22 09:08:18
Episode no = 1700; won: False; iter_time_steps = 23; Q(s,a) = -8.106930991002828; score = -522.0; mean_score/100_episodes = -510.76; reward = -522.0; mean_reward/100_episodes = -510.71; and epsilon = 0.7733333333333333, win percentage = 0.0, 2024-11-22 09:08:23
Episode no = 1800; won: False; iter_time_steps = 23; Q(s,a) = -7.103529194167048; score = -522.0; mean_score/100_episodes = -500.27; reward = -522.0; mean_reward/100_episodes = -504.2; and epsilon = 0.76, win percentage = 0.01, 2024-11-22 09:08:29
