Episode no = 100; won: False; iter_time_steps = 20; Q(s,a) = -0.9982084311958279; score = -509.0; mean_score/100_episodes = -509.17; reward = -508.0; mean_reward/100_episodes = -509.15; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9866666666666667, win percentage = 0.0, 2024-12-08 14:04:19
Episode no = 200; won: False; iter_time_steps = 11; Q(s,a) = nan; score = -510.0; mean_score/100_episodes = -509.96; reward = -510.0; mean_reward/100_episodes = -509.89; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9733333333333334, win percentage = 0.0, 2024-12-08 14:04:25
Episode no = 300; won: False; iter_time_steps = 19; Q(s,a) = -0.999950939626913; score = -518.0; mean_score/100_episodes = -509.53; reward = -518.0; mean_reward/100_episodes = -509.4; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.96, win percentage = 0.0, 2024-12-08 14:04:30
Episode no = 400; won: False; iter_time_steps = 9; Q(s,a) = nan; score = -508.0; mean_score/100_episodes = -509.08; reward = -508.0; mean_reward/100_episodes = -509.05; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9466666666666667, win percentage = 0.0, 2024-12-08 14:04:34
Episode no = 500; won: False; iter_time_steps = 11; Q(s,a) = nan; score = -510.0; mean_score/100_episodes = -510.35; reward = -510.0; mean_reward/100_episodes = -510.3; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9333333333333333, win percentage = 0.0, 2024-12-08 14:04:40
Episode no = 600; won: False; iter_time_steps = 12; Q(s,a) = -0.9999815492062797; score = -511.0; mean_score/100_episodes = -509.52; reward = -511.0; mean_reward/100_episodes = -509.35; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.92, win percentage = 0.0, 2024-12-08 14:04:45
Episode no = 700; won: False; iter_time_steps = 5; Q(s,a) = -0.9999847563246181; score = -504.0; mean_score/100_episodes = -509.88; reward = -504.0; mean_reward/100_episodes = -509.83; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9066666666666666, win percentage = 0.0, 2024-12-08 14:04:50
Episode no = 800; won: False; iter_time_steps = 12; Q(s,a) = nan; score = -511.0; mean_score/100_episodes = -509.44; reward = -511.0; mean_reward/100_episodes = -509.12; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8933333333333333, win percentage = 0.0, 2024-12-08 14:04:56
Episode no = 900; won: False; iter_time_steps = 9; Q(s,a) = -0.9999900472572459; score = -508.0; mean_score/100_episodes = -509.73; reward = -508.0; mean_reward/100_episodes = -509.55; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.88, win percentage = 0.0, 2024-12-08 14:05:01
Episode no = 1000; won: False; iter_time_steps = 7; Q(s,a) = nan; score = -506.0; mean_score/100_episodes = -509.78; reward = -506.0; mean_reward/100_episodes = -509.73; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8666666666666667, win percentage = 0.0, 2024-12-08 14:05:06
Episode no = 1100; won: False; iter_time_steps = 12; Q(s,a) = -0.9999926069817759; score = -511.0; mean_score/100_episodes = -509.13; reward = -511.0; mean_reward/100_episodes = -509.08; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8533333333333333, win percentage = 0.0, 2024-12-08 14:05:11
Episode no = 1200; won: False; iter_time_steps = 11; Q(s,a) = nan; score = -510.0; mean_score/100_episodes = -509.75; reward = -510.0; mean_reward/100_episodes = -509.43; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.84, win percentage = 0.0, 2024-12-08 14:05:17
