Episode no = 100; won: False; iter_time_steps = 21; Q(s,a) = nan; score = -520.0; mean_score/100_episodes = -509.81; reward = -520.0; mean_reward/100_episodes = -509.75; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9866666666666667, win percentage = 0.0, 2024-12-19 08:09:00
Episode no = 200; won: False; iter_time_steps = 18; Q(s,a) = nan; score = -517.0; mean_score/100_episodes = -510.07; reward = -517.0; mean_reward/100_episodes = -510.0; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9733333333333334, win percentage = 0.0, 2024-12-19 08:09:04
Episode no = 300; won: False; iter_time_steps = 10; Q(s,a) = nan; score = -509.0; mean_score/100_episodes = -509.86; reward = -509.0; mean_reward/100_episodes = -509.9; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.96, win percentage = 0.0, 2024-12-19 08:09:09
Episode no = 400; won: False; iter_time_steps = 17; Q(s,a) = -3.910862979703478; score = -516.0; mean_score/100_episodes = -499.71; reward = -516.0; mean_reward/100_episodes = -503.77; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9466666666666667, win percentage = 0.01, 2024-12-19 08:09:12
Episode no = 500; won: False; iter_time_steps = 14; Q(s,a) = -4.863845049441928; score = -513.0; mean_score/100_episodes = -509.19; reward = -513.0; mean_reward/100_episodes = -509.13; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9333333333333333, win percentage = 0.0, 2024-12-19 08:09:16
Episode no = 600; won: False; iter_time_steps = 11; Q(s,a) = -5.657655648870381; score = -510.0; mean_score/100_episodes = -508.99; reward = -510.0; mean_reward/100_episodes = -508.86; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.92, win percentage = 0.0, 2024-12-19 08:09:19
Episode no = 700; won: False; iter_time_steps = 15; Q(s,a) = -6.402336620532356; score = -514.0; mean_score/100_episodes = -509.47; reward = -514.0; mean_reward/100_episodes = -509.44; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9066666666666666, win percentage = 0.0, 2024-12-19 08:09:23
Episode no = 800; won: False; iter_time_steps = 21; Q(s,a) = -7.046087452196323; score = -520.0; mean_score/100_episodes = -509.54; reward = -520.0; mean_reward/100_episodes = -509.48; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8933333333333333, win percentage = 0.0, 2024-12-19 08:09:27
Episode no = 900; won: False; iter_time_steps = 9; Q(s,a) = -7.856851976289754; score = -508.0; mean_score/100_episodes = -509.15; reward = -508.0; mean_reward/100_episodes = -508.98; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.88, win percentage = 0.0, 2024-12-19 08:09:31
Episode no = 1000; won: False; iter_time_steps = 9; Q(s,a) = -8.636810782297312; score = -508.0; mean_score/100_episodes = -508.68; reward = -508.0; mean_reward/100_episodes = -508.64; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8666666666666667, win percentage = 0.0, 2024-12-19 08:09:34
Episode no = 1100; won: False; iter_time_steps = 9; Q(s,a) = -9.102806518989853; score = -508.0; mean_score/100_episodes = -509.81; reward = -508.0; mean_reward/100_episodes = -509.64; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8533333333333333, win percentage = 0.0, 2024-12-19 08:09:38
Episode no = 1200; won: False; iter_time_steps = 8; Q(s,a) = -9.755103422644966; score = -507.0; mean_score/100_episodes = -510.23; reward = -507.0; mean_reward/100_episodes = -510.3; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.84, win percentage = 0.0, 2024-12-19 08:09:42
Episode no = 1300; won: False; iter_time_steps = 7; Q(s,a) = nan; score = -506.0; mean_score/100_episodes = -509.41; reward = -506.0; mean_reward/100_episodes = -509.26; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8266666666666667, win percentage = 0.0, 2024-12-19 08:09:46
Episode no = 1400; won: False; iter_time_steps = 8; Q(s,a) = -10.764855145695996; score = -507.0; mean_score/100_episodes = -508.93; reward = -507.0; mean_reward/100_episodes = -508.78; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8133333333333334, win percentage = 0.0, 2024-12-19 08:09:50
Episode no = 1500; won: False; iter_time_steps = 10; Q(s,a) = -11.568367203751304; score = -509.0; mean_score/100_episodes = -509.12; reward = -509.0; mean_reward/100_episodes = -509.09; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8, win percentage = 0.0, 2024-12-19 08:09:53
Episode no = 1600; won: False; iter_time_steps = 7; Q(s,a) = -11.897644744981372; score = -506.0; mean_score/100_episodes = -509.43; reward = -506.0; mean_reward/100_episodes = -509.4; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7866666666666666, win percentage = 0.0, 2024-12-19 08:09:57
Episode no = 1700; won: False; iter_time_steps = 11; Q(s,a) = -12.539176327452813; score = -510.0; mean_score/100_episodes = -510.1; reward = -510.0; mean_reward/100_episodes = -509.86; snn_single_energy = 0; snn_total_energy = 0; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7733333333333333, win percentage = 0.0, 2024-12-19 08:10:01
