Episode no = 100; won: False; iter_time_steps = 8; Q(s,a) = nan; score = -507.0; mean_score/100_episodes = -509.65; reward = -507.0; mean_reward/100_episodes = -509.65; and epsilon = 0.9866666666666667, win percentage = 0.0, 2024-11-19 06:09:27
Episode no = 200; won: False; iter_time_steps = 9; Q(s,a) = nan; score = -508.0; mean_score/100_episodes = -509.45; reward = -508.0; mean_reward/100_episodes = -509.45; and epsilon = 0.9733333333333334, win percentage = 0.0, 2024-11-19 06:09:47
Episode no = 300; won: False; iter_time_steps = 12; Q(s,a) = nan; score = -511.0; mean_score/100_episodes = -509.21; reward = -511.0; mean_reward/100_episodes = -509.21; and epsilon = 0.96, win percentage = 0.0, 2024-11-19 06:10:07
Episode no = 400; won: False; iter_time_steps = 14; Q(s,a) = -0.8196108943184004; score = -503.0; mean_score/100_episodes = -509.18; reward = -502.0; mean_reward/100_episodes = -509.18; and epsilon = 0.9466666666666667, win percentage = 0.0, 2024-11-19 06:10:27
Episode no = 500; won: False; iter_time_steps = 13; Q(s,a) = -1.1848683436069667; score = -512.0; mean_score/100_episodes = -508.98; reward = -512.0; mean_reward/100_episodes = -508.98; and epsilon = 0.9333333333333333, win percentage = 0.0, 2024-11-19 06:10:47
Episode no = 600; won: False; iter_time_steps = 8; Q(s,a) = nan; score = -507.0; mean_score/100_episodes = -508.78; reward = -507.0; mean_reward/100_episodes = -508.78; and epsilon = 0.92, win percentage = 0.0, 2024-11-19 06:11:06
Episode no = 700; won: False; iter_time_steps = 10; Q(s,a) = nan; score = -509.0; mean_score/100_episodes = -509.31; reward = -509.0; mean_reward/100_episodes = -509.31; and epsilon = 0.9066666666666666, win percentage = 0.0, 2024-11-19 06:11:27
Episode no = 800; won: False; iter_time_steps = 19; Q(s,a) = -3.9853877827382957; score = -518.0; mean_score/100_episodes = -510.55; reward = -518.0; mean_reward/100_episodes = -510.55; and epsilon = 0.8933333333333333, win percentage = 0.0, 2024-11-19 06:11:49
Episode no = 900; won: False; iter_time_steps = 11; Q(s,a) = -4.788418149455623; score = -510.0; mean_score/100_episodes = -509.29; reward = -510.0; mean_reward/100_episodes = -509.29; and epsilon = 0.88, win percentage = 0.0, 2024-11-19 06:12:08
Episode no = 1000; won: False; iter_time_steps = 11; Q(s,a) = -5.645966167601334; score = -510.0; mean_score/100_episodes = -509.64; reward = -510.0; mean_reward/100_episodes = -509.64; and epsilon = 0.8666666666666667, win percentage = 0.0, 2024-11-19 06:12:30
Episode no = 1100; won: False; iter_time_steps = 15; Q(s,a) = -6.430302772928904; score = -514.0; mean_score/100_episodes = -509.61; reward = -514.0; mean_reward/100_episodes = -509.61; and epsilon = 0.8533333333333333, win percentage = 0.0, 2024-11-19 06:12:51
