Episode no = 100; won: False; iter_time_steps = 16; Q(s,a) = nan; score = -515.0; mean_score/100_episodes = -499.68; reward = -515.0; mean_reward/100_episodes = -503.76; snn_single_energy = 0; snn_total_energy = 7.8950390625e-07; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9866666666666667, win percentage = 0.01, 2024-12-02 03:41:26
Episode no = 200; won: False; iter_time_steps = 20; Q(s,a) = -0.3971579284345732; score = -509.0; mean_score/100_episodes = -510.38; reward = -519.0; mean_reward/100_episodes = -510.18; snn_single_energy = 0; snn_total_energy = 6.302098828125001e-06; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9733333333333334, win percentage = 0.0, 2024-12-02 03:41:35
Episode no = 300; won: False; iter_time_steps = 9; Q(s,a) = nan; score = -508.0; mean_score/100_episodes = -509.63; reward = -508.0; mean_reward/100_episodes = -509.47; snn_single_energy = 0; snn_total_energy = 1.4981997656249999e-05; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.96, win percentage = 0.0, 2024-12-02 03:41:44
Episode no = 400; won: False; iter_time_steps = 16; Q(s,a) = -0.8465403754892933; score = -515.0; mean_score/100_episodes = -509.14; reward = -515.0; mean_reward/100_episodes = -508.99; snn_single_energy = 0; snn_total_energy = 2.4929746875e-05; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9466666666666667, win percentage = 0.0, 2024-12-02 03:41:51
Episode no = 500; won: False; iter_time_steps = 13; Q(s,a) = -1.0673175672622979; score = -512.0; mean_score/100_episodes = -509.43; reward = -512.0; mean_reward/100_episodes = -509.41; snn_single_energy = 0; snn_total_energy = 4.344052851562503e-05; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9333333333333333, win percentage = 0.0, 2024-12-02 03:41:59
Episode no = 600; won: False; iter_time_steps = 8; Q(s,a) = nan; score = -507.0; mean_score/100_episodes = -510.02; reward = -507.0; mean_reward/100_episodes = -509.87; snn_single_energy = 0; snn_total_energy = 8.385178710937516e-05; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.92, win percentage = 0.0, 2024-12-02 03:42:07
Episode no = 700; won: False; iter_time_steps = 7; Q(s,a) = nan; score = -506.0; mean_score/100_episodes = -510.37; reward = -506.0; mean_reward/100_episodes = -510.34; snn_single_energy = 0; snn_total_energy = 0.00045706983288574263; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.9066666666666666, win percentage = 0.0, 2024-12-02 03:42:16
Episode no = 800; won: False; iter_time_steps = 21; Q(s,a) = -3.5837405948717045; score = -520.0; mean_score/100_episodes = -510.48; reward = -520.0; mean_reward/100_episodes = -510.44; snn_single_energy = 0; snn_total_energy = 0.0027693972982177724; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8933333333333333, win percentage = 0.0, 2024-12-02 03:42:26
Episode no = 900; won: False; iter_time_steps = 7; Q(s,a) = nan; score = -506.0; mean_score/100_episodes = -509.42; reward = -506.0; mean_reward/100_episodes = -509.14; snn_single_energy = 0; snn_total_energy = 0.007192158945117191; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.88, win percentage = 0.0, 2024-12-02 03:42:35
Episode no = 1000; won: False; iter_time_steps = 23; Q(s,a) = -5.263641068768196; score = -522.0; mean_score/100_episodes = -509.32; reward = -522.0; mean_reward/100_episodes = -509.25; snn_single_energy = 0; snn_total_energy = 0.013336355433471685; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8666666666666667, win percentage = 0.0, 2024-12-02 03:42:44
Episode no = 1100; won: False; iter_time_steps = 10; Q(s,a) = -6.059168252899008; score = -509.0; mean_score/100_episodes = -509.98; reward = -509.0; mean_reward/100_episodes = -509.76; snn_single_energy = 0; snn_total_energy = 0.022688139098364285; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8533333333333333, win percentage = 0.0, 2024-12-02 03:42:54
Episode no = 1200; won: False; iter_time_steps = 14; Q(s,a) = -6.781973937504768; score = -503.0; mean_score/100_episodes = -509.14; reward = -502.0; mean_reward/100_episodes = -508.99; snn_single_energy = 0; snn_total_energy = 0.031267977601025385; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.84, win percentage = 0.0, 2024-12-02 03:43:03
Episode no = 1300; won: False; iter_time_steps = 10; Q(s,a) = nan; score = -509.0; mean_score/100_episodes = -509.56; reward = -509.0; mean_reward/100_episodes = -509.51; snn_single_energy = 0; snn_total_energy = 0.04301266303520508; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8266666666666667, win percentage = 0.0, 2024-12-02 03:43:12
Episode no = 1400; won: False; iter_time_steps = 10; Q(s,a) = -8.068005678487394; score = -509.0; mean_score/100_episodes = -510.39; reward = -509.0; mean_reward/100_episodes = -510.35; snn_single_energy = 0; snn_total_energy = 0.058738306180297906; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8133333333333334, win percentage = 0.0, 2024-12-02 03:43:21
Episode no = 1500; won: False; iter_time_steps = 9; Q(s,a) = nan; score = -508.0; mean_score/100_episodes = -509.09; reward = -508.0; mean_reward/100_episodes = -509.03; snn_single_energy = 0; snn_total_energy = 0.07435179344619142; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.8, win percentage = 0.0, 2024-12-02 03:43:30
Episode no = 1600; won: False; iter_time_steps = 8; Q(s,a) = nan; score = -507.0; mean_score/100_episodes = -509.9; reward = -507.0; mean_reward/100_episodes = -509.87; snn_single_energy = 0; snn_total_energy = 0.091127976399756; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7866666666666666, win percentage = 0.0, 2024-12-02 03:43:40
Episode no = 1700; won: False; iter_time_steps = 11; Q(s,a) = -9.96727101964709; score = -510.0; mean_score/100_episodes = -509.65; reward = -510.0; mean_reward/100_episodes = -509.52; snn_single_energy = 0; snn_total_energy = 0.11084344672236365; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7733333333333333, win percentage = 0.0, 2024-12-02 03:43:50
Episode no = 1800; won: False; iter_time_steps = 24; Q(s,a) = -10.475592783795884; score = -523.0; mean_score/100_episodes = -511.04; reward = -523.0; mean_reward/100_episodes = -511.0; snn_single_energy = 0; snn_total_energy = 0.13082690981469774; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.76, win percentage = 0.0, 2024-12-02 03:44:00
Episode no = 1900; won: False; iter_time_steps = 10; Q(s,a) = -10.974709413550041; score = -509.0; mean_score/100_episodes = -509.02; reward = -509.0; mean_reward/100_episodes = -508.95; snn_single_energy = 0; snn_total_energy = 0.1498739019427007; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7466666666666666, win percentage = 0.0, 2024-12-02 03:44:09
Episode no = 2000; won: False; iter_time_steps = 8; Q(s,a) = nan; score = -507.0; mean_score/100_episodes = -509.53; reward = -507.0; mean_reward/100_episodes = -509.46; snn_single_energy = 0; snn_total_energy = 0.17237584212165588; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.7333333333333334, win percentage = 0.0, 2024-12-02 03:44:19
Episode no = 2100; won: False; iter_time_steps = 12; Q(s,a) = -11.964315600658495; score = -511.0; mean_score/100_episodes = -509.67; reward = -511.0; mean_reward/100_episodes = -509.62; snn_single_energy = 0; snn_total_energy = 0.19532372892912678; ann_single_energy = 0; ann_total_energy = 0; and epsilon = 0.72, win percentage = 0.0, 2024-12-02 03:44:29
