Episode no = 100; won: False; iter_time_steps = 4; Q(s,a) = nan; score = -503.0; mean_score/100_episodes = -507.47; reward = -503.0; mean_reward/100_episodes = -507.56; and epsilon = 0.9866666666666667, win percentage = 0.0, 2024-11-25 05:34:00
Episode no = 200; won: False; iter_time_steps = 4; Q(s,a) = nan; score = -503.0; mean_score/100_episodes = -507.02; reward = -503.0; mean_reward/100_episodes = -506.88; and epsilon = 0.9733333333333334, win percentage = 0.0, 2024-11-25 05:34:15
Episode no = 300; won: False; iter_time_steps = 5; Q(s,a) = nan; score = -504.0; mean_score/100_episodes = -507.26; reward = -504.0; mean_reward/100_episodes = -507.23; and epsilon = 0.96, win percentage = 0.0, 2024-11-25 05:34:30
Episode no = 400; won: False; iter_time_steps = 9; Q(s,a) = nan; score = -508.0; mean_score/100_episodes = -508.16; reward = -508.0; mean_reward/100_episodes = -508.33; and epsilon = 0.9466666666666667, win percentage = 0.0, 2024-11-25 05:34:48
Episode no = 500; won: False; iter_time_steps = 7; Q(s,a) = -0.8008896882153791; score = -506.0; mean_score/100_episodes = -507.52; reward = -506.0; mean_reward/100_episodes = -507.38; and epsilon = 0.9333333333333333, win percentage = 0.0, 2024-11-25 05:35:04
Episode no = 600; won: False; iter_time_steps = 17; Q(s,a) = -1.1867100756759734; score = -516.0; mean_score/100_episodes = -508.18; reward = -516.0; mean_reward/100_episodes = -508.36; and epsilon = 0.92, win percentage = 0.0, 2024-11-25 05:35:21
Episode no = 700; won: False; iter_time_steps = 6; Q(s,a) = nan; score = -505.0; mean_score/100_episodes = -507.48; reward = -505.0; mean_reward/100_episodes = -507.44; and epsilon = 0.9066666666666666, win percentage = 0.0, 2024-11-25 05:35:37
Episode no = 800; won: False; iter_time_steps = 5; Q(s,a) = nan; score = -504.0; mean_score/100_episodes = -508.22; reward = -504.0; mean_reward/100_episodes = -508.2; and epsilon = 0.8933333333333333, win percentage = 0.0, 2024-11-25 05:35:54
Episode no = 900; won: False; iter_time_steps = 13; Q(s,a) = -4.139251306173515; score = -512.0; mean_score/100_episodes = -507.8; reward = -512.0; mean_reward/100_episodes = -507.76; and epsilon = 0.88, win percentage = 0.0, 2024-11-25 05:36:11
Episode no = 1000; won: False; iter_time_steps = 8; Q(s,a) = -5.122861886438489; score = -507.0; mean_score/100_episodes = -507.57; reward = -507.0; mean_reward/100_episodes = -507.43; and epsilon = 0.8666666666666667, win percentage = 0.0, 2024-11-25 05:36:27
Episode no = 1100; won: False; iter_time_steps = 12; Q(s,a) = nan; score = -511.0; mean_score/100_episodes = -507.34; reward = -511.0; mean_reward/100_episodes = -507.33; and epsilon = 0.8533333333333333, win percentage = 0.0, 2024-11-25 05:36:42
